time/episodes,train/learning_rate,rollout/success rate,time/total timesteps,train/actor_loss,train/n_updates,train/critic_loss,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed
84,0.001,0.10714285714285714,396841,148.15380645751952,396700,30.96900707244873,20,-7177.009104297618,4724.297619047619,19393
85,0.001,0.10588235294117647,401841,148.7461245727539,401700,13.995802323818207,20,-7104.64917695294,4727.541176470589,19636
86,0.001,0.10465116279069768,406841,147.63144622802736,406700,26.206603405475615,20,-7035.591103906976,4730.709302325581,19879
87,0.001,0.10344827586206896,411841,146.63128234863282,411700,27.870356609821318,20,-7022.04567029885,4733.80459770115,20122
88,0.001,0.10227272727272728,416841,149.78564910888673,416700,22.134060189723968,20,-7095.14099271591,4736.829545454545,20366
89,0.001,0.10112359550561797,421841,151.48279571533203,421700,38.12059385538101,20,-7122.626695078652,4739.786516853933,20610
90,0.001,0.1111111111111111,423093,148.96686126708985,422900,43.05634048461914,20,-7056.405319466667,4701.033333333334,20671
91,0.001,0.10989010989010989,428093,151.47801055908204,427900,15.983332674503327,20,-7037.034852692309,4704.318681318681,20916
92,0.001,0.10869565217391304,433093,150.04747467041017,432900,7.381241064071656,20,-7013.53452902174,4707.532608695652,21159
93,0.001,0.11827956989247312,435734,148.4439910888672,435600,16.51020822286606,20,-6947.781650989247,4685.311827956989,21285
94,0.001,0.11702127659574468,440734,146.92697875976563,440600,12.7179531955719,20,-6954.006244361703,4688.659574468085,21529
95,0.001,0.11578947368421053,445734,148.64203033447265,445600,7.97894127368927,20,-6928.28687771579,4691.936842105263,21774
96,0.001,0.11458333333333333,450734,150.10078979492187,450600,13.496504036188126,20,-6936.679410791666,4695.145833333333,22017
97,0.001,0.1134020618556701,455734,148.86412048339844,455600,25.99957819223404,20,-6907.452710484535,4698.288659793814,22260
98,0.001,0.11224489795918367,460734,148.0468898010254,460600,21.76788535118103,20,-6877.350398816325,4701.367346938776,22503
99,0.001,0.1111111111111111,465734,147.26719299316406,465600,18.04229568004608,20,-6909.48677990909,4704.383838383838,22747
100,0.001,0.11,470734,147.5783201599121,470600,20.907546730041503,20,-6869.973375769998,4707.34,22992
101,0.001,0.1,475734,146.30764511108399,475600,3.3282243847846984,20,-6868.473871639999,4732.56,23233
102,0.001,0.09,480734,145.48628356933594,480600,8.125359973907472,20,-6937.065326719999,4749.24,23478
103,0.001,0.1,485324,146.6011703491211,485200,15.387157452106475,20,-6872.847349449998,4745.14,23693
104,0.001,0.1,490324,146.10190353393554,490200,17.317035425901413,20,-6760.403994239999,4745.14,23935
105,0.001,0.11,494179,145.2351821899414,494000,5.668905985355377,20,-6690.665052619999,4733.69,24121
106,0.001,0.11,499179,141.96334899902342,499000,11.175403969287872,20,-6505.098203489999,4733.69,24366
107,0.001,0.12,500599,142.64632827758788,500400,22.08505430698395,20,-6378.333047339999,4697.89,24441
108,0.001,0.12,505599,139.92062454223634,505400,5.715072023868561,20,-6273.29594382,4697.89,24684
109,0.001,0.13,508979,139.573035736084,508800,13.143691514730454,20,-6170.52475902,4681.69,24847
110,0.001,0.13,513979,139.48964096069335,513800,9.343761669397354,20,-6135.21989711,4681.69,25090
111,0.001,0.13,518979,138.46489700317383,518800,10.199013174772263,20,-5970.4140605,4681.69,25333
112,0.001,0.14,521712,137.68871109008788,521600,10.291004972457886,20,-5897.825036550002,4659.02,25465
113,0.001,0.14,526712,138.50778930664063,526600,6.726691756248474,20,-5898.518592040002,4659.02,25710
114,0.001,0.14,531712,138.41354522705078,531600,18.94858054637909,20,-5831.881076500002,4659.02,25954
115,0.001,0.14,536712,137.68085357666016,536600,3.4240397989749907,20,-5728.500659650002,4659.02,26198
116,0.001,0.15,541183,140.7850897216797,541000,7.601925481557846,20,-5665.124563070001,4653.73,26420
117,0.001,0.15,546183,138.59263031005858,546000,18.147754096984862,20,-5611.928966450001,4653.73,26663
118,0.001,0.15,551183,139.22262145996095,551000,7.427949489355087,20,-5611.33899755,4653.73,26904
119,0.001,0.16,552641,138.41494232177735,552500,4.437759618759156,20,-5560.403594709999,4618.31,26977
120,0.001,0.17,552961,139.21943954467773,552800,15.724083787202835,20,-5531.364738040001,4571.51,26990
121,0.001,0.18,555760,135.95837631225587,555600,25.091116194725036,20,-5527.831288289999,4549.5,27124
122,0.001,0.19,556510,137.5042872619629,556400,31.047143005132675,20,-5413.394318469999,4507.0,27165
123,0.001,0.18,561510,137.2146714782715,561400,8.516694618463516,20,-5487.70463514,4551.91,27409
124,0.001,0.19,563620,135.82916473388673,563500,19.19393682718277,20,-5458.317748490001,4523.01,27510
125,0.001,0.2,564038,136.63755966186523,563900,26.788534326553346,20,-5324.58246856,4477.19,27533
126,0.001,0.2,569038,136.0841897583008,568900,17.273071978092194,20,-5292.071345630001,4477.19,27781
127,0.001,0.2,574038,136.90049346923828,573900,34.44875066757202,20,-5275.564240800001,4477.19,28025
128,0.001,0.2,579038,136.54618438720703,578900,4.088015201091767,20,-5288.5874850400005,4477.19,28267
129,0.001,0.2,584038,132.50597961425783,583900,9.924730449914932,20,-5257.8660193,4477.19,28511
130,0.001,0.2,589038,136.2251823425293,588900,3.025340259075165,20,-5261.51844562,4477.19,28753
131,0.001,0.2,594038,135.34563415527344,593900,10.480537074804307,20,-5225.1802139,4477.19,28996
132,0.001,0.21,597842,135.34438674926758,597700,7.239424884319305,20,-5137.90230548,4465.23,29184
133,0.001,0.21,602842,136.96061080932617,602700,11.642973662614823,20,-5156.615368479999,4465.23,29426
134,0.001,0.21,607842,136.14542922973632,607700,23.80798646569252,20,-5136.35518274,4465.23,29669
135,0.001,0.21,609371,134.6934799194336,609200,19.791900458335878,20,-5101.49356217,4437.06,29744
136,0.001,0.22,611631,134.39549362182618,611500,6.426547507047653,20,-5075.3327136299995,4409.66,29852
137,0.001,0.22,616631,133.87045776367188,616500,13.394284060001374,20,-5022.160372949999,4409.66,30095
138,0.001,0.22,621631,131.3094105529785,621500,7.776212846040726,20,-4994.167773679999,4409.66,30336
139,0.001,0.22,626631,135.24057006835938,626500,7.849590766429901,20,-5066.988249409999,4409.66,30579
140,0.001,0.22,631631,135.34444061279297,631500,23.46036356449127,20,-5095.41743822,4409.66,30823
141,0.001,0.22,636631,134.7971353149414,636500,20.49718035578728,20,-5002.92499977,4409.66,31070
142,0.001,0.22,641631,134.58822341918946,641500,15.599418406486512,20,-4998.40830159,4409.66,31312
143,0.001,0.23,646614,132.32546981811524,646500,63.41705689430237,20,-4937.397678359999,4409.49,31554
144,0.001,0.23,651614,130.9094302368164,651500,43.93139464020729,20,-4903.53194468,4409.49,31799
145,0.001,0.23,656614,134.17855834960938,656500,26.6880811047554,20,-4929.449633499999,4409.49,32044
146,0.001,0.24,660899,132.6222315979004,660700,29.995184317827224,20,-4908.6646855,4402.34,32259
147,0.001,0.24,665899,132.21293197631837,665700,9.766794455051421,20,-4872.42446986,4402.34,32503
148,0.001,0.25,670073,133.93677459716798,669900,45.063043818473815,20,-4906.04098544,4394.08,32703
149,0.001,0.26,673053,130.6033187866211,672900,11.391455272436142,20,-4887.40024552,4373.88,32844
150,0.001,0.26,678053,134.73917572021483,677900,4.722007932662964,20,-4884.208740409999,4373.88,33087
151,0.001,0.26,683053,134.68215209960937,682900,4.323633711338044,20,-4881.70196364,4373.88,33329
152,0.001,0.25,688053,132.93720428466796,687900,7.617194808721543,20,-4889.71586069,4408.56,33575
153,0.001,0.25,693053,130.86812911987306,692900,20.04774941325188,20,-4837.07560797,4408.56,33819
154,0.001,0.25,698053,130.97194229125978,697900,14.561309976577759,20,-4844.66607402,4408.56,34063
155,0.001,0.26,698941,130.74210388183593,698800,17.417889075279234,20,-4738.17015398,4367.44,34110
