time/time_elapsed,train/actor_loss,time/fps,train/learning_rate,rollout/ep_len_mean,rollout/ep_rew_mean,time/total timesteps,rollout/success rate,train/n_updates,time/episodes,train/critic_loss
8513,225.21166900634765,20,0.001,1740.8484848484848,-4506.067675020202,172344,0.898989898989899,172200,99,232.4590821838379
8543,227.07015380859374,20,0.001,1728.07,-4473.9667537,172807,0.9,172700,100,356.7685791015625
8560,225.29139892578124,20,0.001,1682.04,-4356.04374426,173204,0.91,173100,101,280.6464399719238
8586,225.0456381225586,20,0.001,1637.83,-3889.21104923,173783,0.92,173600,102,288.2085013580322
8654,217.17938568115235,20,0.001,1601.29,-3724.06758584,175129,0.93,175000,103,250.84330963134767
8670,220.24100982666016,20,0.001,1584.45,-3602.3683938699996,175423,0.93,175300,104,385.89289352416995
8697,213.91384368896485,20,0.001,1551.22,-3540.85901371,176058,0.93,175900,105,264.8316592025757
8731,216.70145751953126,20,0.001,1547.11,-3516.80123729,176677,0.93,176500,106,523.9776572036743
8756,219.4702816772461,20,0.001,1538.59,-3492.681560159999,177264,0.93,177100,107,262.07717643737794
8813,213.9840594482422,20,0.001,1548.72,-3512.7429904399996,178389,0.93,178200,108,320.69704093933103
8836,218.61337585449218,20,0.001,1503.08,-3416.276106699999,178825,0.94,178700,109,305.32917098999025
8862,215.278779296875,20,0.001,1457.98,-3315.6245779899996,179315,0.95,179200,110,640.9694675445556
8891,214.95682067871093,20,0.001,1457.15,-3300.6609133799993,179989,0.95,179800,111,363.35813819885254
8916,209.14207305908204,20,0.001,1433.81,-3215.3993940499995,180399,0.95,180200,112,257.70344158172605
8948,215.54950134277342,20,0.001,1391.3,-3164.3020053199994,181148,0.96,181000,113,291.8286009979248
8967,210.58774597167968,20,0.001,1370.57,-3136.1060448699996,181392,0.96,181200,114,172.32065418243408
8983,213.21975219726562,20,0.001,1337.02,-3088.7931184,181745,0.96,181600,115,286.8281092071533
9001,207.0579446411133,20,0.001,1291.18,-3044.58352877,182161,0.97,182000,116,324.12894958496094
9026,209.49913665771484,20,0.001,1249.69,-2977.76613599,182602,0.97,182500,117,333.22618827819826
9044,202.18759735107423,20,0.001,1206.93,-2912.62219002,182965,0.97,182800,118,179.94636909484862
9087,205.86303619384765,20,0.001,1188.39,-2908.36423594,183827,0.97,183700,119,406.3868487548828
9178,201.92081939697266,20,0.001,1157.35,-2873.1106351600006,185723,0.98,185600,120,209.67199657440185
9224,201.06750732421875,20,0.001,1115.82,-2841.4099735299997,186570,0.99,186400,121,319.8480732345581
9249,199.04230590820313,20,0.001,1089.16,-2802.0812895300005,187130,0.99,187000,122,214.1575841522217
9279,200.62125732421876,20,0.001,1052.99,-2731.4590390200005,187599,0.99,187400,123,241.1901623916626
9304,198.86691925048828,20,0.001,1039.0,-2698.90779451,188202,0.99,188100,124,302.7997138977051
9326,198.57442993164062,20,0.001,1036.64,-2698.3971842999995,188645,0.99,188500,125,435.97460174560547
9353,200.67390533447266,20,0.001,1028.15,-2686.3041957300006,189162,0.99,189000,126,286.7030778884888
9377,199.6454019165039,20,0.001,1022.51,-2695.2198143600003,189729,0.99,189600,127,243.1869253540039
9388,197.83132080078124,20,0.001,1019.43,-2686.83515404,189891,0.99,189700,128,405.2903527832031
9410,199.3928955078125,20,0.001,1009.79,-2665.90744145,190276,0.99,190100,129,349.36085334777835
9432,199.26610290527344,20,0.001,998.99,-2645.6298944799996,190793,0.99,190600,130,374.9667590332031
9461,194.27779876708985,20,0.001,995.51,-2637.2942048600003,191263,0.99,191100,131,214.55747814178466
9483,195.61153076171874,20,0.001,996.71,-2638.3875282400004,191794,0.99,191600,132,188.46078842163087
9504,199.04872314453124,20,0.001,992.7,-2600.9099619500003,192260,0.99,192100,133,234.01514938354492
9524,194.38527130126954,20,0.001,981.71,-2564.97152849,192501,0.99,192400,134,372.6111192321777
9537,193.27005889892578,20,0.001,977.11,-2553.5017287399996,192804,0.99,192700,135,450.44633869171145
9557,198.286220703125,20,0.001,978.66,-2565.17727304,193309,0.99,193200,136,217.2352938079834
9574,190.10680297851562,20,0.001,969.36,-2515.57490242,193608,0.99,193500,137,197.25122093200685
9601,194.903818359375,20,0.001,934.92,-2491.71352418,194157,0.99,194000,138,368.3614497375488
9646,192.92914428710938,20,0.001,921.85,-2472.47102896,194993,0.99,194800,139,280.7658696746826
9659,193.364404296875,20,0.001,904.39,-2457.0441928400005,195290,0.99,195100,140,419.62024909973144
9675,193.09655029296874,20,0.001,896.49,-2412.6968435000003,195672,0.99,195500,141,415.65860473632813
9709,198.35876922607423,20,0.001,888.0,-2388.9061648800002,196266,0.99,196100,142,287.18874382019044
9766,191.67071990966798,20,0.001,851.67,-2346.9869492800003,197430,0.99,197300,143,403.48587440490724
9789,189.27789520263673,20,0.001,848.66,-2297.65230289,197950,0.99,197800,144,173.8636452102661
9846,187.8888851928711,20,0.001,847.4,-2303.4939107100004,199068,0.99,198900,145,270.06353240966797
9865,192.2179571533203,20,0.001,837.63,-2257.71439965,199520,0.99,199400,146,309.94415908813477
9887,191.44434112548828,20,0.001,836.74,-2260.1255062,199857,0.99,199700,147,190.6599041366577
9966,189.4006805419922,20,0.001,843.2,-2267.7194020599995,201441,0.99,201300,148,343.3701718139648
9987,188.62174011230468,20,0.001,841.69,-2242.5054917599996,201964,0.99,201800,149,324.8486931610107
10006,181.0695394897461,20,0.001,836.34,-2240.7760952,202266,0.99,202100,150,326.72553272247313
10019,184.5139697265625,20,0.001,833.06,-2226.65360499,202467,0.99,202300,151,353.031316947937
10031,183.6471484375,20,0.001,823.05,-2207.43955988,202760,0.99,202600,152,301.54807609558105
10083,185.45414642333984,20,0.001,818.62,-2186.5976662000003,203764,0.99,203600,153,265.1251210784912
10111,176.895302734375,20,0.001,806.74,-2162.8102838200007,204454,0.99,204300,154,288.45366859436035
10122,183.9447183227539,20,0.001,792.04,-2146.6734233900006,204642,0.99,204500,155,206.90835735321045
10151,182.12231262207033,20,0.001,764.85,-2109.2481957900004,205157,0.99,205000,156,435.88282905578615
10163,177.415849609375,20,0.001,763.0,-2102.9552958700006,205443,0.99,205300,157,409.54962703704837
10185,181.4108871459961,20,0.001,754.33,-2089.9053575800003,205896,0.99,205700,158,383.7403422546387
10216,180.13391174316405,20,0.001,747.18,-2080.3171524900004,206495,0.99,206300,159,310.0699054336548
10232,176.4400506591797,20,0.001,746.1,-2083.1738829700002,206843,0.99,206700,160,245.7104370880127
10242,180.0158935546875,20,0.001,740.24,-2072.1849228,207062,0.99,206900,161,206.12312324523927
10260,177.9128775024414,20,0.001,731.7,-2065.19609863,207291,0.99,207100,162,433.93297256469725
10281,178.2628253173828,20,0.001,687.76,-2028.7545685000005,207761,0.99,207600,163,377.0563924789429
10292,177.2529718017578,20,0.001,682.14,-2025.7787907300005,208029,0.99,207900,164,214.44890857696532
10309,177.9976300048828,20,0.001,681.12,-2035.8848841300005,208348,0.99,208200,165,448.1489743041992
10329,176.99940338134766,20,0.001,669.33,-1997.8377951400003,208678,0.99,208500,166,272.5079675292969
10374,178.58455322265624,20,0.001,675.57,-1991.2500647600004,209641,0.99,209500,167,271.39616817474365
10382,180.4704559326172,20,0.001,663.26,-1952.2753502700004,209737,0.99,209600,168,306.1460803604126
