train/n_updates,rollout/success rate,train/learning_rate,time/episodes,train/actor_loss,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/total timesteps,train/critic_loss,time/fps
455480,0.0,0.001,4556,98.6055305480957,-101.80070154999997,14520,100.0,455600,231.71420965194702,31
455880,0.0,0.001,4560,98.64565734863281,-102.11512473,14608,100.0,456000,188.2942975997925,31
456280,0.0,0.001,4564,99.02014083862305,-103.07634376,14700,100.0,456400,157.55228667259217,31
456680,0.0,0.001,4568,97.44333267211914,-103.99978431999997,14797,100.0,456800,287.0865491867065,30
457080,0.0,0.001,4572,97.78622894287109,-103.97483055999999,14926,100.0,457200,146.17550373077393,30
457480,0.0,0.001,4576,97.97042083740234,-101.42947851999998,15051,100.0,457600,228.37221684455872,30
457880,0.0,0.001,4580,97.83023376464844,-100.53133160000002,15164,100.0,458000,147.55199880599974,30
458280,0.0,0.001,4584,96.75777587890624,-101.90529887000001,15239,100.0,458400,264.01688556671144,30
458680,0.0,0.001,4588,96.63572769165039,-101.34402303,15341,100.0,458800,248.19325609207152,29
459080,0.0,0.001,4592,97.59119873046875,-100.89151202000001,15466,100.0,459200,197.15634207725526,29
459480,0.0,0.001,4596,96.98723678588867,-100.90984543,15555,100.0,459600,233.14700889587402,29
459880,0.0,0.001,4600,97.41502075195312,-101.18918994999999,15650,100.0,460000,203.1099678993225,29
460280,0.0,0.001,4604,97.39602508544922,-102.11135828999998,15729,100.0,460400,156.80943961143493,29
460680,0.0,0.001,4608,97.35955123901367,-102.75392667999999,15822,100.0,460800,200.8348503112793,29
461080,0.0,0.001,4612,96.31880493164063,-104.41345645,15914,100.0,461200,236.8745470046997,28
461480,0.0,0.001,4616,97.26484985351563,-104.89173281000001,16004,100.0,461600,147.70967519283295,28
461880,0.0,0.001,4620,97.03885116577149,-103.80411695999999,16123,100.0,462000,222.21698760986328,28
462280,0.0,0.001,4624,96.83331756591797,-103.28513595,16230,100.0,462400,209.37914590835572,28
462680,0.0,0.001,4628,97.63765716552734,-102.3188517,16333,100.0,462800,154.3636995792389,28
463080,0.0,0.001,4632,96.54328384399415,-102.66689968,16423,100.0,463200,166.21286420822145,28
463480,0.0,0.001,4636,96.44612045288086,-101.98728466000003,16511,100.0,463600,132.25956449508666,28
463880,0.0,0.001,4640,96.35242004394532,-103.60755422999999,16592,100.0,464000,197.24008092880248,27
