train/ent_coef,rollout/ep_rew_mean,rollout/success rate,train/std,time/fps,time/episodes,train/ent_coef_loss,time/total timesteps,rollout/ep_len_mean,train/n_updates,train/learning_rate,train/critic_loss,train/actor_loss,time/time_elapsed
0.059013281017541885,-62.74973147000001,0.0,0.04996270686388016,18,2276,-9.880849838256836,223354,100.0,11162,0.0003,26.106191635131836,70.11537170410156,12289
0.058793988078832626,-62.403331930000014,0.0,0.049959417432546616,17,2280,-4.153022766113281,223754,100.0,11182,0.0003,42.87666702270508,71.14503479003906,12494
0.058623235672712326,-62.95805254,0.0,0.04996110126376152,17,2284,-4.122121810913086,224154,100.0,11202,0.0003,26.868133544921875,71.70667266845703,12683
0.05844375491142273,-62.712102050000006,0.0,0.049960650503635406,17,2288,-2.2211718559265137,224554,100.0,11222,0.0003,59.74876403808594,71.57260131835938,12871
0.05828132852911949,-63.28093461,0.0,0.04996106028556824,17,2292,-6.713467597961426,224954,100.0,11242,0.0003,95.77482604980469,69.88351440429688,13069
0.058120325207710266,-63.0285177,0.0,0.04996030032634735,16,2296,-2.943333148956299,225354,100.0,11262,0.0003,69.41146850585938,71.16804504394531,13258
0.05795564875006676,-63.37034567,0.0,0.04996126890182495,16,2300,-3.641615867614746,225754,100.0,11282,0.0003,110.15576171875,70.58476257324219,13408
0.05778059363365173,-63.10386057999999,0.0,0.04996150732040405,16,2304,-6.207921028137207,226154,100.0,11302,0.0003,2.8470053672790527,70.49606323242188,13613
0.05760010704398155,-63.42595673999999,0.0,0.04995938390493393,16,2308,-4.118411064147949,226554,100.0,11322,0.0003,41.21385955810547,70.73284912109375,13824
0.05736532434821129,-63.43438248000001,0.0,0.049954451620578766,16,2312,-0.5989463329315186,226954,100.0,11342,0.0003,4.06442928314209,69.74905395507812,14000
0.057190556079149246,-63.09469923,0.0,0.04995416849851608,16,2316,-3.9153285026550293,227354,100.0,11362,0.0003,3.469226360321045,70.71873474121094,14206
0.05700431764125824,-62.804402720000006,0.01,0.049952320754528046,15,2320,-7.2222089767456055,227738,99.84,11381,0.0003,75.57725524902344,70.7647476196289,14410
0.0568096749484539,-62.73797549,0.01,0.04994925111532211,15,2324,-6.343146324157715,228138,99.84,11401,0.0003,2.779597282409668,70.9564208984375,14606
0.056671347469091415,-62.008698329999994,0.01,0.04995018243789673,15,2328,-2.3355140686035156,228538,99.84,11421,0.0003,24.995349884033203,70.45671081542969,14800
0.056523822247982025,-62.486103359999994,0.01,0.049952294677495956,15,2332,-2.836214780807495,228938,99.84,11441,0.0003,73.26467895507812,70.42027282714844,15001
0.05638130381703377,-62.881154990000006,0.01,0.04995565861463547,15,2336,-6.4965596199035645,229338,99.84,11461,0.0003,2.518588066101074,70.39346313476562,15211
0.0562482550740242,-61.54920222,0.02,0.04995697736740112,14,2340,-1.8987526893615723,229645,98.91,11477,0.0003,22.61768341064453,69.86677551269531,15344
