time/time_elapsed,train/actor_loss,train/learning_rate,time/fps,rollout/success rate,train/n_updates,train/critic_loss,time/total timesteps,train/ent_coef_loss,rollout/ep_rew_mean,rollout/ep_len_mean,time/episodes,train/ent_coef,train/std
11599,113.71744300842285,0.0003,61,0.18867924528301888,709900,1.918745616003871,710046,0.0794004800915718,-15179.7929710566,13397.094339622641,53,0.024089069608598947,0.05917349457740784
11610,114.06937698364258,0.0003,61,0.2037037037037037,710600,2.0268114161491395,710738,0.46084597073495387,-14900.38924433333,13161.814814814816,54,0.02456030772998929,0.05909788981080055
11614,113.96078956604003,0.0003,61,0.21818181818181817,710800,3.882967568859458,710928,0.2715417543798685,-14629.605881363634,12925.963636363636,55,0.024837216436862944,0.05909733101725578
11859,113.36332290649415,0.0003,61,0.21428571428571427,725800,0.46934618931263683,725928,-0.2923774476349354,-14573.167500660715,12963.0,56,0.021387886069715024,0.0596180185675621
12105,114.66291236877441,0.0003,61,0.21052631578947367,740800,0.549485663883388,740928,0.12963890004903078,-14744.010259684212,12998.736842105263,57,0.018591476660221814,0.05949246883392334
12352,115.77227844238281,0.0003,61,0.20689655172413793,755800,0.6162501028180123,755928,-0.05074078880250454,-14932.413684465519,13033.241379310344,58,0.019079920500516892,0.05957626551389694
12387,115.32866279602051,0.0003,61,0.22033898305084745,757900,6.148693499304354,758093,-0.1135413921624422,-14691.774751288138,12849.033898305084,59,0.01968811171129346,0.05951431393623352
12634,116.06418395996094,0.0003,61,0.21666666666666667,772900,1.0559975833445787,773093,-0.22819239735603333,-14915.038457633336,12884.883333333333,60,0.021189508344978094,0.059236783534288406
12880,116.35365371704101,0.0003,61,0.21311475409836064,787900,3.4344397404417397,788093,0.5525200774520636,-15098.911291409839,12919.557377049181,61,0.021624074019491672,0.0595131441950798
13126,115.42361564636231,0.0003,61,0.20967741935483872,802900,5.764950524829328,803093,-0.3287956128269434,-15121.390499516134,12953.112903225807,62,0.024954567905515434,0.060400206595659256
13353,114.57207656860352,0.0003,61,0.2222222222222222,816700,1.0582494473829867,816878,0.25743395298719407,-14912.335310523815,12966.317460317461,63,0.02945292854681611,0.061458755284547806
13520,113.88983779907227,0.0003,61,0.234375,827000,0.16554017793387174,827122,0.1805305989086628,-14755.284903265627,12923.78125,64,0.024090337064117194,0.061795808374881744
13767,114.38204223632812,0.0003,61,0.23076923076923078,842000,1.0857280201092363,842122,-0.48776512533426286,-14899.125131553848,12955.723076923077,65,0.017545314449816943,0.06186569482088089
