rollout/ep_rew_mean,rollout/success rate,time/fps,train/learning_rate,train/actor_loss,time/total timesteps,time/episodes,train/n_updates,time/time_elapsed,train/critic_loss,rollout/ep_len_mean
-99.39384208000003,0.0,18,0.001,118.70870437622071,375200,3752,375080,19838,290.24170207977295,100.0
-98.68429439999998,0.0,18,0.001,118.80592269897461,375600,3756,375480,19946,291.2929347038269,100.0
-97.69019917999998,0.0,18,0.001,119.44154586791993,376000,3760,375880,20072,255.27646555900574,100.0
-96.03249829999999,0.0,18,0.001,118.4770736694336,376400,3764,376280,20187,275.5108476638794,100.0
-96.64950599,0.0,18,0.001,118.76008453369141,376800,3768,376680,20293,226.7692006111145,100.0
-96.81286259999999,0.0,18,0.001,118.77817611694336,377200,3772,377080,20402,414.3582365989685,100.0
-96.65488093,0.0,18,0.001,119.60578308105468,377600,3776,377480,20516,233.08730607032777,100.0
-98.60208665,0.0,18,0.001,119.24515838623047,378000,3780,377880,20656,289.38175973892214,100.0
-98.79377297,0.0,18,0.001,119.45819549560547,378400,3784,378280,20760,257.89364924430845,100.0
-99.16913701,0.0,18,0.001,118.9454132080078,378800,3788,378680,20854,215.2727556705475,100.0
-99.52845068000002,0.0,18,0.001,117.65329437255859,379200,3792,379080,20954,294.5668121337891,100.0
-98.21710211000003,0.0,18,0.001,118.81827850341797,379600,3796,379480,21073,236.39761848449706,100.0
-98.57990615000003,0.0,17,0.001,118.62692260742188,380000,3800,379880,21186,195.88806447982788,100.0
-98.35963229000002,0.0,17,0.001,118.2475830078125,380400,3804,380280,21317,253.84827733039856,100.0
-97.69110874,0.0,17,0.001,119.12675399780274,380800,3808,380680,21442,262.8347182750702,100.0
-97.52015001,0.0,17,0.001,119.54389038085938,381200,3812,381080,21536,232.83702120780944,100.0
-95.83410882999999,0.0,17,0.001,119.36396865844726,381600,3816,381480,21655,273.2857208251953,100.0
-95.72503920000001,0.0,17,0.001,118.91279983520508,382000,3820,381880,21747,295.37688579559324,100.0
-94.54732153999997,0.0,17,0.001,119.55076904296875,382400,3824,382280,21862,172.90483627319335,100.0
-93.97262369999999,0.0,17,0.001,118.1843765258789,382800,3828,382680,21995,286.90533981323244,100.0
-94.43132843999997,0.0,17,0.001,118.6890853881836,383200,3832,383080,22104,369.90436668395995,100.0
-93.64291170999999,0.0,17,0.001,117.94056015014648,383600,3836,383480,22207,301.4795086860657,100.0
-93.49553929000001,0.0,17,0.001,118.54629974365234,384000,3840,383880,22297,331.7943422317505,100.0
-94.05022205000002,0.0,17,0.001,117.77627105712891,384400,3844,384280,22397,292.31045484542847,100.0
-97.04128061,0.0,17,0.001,118.02337951660157,384800,3848,384680,22498,285.16136741638184,100.0
-98.52620544999998,0.0,17,0.001,117.83782119750977,385200,3852,385080,22602,242.13385086059571,100.0
-99.85674947,0.0,16,0.001,118.51473464965821,385600,3856,385480,22702,203.86073789596557,100.0
-100.85229613000001,0.0,16,0.001,117.54881439208984,386000,3860,385880,22789,237.80158214569093,100.0
-102.18131740999999,0.0,16,0.001,118.3469856262207,386400,3864,386280,22881,329.6672145843506,100.0
-103.52640077,0.0,16,0.001,117.35385665893554,386800,3868,386680,22956,365.9106244087219,100.0
-102.19770853999998,0.0,16,0.001,117.24103240966797,387200,3872,387080,23067,355.52407560348513,100.0
-102.89203203999999,0.0,16,0.001,118.16978302001954,387600,3876,387480,23163,223.74218344688416,100.0
-102.42505879000001,0.0,16,0.001,116.80288925170899,388000,3880,387880,23245,351.7538844108582,100.0
-103.03918206,0.0,16,0.001,118.06818084716797,388400,3884,388280,23355,210.75214591026307,100.0
-102.78839696000001,0.0,16,0.001,118.34697570800782,388800,3888,388680,23472,213.80999212265016,100.0
-101.99701363000003,0.0,16,0.001,117.62702026367188,389200,3892,389080,23586,236.50115685462953,100.0
-103.23428261999999,0.0,16,0.001,118.48553771972657,389600,3896,389480,23706,234.87319560050963,100.0
-102.46805446999998,0.0,16,0.001,117.58052291870118,390000,3900,389880,23809,247.07742977142334,100.0
-101.50994504999998,0.0,16,0.001,117.66269607543946,390400,3904,390280,23924,242.04321093559264,100.0
-100.88415409,0.0,16,0.001,116.43392410278321,390800,3908,390680,24032,406.1373425483704,100.0
-99.14739006000002,0.0,16,0.001,117.74490814208984,391200,3912,391080,24141,238.77132124900817,100.0
-100.48135877,0.0,16,0.001,116.95129699707032,391600,3916,391480,24255,309.87227487564087,100.0
-101.12993244,0.0,16,0.001,117.0303565979004,392000,3920,391880,24347,289.66436047554015,100.0
-104.04162751,0.0,16,0.001,117.02519454956055,392400,3924,392280,24484,243.08203282356263,100.0
-103.90614335000001,0.0,15,0.001,117.01539535522461,392800,3928,392680,24604,282.68324427604676,100.0
-103.29284997,0.0,15,0.001,116.01503524780273,393200,3932,393080,24743,327.43751058578493,100.0
-104.07702859999999,0.0,15,0.001,116.11524963378906,393600,3936,393480,24858,331.78499975204465,100.0
-105.01007726999998,0.0,15,0.001,117.26046905517578,394000,3940,393880,24953,219.1383243560791,100.0
-105.78914347999998,0.0,15,0.001,117.3183349609375,394400,3944,394280,25070,187.08390607833863,100.0
-103.93687451,0.0,15,0.001,116.68261184692383,394800,3948,394680,25179,222.4928225517273,100.0
-102.29577071,0.0,15,0.001,115.72950439453125,395200,3952,395080,25286,231.89815649986267,100.0
-101.18111640000001,0.0,15,0.001,115.41408309936523,395600,3956,395480,25388,352.88254442214964,100.0
-98.90087415999999,0.0,15,0.001,115.86064834594727,396000,3960,395880,25509,271.92476215362547,100.0
-98.60840182999999,0.0,15,0.001,115.39397964477538,396400,3964,396280,25625,276.24414052963255,100.0
-97.86558175,0.0,15,0.001,115.0623649597168,396800,3968,396680,25716,164.7291850090027,100.0
-98.46971741999998,0.0,15,0.001,114.32232360839843,397200,3972,397080,25855,288.78462424278257,100.0
-98.65472481,0.0,15,0.001,114.88712310791016,397600,3976,397480,25972,282.1292013168335,100.0
-98.77230381,0.0,15,0.001,114.9461570739746,398000,3980,397880,26077,144.20593314170839,100.0
-98.41288358999998,0.0,15,0.001,114.66012725830078,398400,3984,398280,26189,322.1939074516296,100.0
-98.02627688999999,0.0,15,0.001,114.64201965332032,398800,3988,398680,26308,217.75435013771056,100.0
-98.05061282999999,0.0,15,0.001,114.77738418579102,399200,3992,399080,26437,208.38370742797852,100.0
-97.59182580000001,0.0,15,0.001,114.37173233032226,399600,3996,399480,26527,208.26267337799072,100.0
-97.76405751000001,0.0,15,0.001,114.48945770263671,400000,4000,399880,26627,215.1636932373047,100.0
