train/n_updates,rollout/ep_len_mean,train/actor_loss,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/total timesteps,time/episodes,train/learning_rate,rollout/success rate,train/critic_loss
513360,55.17,320.2573303222656,132,3861,-128.26610289,513472,8882,0.001,0.53,4592.923678588867
513380,54.34,324.46051635742185,132,3867,-127.73934397,513489,8883,0.001,0.54,4355.78313293457
,54.34,,132,3869,-127.88516492999999,513495,8884,,0.54,
,54.11,,132,3876,-127.17401017999998,513498,8885,,0.54,
513480,54.11,314.1653594970703,131,3893,-131.19403354,513598,8886,0.001,0.54,4631.154057312012
513580,54.11,323.74073181152346,131,3912,-132.30365442000002,513698,8887,0.001,0.54,3854.770263671875
513600,53.16,323.13739318847655,131,3915,-131.75797792999998,513703,8888,0.001,0.55,4496.132049560547
,53.05,,131,3918,-131.31274597,513709,8889,,0.55,
513640,53.29,321.89691467285155,130,3930,-131.87347999,513742,8890,0.001,0.55,4443.6107727050785
513740,54.19,321.8296722412109,129,3956,-132.0616436,513842,8891,0.001,0.54,2871.200605773926
,54.24,,129,3961,-132.12272242999998,513860,8892,,0.54,
513840,54.24,316.8244201660156,129,3980,-127.19372672999998,513960,8893,0.001,0.54,4832.125112915039
513920,53.95,319.60458984375,128,3996,-127.14508547999998,514031,8894,0.001,0.55,4510.863177490234
514020,54.93,319.1790374755859,128,4014,-127.84045911,514131,8895,0.001,0.54,3999.2958648681642
,54.69,,128,4015,-127.70796498,514135,8896,,0.54,
514120,55.61,322.1950378417969,127,4039,-128.72228249,514235,8897,0.001,0.53,4255.952014160156
514220,55.61,318.7770690917969,126,4072,-126.08888127,514335,8898,0.001,0.53,4041.302572631836
514240,54.82,323.40549621582034,126,4076,-123.19538829000001,514356,8899,0.001,0.54,3269.857955932617
514340,55.66,322.8702880859375,125,4094,-124.09021141000001,514456,8900,0.001,0.53,4606.609301757812
514360,55.39,323.666015625,125,4098,-123.22432005,514465,8901,0.001,0.53,3531.466157531738
514460,56.32,322.222509765625,124,4126,-127.53157109,514565,8902,0.001,0.52,4604.203860473633
514500,55.8,321.46372680664064,124,4144,-127.71069815000001,514613,8903,0.001,0.53,4396.826864624023
,54.86,,124,4146,-127.14435918000001,514619,8904,,0.54,
514600,55.25,322.54798278808596,123,4172,-126.97588921,514719,8905,0.001,0.53,4196.7408447265625
514700,55.25,322.91143188476565,122,4201,-122.20314716000001,514819,8906,0.001,0.53,4562.154089355468
514800,55.25,318.18670654296875,122,4218,-122.54408853999999,514919,8907,0.001,0.53,5410.8334686279295
514820,55.13,321.3140411376953,121,4222,-122.24570316999998,514928,8908,0.001,0.53,4069.695928955078
514920,55.77,319.8868469238281,121,4246,-122.03211309999999,515028,8909,0.001,0.52,3406.897592163086
515020,56.7,326.44960632324216,120,4266,-122.78902539999999,515128,8910,0.001,0.51,3493.2589111328125
515120,57.57,321.8141387939453,119,4301,-123.38609466000001,515228,8911,0.001,0.5,4437.178610229492
515200,57.44,321.2836486816406,119,4320,-125.30712556000002,515315,8912,0.001,0.51,5273.387127685547
515300,57.44,323.33351135253906,118,4348,-123.21526106000002,515415,8913,0.001,0.51,3728.262191772461
515340,57.64,324.54454040527344,117,4370,-124.73600768000001,515453,8914,0.001,0.51,4925.9265914917
,57.64,,117,4377,-124.73951453000001,515458,8915,,0.51,
515360,56.7,325.33538818359375,117,4380,-123.33729145000001,515464,8916,0.001,0.52,5424.036267089844
,55.74,,117,4383,-121.80941945000001,515468,8917,,0.53,
,54.83,,117,4386,-116.41614402,515477,8918,,0.54,
515460,55.74,325.98680114746094,116,4413,-121.55172756,515577,8919,0.001,0.53,3252.8402618408204
515560,55.74,322.2563507080078,116,4441,-123.22808078,515677,8920,0.001,0.53,4428.864514160156
515580,55.86,322.608544921875,115,4448,-123.70884114999998,515700,8921,0.001,0.53,4285.55334777832
515600,55.26,316.94935913085936,115,4451,-123.34666919,515708,8922,0.001,0.53,4575.655007934571
,54.35,,115,4454,-118.87151965,515717,8923,,0.54,
515620,54.41,322.31324768066406,115,4459,-118.89198010999999,515732,8924,0.001,0.54,5083.714440917969
515640,54.46,319.97385559082034,115,4469,-119.00181672,515743,8925,0.001,0.54,4607.650689697266
515740,55.39,321.91783752441404,114,4488,-119.50817244,515843,8926,0.001,0.53,4041.8484466552736
,54.45,,114,4490,-118.06706149999998,515849,8927,,0.54,
,54.45,,114,4497,-118.06008812999998,515853,8928,,0.54,
,53.49,,114,4505,-117.32302233999997,515857,8929,,0.55,
515780,52.84,318.8491271972656,114,4522,-112.97012943999997,515892,8930,0.001,0.56,4123.341299438476
515800,52.88,316.01763916015625,113,4527,-113.35115276999998,515904,8931,0.001,0.56,5265.673486328125
,52.86,,113,4529,-113.39648191,515907,8932,,0.56,
515900,53.72,323.32427368164065,113,4553,-113.95222068999999,516007,8933,0.001,0.55,3831.349594116211
516000,53.72,317.9885223388672,112,4577,-112.90690249,516107,8934,0.001,0.55,4441.780819702149
516060,53.27,323.55052795410154,112,4590,-108.06985829,516162,8935,0.001,0.56,3980.69983215332
516100,52.71,320.7474090576172,112,4604,-103.84630263999999,516206,8936,0.001,0.57,4689.376556396484
