train/actor_loss,time/episodes,train/critic_loss,rollout/ep_len_mean,time/total timesteps,train/learning_rate,time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/success rate,train/n_updates
373.30353393554685,7740,6661.227691650391,18.46,406863,0.001,2507,-17.098142470000003,162,0.94,406760
370.0276580810547,7744,5960.178518676757,19.09,406976,0.001,2538,-19.38624696,160,0.94,406860
367.5325439453125,7748,6971.452743530273,19.66,407082,0.001,2584,-22.808801990000003,157,0.94,406980
372.45689697265624,7752,4832.880877685547,20.83,407226,0.001,2626,-27.347914180000004,155,0.93,407120
375.34613647460935,7756,5133.569116210938,18.94,407253,0.001,2640,-21.487862170000003,154,0.95,407140
373.33754272460936,7760,6091.960174560547,19.09,407293,0.001,2654,-21.63327434,153,0.95,407180
374.7074279785156,7764,5299.461373901368,19.39,407354,0.001,2678,-22.162789430000004,152,0.95,407240
367.59084167480466,7768,5604.7293701171875,20.15,407478,0.001,2707,-26.02841966,150,0.94,407360
374.78851928710935,7772,5147.532846069336,20.48,407539,0.001,2726,-26.93853426,149,0.94,407420
377.9150054931641,7776,4232.519915771484,19.91,407636,0.001,2755,-25.16193767,147,0.95,407520
374.402099609375,7780,5534.227947998047,19.92,407677,0.001,2779,-25.488087260000007,146,0.95,407560
374.0399627685547,7784,5987.727709960937,19.79,407708,0.001,2793,-25.52548021,145,0.95,407600
371.1249603271484,7788,6318.687347412109,19.18,407739,0.001,2811,-25.118922060000003,145,0.95,407620
377.5362487792969,7792,5410.277099609375,19.64,407816,0.001,2833,-26.300738530000004,143,0.95,407700
366.77484436035155,7796,7996.6090087890625,20.24,407968,0.001,2876,-27.104551010000005,141,0.94,407860
373.23179016113284,7800,6045.000561523438,20.42,408088,0.001,2908,-27.204631770000006,140,0.93,407980
372.95135192871095,7804,7055.604211425782,21.19,408226,0.001,2941,-27.69376506,138,0.92,408120
377.7244842529297,7808,5292.634820556641,22.17,408357,0.001,2980,-28.197973070000003,136,0.91,408240
376.66954345703124,7812,6404.48932800293,22.1,408487,0.001,3016,-30.58624869,135,0.91,408380
375.0484649658203,7816,5564.214270019531,21.81,408579,0.001,3039,-27.771169510000004,134,0.92,408460
