time/time_elapsed,train/critic_loss,train/std,train/actor_loss,rollout/ep_rew_mean,train/ent_coef_loss,rollout/success rate,time/episodes,time/fps,train/learning_rate,time/total timesteps,train/ent_coef,rollout/ep_len_mean,train/n_updates
6970,24.994462966918945,0.050179146230220795,71.8966064453125,-334.41002623,-8.158805847167969,0.04,1220,17,0.0003,120084,0.17670471966266632,99.07,5999
7186,61.62811279296875,0.05017995834350586,71.99298858642578,-328.18377994,-8.632026672363281,0.04,1224,16,0.0003,120484,0.17590835690498352,99.07,6019
7355,122.53746032714844,0.05018073320388794,72.33311462402344,-329.65884382,-7.604792594909668,0.04,1228,16,0.0003,120884,0.17513975501060486,99.07,6039
7530,3.6042873859405518,0.05018135905265808,72.14639282226562,-326.44154432000005,-7.854686737060547,0.04,1232,16,0.0003,121284,0.17433159053325653,99.07,6059
7673,41.487632751464844,0.05018123984336853,72.16995239257812,-323.87027321,-8.694313049316406,0.05,1236,15,0.0003,121599,0.17371462285518646,98.22,6074
7853,48.42278289794922,0.05017780512571335,72.04776000976562,-322.84190895000006,-10.491156578063965,0.05,1240,15,0.0003,121999,0.17288170754909515,98.22,6094
8073,3.430995464324951,0.05017419904470444,72.63458251953125,-321.82194336000003,-7.369312286376953,0.05,1244,15,0.0003,122399,0.17206832766532898,98.22,6114
8262,72.19273376464844,0.050175778567790985,72.5306625366211,-319.69410918,-11.044090270996094,0.05,1248,14,0.0003,122799,0.1713079959154129,98.22,6134
8417,79.9388656616211,0.050174787640571594,71.8135986328125,-319.23469113000004,-9.932098388671875,0.05,1252,14,0.0003,123199,0.17051848769187927,98.22,6154
8532,21.87017250061035,0.050174638628959656,72.79341888427734,-316.25349,-9.639632225036621,0.05,1256,14,0.0003,123513,0.16991138458251953,97.65,6170
8723,19.879911422729492,0.05017774552106857,72.51937866210938,-311.33150177000005,-8.769649505615234,0.05,1260,14,0.0003,123913,0.169186532497406,97.65,6190
8915,40.380699157714844,0.05017955228686333,72.56227111816406,-302.31723992999997,-7.236358642578125,0.05,1264,13,0.0003,124313,0.1684049814939499,97.65,6210
9092,67.72209167480469,0.050181351602077484,72.69747161865234,-301.45700366,-8.677687644958496,0.05,1268,13,0.0003,124713,0.16766873002052307,97.65,6230
9286,64.76448822021484,0.05018032714724541,71.66004943847656,-295.56594719,-6.4261474609375,0.05,1272,13,0.0003,125113,0.1669004112482071,97.65,6250
