time/total timesteps,time/fps,train/critic_loss,rollout/ep_len_mean,train/actor_loss,time/episodes,rollout/ep_rew_mean,train/n_updates,train/learning_rate,time/time_elapsed,rollout/success rate
985244,20,191.05071594238282,7752.44,828.0145349121094,121,-50995.09380218,985100,0.001,47881,0.4
988771,20,290.7004160690308,7687.71,821.4312097167968,122,-50325.76490429,988600,0.001,48055,0.41
989552,20,197.82377029418944,7595.52,833.1780285644531,123,-49359.84921414,989400,0.001,48087,0.42
996382,20,386.6338423156738,7563.82,823.3598474121094,124,-48899.16905316001,996200,0.001,48424,0.43
999773,20,368.7988936805725,7497.73,824.8839916992188,125,-48527.66390729,999600,0.001,48585,0.44
1002648,20,83.72620510101318,7426.48,817.3600317382812,126,-47457.60514634001,1002500,0.001,48729,0.45
1007314,20,163.5314597892761,7373.14,815.4744934082031,127,-47195.74334392001,1007200,0.001,48948,0.46
1008611,20,477.11461097717284,7286.11,809.2991040039062,128,-46780.65680334001,1008500,0.001,49011,0.47
1017039,20,151.30538074493407,7270.39,812.8809936523437,129,-46724.38223127,1016900,0.001,49420,0.48
1017403,20,76.5523858833313,7174.03,795.259716796875,130,-46188.32157412,1017300,0.001,49436,0.49
1020424,20,497.8538985824585,7104.24,803.1681909179688,131,-45706.53682814,1020300,0.001,49588,0.5
1024325,20,174.8898024368286,7112.4,804.1585607910156,132,-45714.44453126,1024200,0.001,49776,0.5
1031586,20,483.55331062316895,7085.01,786.3095202636719,133,-44449.66038418,1031400,0.001,50123,0.51
1033136,20,447.95664543151855,7000.51,782.9051892089843,134,-44226.45469881001,1033000,0.001,50203,0.52
1034982,20,120.72826068878175,6918.97,788.4902954101562,135,-43633.798273210006,1034800,0.001,50288,0.53
1044982,20,110.40694187164307,6918.97,767.0802600097657,136,-42494.75338705,1044800,0.001,50773,0.53
1048925,20,200.39238620758056,6858.4,775.951591796875,137,-41895.71057912,1048800,0.001,50965,0.54
1054856,20,319.00806747436525,6817.71,772.5278991699219,138,-41278.028044800005,1054700,0.001,51268,0.55
1057005,20,337.9452853965759,6739.2,753.750849609375,139,-40818.632948390004,1056900,0.001,51378,0.56
1061605,20,371.3087512588501,6685.2,761.0701977539062,140,-39729.95555423,1061500,0.001,51603,0.57
1068184,20,204.1343326187134,6650.99,761.6846228027343,141,-39285.75462051,1068000,0.001,51924,0.58
1070575,20,180.88133232116698,6574.9,760.1511059570313,142,-39001.162264419996,1070400,0.001,52038,0.59
1072949,20,87.27896291732787,6498.64,754.2531713867188,143,-38669.80577541,1072800,0.001,52151,0.6
1082949,20,257.17067081451415,6498.64,766.4362939453125,144,-38568.2961341,1082800,0.001,52632,0.6
1083586,20,177.5914123916626,6405.01,772.43943359375,145,-37954.98630971,1083400,0.001,52669,0.61
1087939,20,105.57933738708496,6348.54,736.4839135742187,146,-37542.126508839996,1087800,0.001,52877,0.62
1097939,20,99.74312728881836,6348.54,747.3511010742187,147,-37698.08990239,1097800,0.001,53363,0.62
1098506,20,229.74887874603272,6254.21,767.6187377929688,148,-37275.82416788,1098400,0.001,53396,0.63
1100376,20,308.0810091781616,6172.91,755.8896643066406,149,-36671.974536559996,1100200,0.001,53483,0.64
1104355,20,69.89323202133178,6112.7,749.7754028320312,150,-36164.56414568,1104200,0.001,53674,0.65
1112995,20,61.35920661926269,6099.1,745.3419873046874,151,-36681.760222259996,1112800,0.001,54095,0.66
1119381,20,194.56431118011474,6062.96,758.3419702148437,152,-36660.84892099,1119200,0.001,54404,0.67
1127410,20,511.12260948181154,6043.25,756.4720971679687,153,-36241.23775937,1127300,0.001,54799,0.68
1127706,20,114.09485763549804,5946.21,743.120849609375,154,-35059.70786529,1127600,0.001,54814,0.69
1129275,20,152.75285285949707,5861.9,742.9288403320312,155,-34492.32005884,1129100,0.001,54889,0.7
1133537,20,310.1830381011963,5804.52,745.4048657226563,156,-34097.33333509,1133400,0.001,55094,0.71
1133920,20,437.03261291503907,5708.35,752.9723449707031,157,-33066.658856070004,1133800,0.001,55119,0.72
1137409,20,380.68618392944336,5673.64,745.1516235351562,158,-32996.2885428,1137300,0.001,55282,0.72
1145275,20,433.6111742401123,5652.3,748.5527893066406,159,-33312.07699543,1145100,0.001,55670,0.73
1146968,20,180.82449096679687,5569.23,734.8284204101562,160,-32717.593636899997,1146800,0.001,55748,0.74
1147398,20,305.29771518707275,5473.53,743.9629309082031,161,-32009.465382709997,1147200,0.001,55766,0.75
1148010,20,226.79521705627442,5379.65,740.7168774414063,162,-31462.49457147,1147900,0.001,55801,0.76
1151931,20,181.85237937927246,5333.78,748.4590148925781,163,-31422.56791742,1151800,0.001,55992,0.76
1155245,20,151.31998722076415,5266.92,728.0791735839844,164,-30892.83959452,1155100,0.001,56152,0.77
1156911,20,175.72714714050292,5183.58,733.59685546875,165,-30382.32134248,1156800,0.001,56234,0.78
1157767,20,178.55732807159424,5092.14,739.4924633789062,166,-29438.24370259,1157600,0.001,56275,0.79
1164000,20,347.9146262741089,5054.47,733.2158374023437,167,-29533.129070100003,1163800,0.001,56571,0.8
1165718,20,252.67407024383544,4971.65,731.1528649902343,168,-28637.9707091,1165600,0.001,56659,0.81
1170698,20,475.8160382080078,4921.45,728.8435876464844,169,-28067.238921520002,1170500,0.001,56901,0.82
1171329,20,324.23624633789063,4827.76,732.2311303710937,170,-27651.02754915,1171200,0.001,56927,0.83
1171759,20,141.0335073852539,4732.06,736.9720727539062,171,-27164.671210369997,1171600,0.001,56951,0.84
1173061,20,566.1853006362915,4645.08,731.929580078125,172,-26831.244919410005,1172900,0.001,57015,0.85
