time/total timesteps,time/time_elapsed,rollout/success rate,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/episodes,train/n_updates,train/actor_loss,train/critic_loss,train/learning_rate
304118,3699,0.83,82,-2553.86790549,25.13,6748,,,,
304125,3707,0.83,82,-2555.3401133899997,25.13,6749,304020,11120.29462890625,5839238.06875,0.001
304129,3724,0.83,81,-2554.6750580999997,25.13,6750,,,,
304134,3726,0.83,81,-2544.5759388799997,25.13,6751,,,,
304234,3755,0.82,81,-2650.54087031,26.08,6752,304120,11071.419140625,6757034.76875,0.001
304334,3787,0.81,80,-2809.2841406,26.94,6753,304220,11200.30029296875,7018598.13125,0.001
304343,3790,0.81,80,-2800.7415259699997,26.98,6754,304240,11348.50751953125,5431043.70625,0.001
304348,3793,0.81,80,-2801.14534775,27.0,6755,,,,
304351,3795,0.81,80,-2791.7471913700006,26.62,6756,,,,
304359,3803,0.81,80,-2788.602735740001,26.48,6757,,,,
304384,3818,0.81,79,-2791.5575206800004,26.63,6758,304280,11303.7017578125,4911427.83125,0.001
304389,3856,0.81,78,-2792.419954910001,26.63,6759,,,,
304489,3899,0.8,78,-3099.032254830001,27.6,6760,304380,11043.4173828125,5905615.125,0.001
304589,3936,0.8,77,-3100.3418453900003,27.6,6761,304480,11179.6244140625,6700372.91875,0.001
304600,3944,0.8,77,-3101.9549173100004,27.68,6762,,,,
304604,3957,0.81,76,-3084.6409190199997,26.72,6763,304500,11202.2009765625,6859555.3875,0.001
304608,3994,0.81,76,-3092.7685154999995,26.68,6764,,,,
304612,3997,0.81,76,-3078.75488022,26.64,6765,,,,
304712,4024,0.8,75,-3109.4671846200004,27.59,6766,304600,11202.58251953125,6636262.6375,0.001
304716,4036,0.8,75,-3110.414547940001,27.6,6767,,,,
304722,4044,0.8,75,-3117.7458029400004,27.55,6768,304620,11042.46689453125,7137999.83125,0.001
304736,4053,0.8,75,-3120.0869129600005,27.64,6769,,,,
304745,4056,0.8,75,-3116.4380375100004,27.42,6770,304640,11219.86875,5469731.4125,0.001
304750,4059,0.8,75,-3113.36999,27.38,6771,,,,
304755,4061,0.8,75,-3103.5222352299998,27.37,6772,,,,
304758,4069,0.81,74,-2992.388925879999,26.4,6773,,,,
304764,4071,0.81,74,-2992.1239973799993,26.42,6774,304660,11202.65234375,5882796.65625,0.001
304769,4074,0.81,74,-2989.8578526399997,26.38,6775,,,,
304775,4076,0.81,74,-2989.45330991,26.36,6776,,,,
304789,4101,0.81,74,-2996.33227669,26.48,6777,304680,11316.0203125,6000246.68125,0.001
304794,4114,0.81,74,-2993.5053281099995,26.43,6778,,,,
304800,4142,0.81,73,-2994.7347459699995,26.45,6779,,,,
304805,4165,0.82,73,-2594.59475652,25.5,6780,304700,11311.68701171875,8216744.375,0.001
304809,4168,0.82,73,-2593.6569556000004,25.46,6781,,,,
304909,4213,0.81,72,-2661.99442329,26.43,6782,304800,11325.24140625,6321762.40625,0.001
304914,4216,0.81,72,-2651.5972885200003,26.44,6783,,,,
304922,4220,0.81,72,-2653.0875622100007,26.48,6784,304820,11151.421484375,5611269.16875,0.001
304939,4250,0.81,71,-2684.0335467700006,26.55,6785,,,,
305030,4273,0.81,71,-2696.378005230001,27.39,6786,304920,11026.4916015625,8876343.75625,0.001
305036,4286,0.81,71,-2690.6769711000006,26.99,6787,,,,
305040,4303,0.81,70,-2691.39582294,27.0,6788,,,,
305076,4348,0.81,70,-2679.9835017200003,27.2,6789,304960,11036.77021484375,6573095.73125,0.001
305101,4356,0.82,70,-2646.660368,26.45,6790,305000,11190.0958984375,6411986.0125,0.001
305116,4361,0.83,69,-2598.5860484900004,25.6,6791,,,,
305119,4399,0.83,69,-2599.4623902099997,25.59,6792,,,,
305219,4432,0.82,68,-2650.65846732,26.51,6793,305100,11105.84990234375,8137425.15,0.001
305223,4479,0.82,68,-2650.9003272900004,26.52,6794,305120,11228.7228515625,5956785.09375,0.001
305226,4481,0.82,68,-2649.9738062600004,26.5,6795,,,,
305231,4509,0.82,67,-2657.93046992,26.39,6796,,,,
305279,4530,0.82,67,-2668.5633952800003,26.7,6797,305160,11228.29638671875,6143133.3875,0.001
305285,4538,0.82,67,-2625.66069137,26.64,6798,305180,11151.1767578125,5489665.20625,0.001
305289,4545,0.82,67,-2625.0725238400005,26.63,6799,,,,
305300,4570,0.83,66,-2590.7914733499997,25.74,6800,,,,
305307,4573,0.83,66,-2562.15135782,25.77,6801,305200,11304.99052734375,5059990.56875,0.001
305315,4611,0.83,66,-2554.18831353,25.8,6802,,,,
305415,4642,0.82,65,-2566.5303351000002,26.72,6803,305300,11052.89345703125,7139728.559375,0.001
305515,4671,0.81,65,-2613.8355931600004,27.63,6804,305400,11111.64501953125,7381088.94375,0.001
305615,4705,0.81,64,-2620.9291839000007,27.63,6805,305500,11292.642578125,5486121.28125,0.001
305691,4736,0.81,64,-2602.6376675100005,28.18,6806,305580,11351.3453125,6480749.375,0.001
305698,4769,0.81,64,-2602.3668799300003,28.18,6807,,,,
305706,4782,0.81,63,-2662.22995806,28.19,6808,305600,11122.003125,6520688.2625,0.001
305732,4790,0.81,63,-2716.92266505,28.4,6809,305620,11225.1408203125,6278572.1875,0.001
305736,4817,0.81,63,-2680.7481966799996,28.23,6810,,,,
305738,4819,0.82,63,-2650.3902835699996,27.25,6811,,,,
305743,4822,0.82,63,-2657.9482470999997,27.19,6812,305640,11177.49541015625,6269347.153125,0.001
305747,4880,0.82,62,-2666.4835942199993,27.18,6813,,,,
305770,4886,0.82,62,-2669.085909929999,27.36,6814,305660,11202.3791015625,7140195.2875,0.001
305773,4893,0.82,62,-2664.5037663000003,27.19,6815,,,,
305779,4911,0.82,62,-2653.54280761,27.15,6816,,,,
305786,4955,0.82,61,-2643.37030871,27.17,6817,305680,11242.48798828125,5600833.2125,0.001
305886,4985,0.81,61,-2682.43245697,27.98,6818,305780,11191.01064453125,6874733.34375,0.001
305893,5003,0.81,61,-2683.7498653,28.04,6819,,,,
305961,5037,0.82,60,-2658.36227873,27.72,6820,305860,11136.7619140625,6940665.4,0.001
305968,5045,0.82,60,-2656.67240683,27.38,6821,,,,
