time/time_elapsed,time/total timesteps,train/learning_rate,train/actor_loss,rollout/ep_rew_mean,rollout/success rate,train/critic_loss,rollout/ep_len_mean,time/episodes,time/fps,train/n_updates
34580,3851692,0.001,7853.155927734375,-773857.13716631,0.22,85045.233203125,13653.05,534,111,3826600
34863,3866692,0.001,8113.14451171875,-822079.0381984101,0.22,51656.15685546875,13653.05,535,110,3841600
35013,3874867,0.001,8152.52720703125,-818480.719913,0.23,64275.54194335938,13584.8,536,110,3849800
35288,3889867,0.001,8092.725908203125,-827660.7278380799,0.23,62707.12900390625,13584.8,537,110,3864800
35564,3904867,0.001,8293.4755078125,-827635.18998907,0.23,96981.7915234375,13584.8,538,109,3879800
35805,3918043,0.001,8220.12556640625,-825370.85920736,0.24,49972.218125,13566.56,539,109,3893000
35880,3922126,0.001,8302.09515625,-818415.01377031,0.25,124355.07205078125,13457.39,540,109,3897100
36072,3932587,0.001,8275.532177734374,-812604.6631020199,0.26,84175.18413085937,13412.0,541,109,3907500
36347,3947587,0.001,8133.973291015625,-815814.79572468,0.25,48322.32865234375,13426.96,542,108,3922500
36529,3957488,0.001,8002.446435546875,-811184.8403334001,0.26,91261.72998046875,13375.97,543,108,3932400
36638,3963432,0.001,8084.916240234375,-805257.0596002699,0.27,69727.231328125,13285.41,544,108,3938400
36913,3978432,0.001,8123.287470703125,-802958.1310365298,0.27,103585.42271484375,13285.41,545,107,3953400
37188,3993432,0.001,8160.259677734375,-806214.0547986099,0.27,51382.02435546875,13285.41,546,107,3968400
