time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,rollout/success rate,time/episodes,time/total timesteps,train/actor_loss,train/learning_rate,train/n_updates,train/critic_loss
7269,-269763.23331132927,5000.0,56,0.0,82,410000,5448.694443359375,0.001,384900,19958.668315429688
7360,-272165.00358542165,5000.0,56,0.0,83,415000,5429.050498046875,0.001,389900,13741.600805664062
7450,-272052.7577747976,5000.0,56,0.0,84,420000,5521.69302734375,0.001,394900,39240.447758789065
7540,-271166.31893523526,5000.0,56,0.0,85,425000,5508.1990625,0.001,399900,30270.672585449218
7630,-269599.4289744651,5000.0,56,0.0,86,430000,5541.419638671875,0.001,404900,30558.24884765625
7720,-268262.054534046,5000.0,56,0.0,87,435000,5493.772568359375,0.001,409900,9709.445190429688
7810,-266865.84804371593,5000.0,56,0.0,88,440000,5457.232587890625,0.001,414900,11449.050439453125
7900,-268365.02598860674,5000.0,56,0.0,89,445000,5467.84142578125,0.001,419900,14864.168991699218
7995,-268070.4805257889,5000.0,56,0.0,90,450000,5527.0668359375,0.001,424900,9478.161115722656
8091,-267796.7296285824,5000.0,56,0.0,91,455000,5497.275478515625,0.001,429900,21423.052846679686
8186,-266748.7754701196,5000.0,56,0.0,92,460000,5518.896474609375,0.001,434900,12925.774533691407
8280,-266088.8747860216,5000.0,56,0.0,93,465000,5485.14693359375,0.001,439900,17406.664621582033
8318,-263831.8671677235,4967.808510638298,56,0.010638297872340425,94,466974,5480.87509765625,0.001,441900,55456.74142089844
8412,-263134.375235779,4968.147368421052,56,0.010526315789473684,95,471974,5436.06640625,0.001,446900,15710.491755371093
8508,-264490.1697915834,4968.479166666667,56,0.010416666666666666,96,476974,5423.81857421875,0.001,451900,36208.05463378906
8603,-263341.1796687526,4968.80412371134,56,0.010309278350515464,97,481974,5423.97322265625,0.001,456900,31734.68853515625
8697,-262217.70504234696,4969.122448979592,55,0.01020408163265306,98,486974,5423.25697265625,0.001,461900,20505.566662597656
8791,-261303.97749722225,4969.434343434344,55,0.010101010101010102,99,491974,5460.974140625,0.001,466900,17699.03957519531
8886,-260081.97299533003,4969.74,55,0.01,100,496974,5411.736513671875,0.001,471900,22599.27770751953
8981,-257893.51780218002,4969.74,55,0.01,101,501974,5309.6394921875,0.001,476900,46193.86186523437
9074,-254452.68829122,4969.74,55,0.01,102,506974,5306.8304296875,0.001,481900,26495.32614013672
9168,-252601.97040452997,4969.74,55,0.01,103,511974,5329.67337890625,0.001,486900,16932.359565429688
9264,-254523.60031163998,4969.74,55,0.01,104,516974,5336.089345703125,0.001,491900,18259.706994628905
9358,-251734.58062711,4969.74,55,0.01,105,521974,5339.299697265625,0.001,496900,18722.918374023437
9453,-248822.80984334997,4969.74,55,0.01,106,526974,5322.9749609375,0.001,501900,42567.1991015625
9547,-244517.8450441,4969.74,55,0.01,107,531974,5192.825751953125,0.001,506900,19993.22401611328
9642,-239834.59383234006,4969.74,55,0.01,108,536974,5272.224052734375,0.001,511900,45033.3209765625
9736,-238177.19735803,4969.74,55,0.01,109,541974,5255.58646484375,0.001,516900,20779.852270507814
9831,-237833.030616,4969.74,55,0.01,110,546974,5229.290927734375,0.001,521900,23052.70053955078
9927,-236101.73783829,4969.74,55,0.01,111,551974,5212.375380859375,0.001,526900,33358.291596679686
10023,-235173.52781575004,4969.74,55,0.01,112,556974,5236.90515625,0.001,531900,19930.91416748047
10118,-233821.17412656,4969.74,55,0.01,113,561974,5323.515673828125,0.001,536900,18947.61830078125
10214,-232159.50949132003,4969.74,55,0.01,114,566974,5226.73716796875,0.001,541900,13136.343291015624
10310,-236915.15112284,4969.74,55,0.01,115,571974,5299.4009765625,0.001,546900,21818.57356933594
10401,-244226.28241396,4969.74,55,0.01,116,576974,5380.507998046875,0.001,551900,20239.203759765624
10491,-242996.85283428,4969.74,55,0.01,117,581974,5316.904921875,0.001,556900,42652.84259765625
10580,-243669.49413203995,4969.74,55,0.01,118,586974,5429.518076171875,0.001,561900,45141.46088134766
10670,-242907.06683476,4969.74,55,0.01,119,591974,5411.1638671875,0.001,566900,67462.42129882812
10759,-242161.87274039994,4969.74,55,0.01,120,596974,5462.6759375,0.001,571900,26034.824799804686
10851,-242902.46575692,4969.74,55,0.01,121,601974,5402.05853515625,0.001,576900,59369.19240966797
10942,-245088.79277513997,4969.74,55,0.01,122,606974,5494.870263671875,0.001,581900,45327.71559082031
11031,-244680.86368047996,4969.74,55,0.01,123,611974,5425.734736328125,0.001,586900,127776.91249023438
11122,-244180.84862966996,4969.74,55,0.01,124,616974,5524.096259765625,0.001,591900,18141.23871826172
11212,-243628.03706515997,4969.74,55,0.01,125,621974,5431.690458984375,0.001,596900,45485.54340332031
11302,-242859.35154758996,4969.74,55,0.01,126,626974,5464.92880859375,0.001,601900,18220.01708496094
11393,-242210.77383737,4969.74,55,0.01,127,631974,5503.441982421875,0.001,606900,37490.896184082034
11482,-242876.84204145998,4969.74,55,0.01,128,636974,5429.52330078125,0.001,611900,17055.67362792969
11573,-237906.88807699,4969.74,55,0.01,129,641974,5459.200263671875,0.001,616900,207209.20221679687
11663,-237551.40555374,4969.74,55,0.01,130,646974,5388.7347265625,0.001,621900,49554.13855957031
11754,-236094.62083482998,4969.74,55,0.01,131,651974,5390.45181640625,0.001,626900,23485.348374023437
11844,-235476.92207240994,4969.74,55,0.01,132,656974,5398.4605078125,0.001,631900,17167.321713867186
11935,-235128.03888921998,4969.74,55,0.01,133,661974,5337.250283203125,0.001,636900,29096.274814453125
12025,-227249.28862723,4969.74,55,0.01,134,666974,5379.698125,0.001,641900,64250.48159667969
12115,-226639.95287203,4969.74,55,0.01,135,671974,5357.361533203125,0.001,646900,40468.75642089844
12205,-226949.67388223004,4969.74,55,0.01,136,676974,5340.22400390625,0.001,651900,32689.490942382814
12295,-226158.92704938003,4969.74,55,0.01,137,681974,5380.830810546875,0.001,656900,27242.097905273436
12385,-225989.95711873003,4969.74,55,0.01,138,686974,5252.10046875,0.001,661900,61819.52923339844
12475,-225258.46557804002,4969.74,55,0.01,139,691974,5345.745576171875,0.001,666900,19450.364489746094
12564,-224407.14599143004,4969.74,55,0.01,140,696974,5356.5269140625,0.001,671900,18039.19081665039
12654,-222584.62638409,4969.74,55,0.01,141,701974,5268.862509765625,0.001,676900,14612.651799316407
12744,-222861.91627122005,4969.74,55,0.01,142,706974,5298.544189453125,0.001,681900,24883.361838378907
12833,-222096.55053404,4969.74,55,0.01,143,711974,5322.03970703125,0.001,686900,132492.88134765625
12923,-219389.57415428,4969.74,55,0.01,144,716974,5234.560615234375,0.001,691900,17425.946735839843
13013,-217223.74914354002,4969.74,55,0.01,145,721974,5268.002939453125,0.001,696900,17083.302482910156
13102,-217032.92584079003,4969.74,55,0.01,146,726974,5306.285205078125,0.001,701900,51039.70272460938
13192,-217361.29975656004,4969.74,55,0.01,147,731974,5275.113828125,0.001,706900,34164.3422265625
13282,-217778.71269512002,4969.74,55,0.01,148,736974,5233.575712890625,0.001,711900,49810.98118652344
13372,-217314.61400030003,4969.74,55,0.01,149,741974,5166.296669921875,0.001,716900,46622.331970214844
13461,-217394.97133414,4969.74,55,0.01,150,746974,5198.150830078125,0.001,721900,20791.79378173828
13551,-216151.27405416,4969.74,55,0.01,151,751974,5224.36537109375,0.001,726900,191318.20474609375
13640,-215737.59941924002,4969.74,55,0.01,152,756974,5160.754228515625,0.001,731900,40773.57262939453
13730,-215425.95779369,4969.74,55,0.01,153,761974,5223.014482421875,0.001,736900,17340.62736328125
13819,-215249.52895729,4969.74,55,0.01,154,766974,5148.10111328125,0.001,741900,20173.33809814453
13909,-215020.89542127002,4969.74,55,0.01,155,771974,5238.5201953125,0.001,746900,21588.17462402344
13998,-214816.66557459,4969.74,55,0.01,156,776974,5180.149208984375,0.001,751900,15143.300786132813
14087,-214328.74483243,4969.74,55,0.01,157,781974,5215.142392578125,0.001,756900,41511.59724609375
14177,-213610.97888056,4969.74,55,0.01,158,786974,5152.65185546875,0.001,761900,17217.395895996095
14267,-212789.82426357002,4969.74,55,0.01,159,791974,5086.330146484375,0.001,766900,19222.223349609376
14357,-212832.44810523998,4969.74,55,0.01,160,796974,5067.51521484375,0.001,771900,128874.33296875
14446,-212516.20350832,4969.74,55,0.01,161,801974,5112.61423828125,0.001,776900,40735.019943847656
14536,-211774.5616267,4969.74,55,0.01,162,806974,5149.766484375,0.001,781900,33423.061872558595
14626,-213025.91541920003,4969.74,55,0.01,163,811974,5072.98345703125,0.001,786900,19225.347900390625
14715,-213127.89344990999,4969.74,55,0.01,164,816974,5130.944560546875,0.001,791900,26822.02134765625
14805,-213368.44376627,4969.74,55,0.01,165,821974,5004.210625,0.001,796900,18069.802670898436
14895,-210149.31587679998,4969.74,55,0.01,166,826974,4959.959482421875,0.001,801900,19972.06968017578
14972,-208343.24741471998,4962.89,55,0.02,167,831289,5046.732373046875,0.001,806200,60934.28301757813
15061,-207922.32867842997,4962.89,55,0.02,168,836289,5044.2128515625,0.001,811200,41398.349052734375
15151,-208375.33823474002,4962.89,55,0.02,169,841289,4947.937119140625,0.001,816200,25572.57064453125
15240,-205388.44294622997,4962.89,55,0.02,170,846289,4954.632666015625,0.001,821200,24668.299033203126
15330,-205746.22537693006,4962.89,55,0.02,171,851289,5066.428701171875,0.001,826200,27079.31870361328
15419,-205942.45987582003,4962.89,55,0.02,172,856289,4910.82447265625,0.001,831200,26157.13751220703
15509,-205641.14853578003,4962.89,55,0.02,173,861289,4852.525693359375,0.001,836200,35182.02613769531
15598,-205827.47939756003,4962.89,55,0.02,174,866289,4951.10498046875,0.001,841200,143782.68727539064
15688,-206493.50976996002,4962.89,55,0.02,175,871289,4914.338955078125,0.001,846200,12602.152873535157
15778,-206594.74544532,4962.89,55,0.02,176,876289,4952.703203125,0.001,851200,182112.22583740234
15868,-206985.55093365998,4962.89,55,0.02,177,881289,4909.691796875,0.001,856200,22914.48225830078
15958,-210509.22597359,4962.89,55,0.02,178,886289,4953.585830078125,0.001,861200,70074.93602050781
16048,-215445.13150864,4962.89,55,0.02,179,891289,5052.167900390625,0.001,866200,14463.963071289063
16138,-215727.99543040004,4962.89,55,0.02,180,896289,5015.194375,0.001,871200,19880.069379882814
16228,-221328.25797157,4962.89,55,0.02,181,901289,5073.891767578125,0.001,876200,22265.433583984373
16317,-221276.49582456,4962.89,55,0.02,182,906289,5026.750625,0.001,881200,25921.014575195313
16407,-218567.67350365,4962.89,55,0.02,183,911289,4989.284677734375,0.001,886200,26558.382294921874
16497,-218516.42715781997,4962.89,55,0.02,184,916289,4935.745,0.001,891200,23406.680649414062
16586,-218102.42360733,4962.89,55,0.02,185,921289,5042.15642578125,0.001,896200,24974.749877929688
16676,-218190.12619766005,4962.89,55,0.02,186,926289,5067.616865234375,0.001,901200,56906.986396484375
16766,-218869.30181341,4962.89,55,0.02,187,931289,5076.71990234375,0.001,906200,20854.284140625
16855,-219027.68798498,4962.89,55,0.02,188,936289,5127.830693359375,0.001,911200,27225.720927734375
16945,-216605.09601017003,4962.89,55,0.02,189,941289,4987.173017578125,0.001,916200,13845.599267578125
17034,-215920.14196999,4962.89,55,0.02,190,946289,5011.8506640625,0.001,921200,57351.11426757812
17124,-220032.52817926,4962.89,55,0.02,191,951289,5063.277255859375,0.001,926200,49007.03739013672
17213,-220542.19319379,4962.89,55,0.02,192,956289,5067.60517578125,0.001,931200,23526.785698242187
17303,-220119.77697931,4962.89,55,0.02,193,961289,5083.340615234375,0.001,936200,63882.01575927735
