time/time_elapsed,rollout/ep_rew_mean,train/actor_loss,time/episodes,rollout/ep_len_mean,train/n_updates,train/learning_rate,time/fps,time/total timesteps,rollout/success rate,train/critic_loss
28800,-277560.02375965996,2495.048759765625,936,11477.14,7126900,0.001,247,7127096,0.46,15504.963950195313
29184,-280341.21864424,2552.2740673828125,937,11594.74,7141900,0.001,244,7142096,0.45,16418.266354980467
29378,-281206.18942153995,2522.024248046875,938,11647.31,7149600,0.001,243,7149731,0.45,13187.13523803711
29609,-279774.31178381,2512.9578955078123,939,11587.08,7158600,0.001,241,7158708,0.46,27540.37013671875
30002,-279435.46810876,2459.8696044921876,940,11587.08,7173600,0.001,239,7173708,0.46,6962.442469482422
30185,-280006.96294632,2535.6466015625,941,11631.38,7180500,0.001,237,7180647,0.46,15793.217100830077
30329,-278667.5139093401,2541.97173828125,942,11588.01,7186200,0.001,236,7186313,0.46,12497.807430419922
30710,-281162.21910145006,2544.7985205078126,943,11731.21,7201200,0.001,234,7201313,0.45,12228.198234863281
30873,-281926.00946384,2473.352509765625,944,11781.74,7207600,0.001,233,7207771,0.45,9496.039068603515
31040,-280404.81882918,2504.205734863281,945,11697.34,7214200,0.001,232,7214331,0.46,7403.795874023437
31420,-281527.73683323,2426.157565917969,946,11697.34,7229200,0.001,230,7229331,0.46,20377.11178100586
31801,-281465.07737683,2514.046328125,947,11697.34,7244200,0.001,227,7244331,0.46,14047.588188476562
32162,-281066.02111226995,2504.76453125,948,11689.71,7258400,0.001,225,7258568,0.47,14793.289533691406
32543,-280647.57970298,2524.154736328125,949,11689.71,7273400,0.001,223,7273568,0.47,14968.208041992188
32629,-278804.63683127,2486.901877441406,950,11573.62,7276800,0.001,223,7276959,0.48,8389.096849365234
33010,-279918.09959036,2552.544697265625,951,11660.31,7291800,0.001,220,7291959,0.47,9324.442004394532
33326,-281407.16824934003,2519.6842138671873,952,11759.56,7304300,0.001,219,7304404,0.47,8824.481352539062
33584,-281643.13559996,2547.412580566406,953,11783.96,7314400,0.001,217,7314578,0.47,10571.522536621094
