time/time_elapsed,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/fps,train/clip_range,train/loss,train/policy_gradient_loss,train/clip_fraction,train/approx_kl,train/std,train/entropy_loss,train/explained_variance,train/n_updates,train/learning_rate,train/value_loss
15857,541,-564.7474258100001,99.22,254100,16,0.2,3635.373046875,-0.01526608470157953,0.3079999879002571,0.0508224,0.9008592963218689,-7.886138534545898,0.08907455205917358,12695,0.0003,7301.03271484375
15895,542,-564.48483223,99.22,254200,15,0.2,3888.58740234375,-0.007161400187760592,0.23199999406933786,0.045321703,0.9007927179336548,-7.88562593460083,-0.2899754047393799,12700,0.0003,7789.88720703125
15932,543,-564.65877468,99.22,254300,15,0.2,3358.789794921875,-0.016552911937469616,0.2579999942332506,0.06347514,0.9007213115692139,-7.885228252410888,0.09334194660186768,12705,0.0003,6745.7171875
15972,544,-564.8173480600001,99.22,254400,15,0.2,3660.03173828125,-0.006471869815140962,0.19999999590218068,0.030708026,0.9006621241569519,-7.884751701354981,0.04565846920013428,12710,0.0003,7355.94375
16015,545,-564.20860637,99.22,254500,15,0.2,3796.87646484375,-0.009788910117640626,0.33799998909235,0.07272325,0.9005948901176453,-7.884351348876953,-0.28147971630096436,12715,0.0003,7598.79326171875
16067,546,-563.89521145,99.22,254600,15,0.2,3206.80029296875,-0.019448170363830286,0.31400000005960466,0.07139439,0.9005807638168335,-7.884014701843261,0.05630534887313843,12720,0.0003,6462.31943359375
16110,547,-564.09206937,99.22,254700,15,0.2,3436.752197265625,0.00035846708997269163,0.1179999966174364,0.015224106,0.9005243182182312,-7.88388614654541,0.014809072017669678,12725,0.0003,6866.66103515625
16147,548,-564.18589149,99.22,254800,15,0.2,3432.909423828125,-0.011352429904218298,0.3299999892711639,0.04407674,0.9005171656608582,-7.883543682098389,0.05375790596008301,12730,0.0003,6881.4669921875
16190,549,-563.9896865200001,99.22,254900,15,0.2,3596.533203125,-0.0040032258112916,0.29199998900294305,0.05699332,0.9004700183868408,-7.883498096466065,-0.021685361862182617,12735,0.0003,7264.75244140625
16229,550,-563.6583576600001,99.22,255000,15,0.2,3526.460205078125,-0.012358825988849275,0.3079999923706055,0.054539803,0.9003900289535522,-7.883049011230469,-0.1409769058227539,12740,0.0003,7066.37919921875
16269,551,-563.1965819600001,99.22,255100,15,0.2,3185.21435546875,-0.012714877598045859,0.27800000086426735,0.054228105,0.9005503058433533,-7.883067798614502,-0.01902592182159424,12745,0.0003,6414.1357421875
16311,552,-562.52711126,99.22,255200,15,0.2,3190.021728515625,-0.015991612791549415,0.3439999897032976,0.09669345,0.9007232189178467,-7.884339618682861,-0.027730822563171387,12750,0.0003,6397.723046875
16353,553,-562.4242217100001,99.22,255300,15,0.2,3248.57861328125,-0.011177335702086566,0.1799999952316284,0.03643393,0.9007902145385742,-7.885227394104004,0.13178229331970215,12755,0.0003,6531.29296875
16401,554,-561.9270494300001,99.22,255400,15,0.2,3571.344970703125,-0.01323470400639053,0.33199998512864115,0.078690015,0.9008526802062988,-7.885595989227295,-0.11612224578857422,12760,0.0003,7159.8212890625
16444,555,-561.87883278,99.22,255500,15,0.2,3239.488037109375,-0.008074853103607893,0.07999999523162842,0.016238922,0.9009002447128296,-7.886012268066406,0.12359952926635742,12765,0.0003,6517.75634765625
16486,556,-561.99096988,99.22,255600,15,0.2,3528.182861328125,-0.006066364068510665,0.17399999536573887,0.031132912,0.9008744955062866,-7.886170864105225,-0.09362781047821045,12770,0.0003,7087.75478515625
16521,557,-562.01397859,99.22,255700,15,0.2,3379.0615234375,-0.004908231471927138,0.07399999536573887,0.016337315,0.900816798210144,-7.885851573944092,0.039030492305755615,12775,0.0003,6802.05947265625
16558,558,-561.69016214,99.22,255800,15,0.2,3375.04296875,-0.009597865201794776,0.16799999661743642,0.040135026,0.900777280330658,-7.885524654388428,-0.13743674755096436,12780,0.0003,6783.33154296875
16589,559,-562.28305329,99.22,255900,15,0.2,3345.989013671875,-0.00479597234261746,0.10799999721348286,0.019100696,0.9007331132888794,-7.885249614715576,0.2338157296180725,12785,0.0003,6730.6060546875
16621,560,-562.7780647100001,99.22,256000,15,0.2,3906.033935546875,-0.005010380495150457,0.1419999971985817,0.03138646,0.9007018804550171,-7.884967041015625,-0.11359620094299316,12790,0.0003,7840.81279296875
16641,561,-562.81781745,99.22,256100,15,0.2,3528.4208984375,-0.015287179358711,0.20599999129772187,0.04616769,0.9006450176239014,-7.884726715087891,-0.15305078029632568,12795,0.0003,7115.5119140625
16677,562,-563.27860371,99.22,256200,15,0.2,3505.7333984375,-0.025744844790460776,0.16599999517202377,0.04579423,0.900637149810791,-7.884432411193847,0.1848732829093933,12800,0.0003,7004.0677734375
16715,563,-563.3308285999999,99.22,256300,15,0.2,3842.404052734375,-0.022367587044755055,0.3439999848604202,0.080622755,0.9006275534629822,-7.88443021774292,-0.18851566314697266,12805,0.0003,7721.4857421875
16752,564,-563.4422937200001,99.22,256400,15,0.2,3494.541748046875,-0.023273742631135973,0.34799999967217443,0.10354922,0.9005923271179199,-7.884297180175781,0.06870311498641968,12810,0.0003,7031.07607421875
16784,565,-563.8941245899999,99.22,256500,15,0.2,3894.260498046875,-0.02188373591634445,0.26599998846650125,0.08200819,0.9005693197250366,-7.884061717987061,0.015256822109222412,12815,0.0003,7787.64765625
16823,566,-564.30435645,99.22,256600,15,0.2,3852.837890625,-0.004971735831350088,0.21799999065697193,0.034567773,0.9005477428436279,-7.883915042877197,-0.12872731685638428,12820,0.0003,7720.23544921875
16861,567,-563.97968252,99.22,256700,15,0.2,3398.849609375,-0.0042118372321056086,0.1999999899417162,0.029441003,0.9004712104797363,-7.883691787719727,-0.11195063591003418,12825,0.0003,6875.2103515625
16891,568,-563.76746624,99.22,256800,15,0.2,3371.201416015625,-0.012571249127358897,0.12999999709427357,0.025873002,0.9004359245300293,-7.8831768989562985,0.13922858238220215,12830,0.0003,6763.87021484375
16927,569,-564.09337854,99.22,256900,15,0.2,3802.60986328125,-0.011573153093377187,0.24799998998641967,0.049901016,0.900439441204071,-7.883104705810547,0.004374325275421143,12835,0.0003,7622.4791015625
16956,570,-563.9657096,99.22,257000,15,0.2,3648.8408203125,-0.009729860527295386,0.09999999590218067,0.02014122,0.9004380106925964,-7.883095073699951,-0.019348502159118652,12840,0.0003,7336.426953125
