train/actor_loss,train/n_updates,time/fps,rollout/success rate,rollout/ep_rew_mean,rollout/ep_len_mean,train/learning_rate,time/time_elapsed,time/total timesteps,time/episodes,train/std,train/ent_coef,train/ent_coef_loss,train/critic_loss
57.88923263549805,15679,61,0.04,-50.25114545,97.88,0.0003,5084,313686,3196,0.049637626856565475,0.0400274358689785,-3.8139543533325195,25.603336334228516
58.267059326171875,15699,60,0.04,-50.00560369000001,97.88,0.0003,5208,314086,3200,0.049635302275419235,0.03997271507978439,-0.04110753536224365,22.016176223754883
58.139366149902344,15719,58,0.03,-51.79906391,98.82,0.0003,5365,314486,3204,0.049634288996458054,0.03996267169713974,1.9002363681793213,14.351524353027344
58.680076599121094,15739,57,0.03,-52.53381458999999,98.82,0.0003,5496,314886,3208,0.04963361471891403,0.03992348164319992,-2.0479841232299805,25.32969093322754
59.136383056640625,15759,56,0.02,-53.24393884999999,99.79,0.0003,5629,315286,3212,0.049630992114543915,0.039869919419288635,0.46340471506118774,67.69731140136719
58.55423355102539,15774,55,0.04,-52.348978929999994,98.75,0.0003,5715,315582,3216,0.049629174172878265,0.03981420770287514,-5.132227420806885,24.81905746459961
58.857940673828125,15794,54,0.04,-52.5552078,98.75,0.0003,5849,315982,3220,0.04962388798594475,0.03970518335700035,-1.4695119857788086,70.4666748046875
58.96485900878906,15814,52,0.04,-52.35543542000001,98.75,0.0003,5999,316382,3224,0.049622442573308945,0.0396389439702034,-5.3514509201049805,53.18982696533203
58.321388244628906,15834,51,0.04,-53.04811316999999,98.75,0.0003,6127,316782,3228,0.049618788063526154,0.03953354060649872,3.0576131343841553,60.53374481201172
57.881195068359375,15854,50,0.04,-53.68117732,98.75,0.0003,6251,317182,3232,0.049616631120443344,0.03949001058936119,1.047634482383728,68.09942626953125
57.19843292236328,15874,49,0.04,-54.084833239999995,98.75,0.0003,6381,317582,3236,0.049616530537605286,0.03946823626756668,2.8435840606689453,59.221275329589844
58.105106353759766,15894,48,0.04,-53.14147371999999,98.75,0.0003,6507,317982,3240,0.049618981778621674,0.03947826102375984,2.2112507820129395,26.10877227783203
57.51814270019531,15914,47,0.04,-54.19143857000001,98.75,0.0003,6674,318382,3244,0.04962177202105522,0.03952996805310249,0.768125057220459,38.53928756713867
57.346412658691406,15934,46,0.04,-54.2859214,98.75,0.0003,6825,318782,3248,0.04962315782904625,0.03957543149590492,-0.6940111517906189,53.51319122314453
58.198272705078125,15954,45,0.04,-54.29091647000001,98.75,0.0003,6956,319182,3252,0.049625348299741745,0.03959692269563675,-0.9122329950332642,17.099512100219727
58.6219482421875,15974,45,0.03,-54.51219185,98.95,0.0003,7079,319582,3256,0.04962368309497833,0.03956396132707596,4.145769119262695,12.854406356811523
56.82270050048828,15994,44,0.03,-54.76495055999999,98.95,0.0003,7250,319982,3260,0.049618981778621674,0.03953392803668976,0.2147746980190277,23.03887367248535
57.558311462402344,16014,43,0.03,-55.60893723,98.95,0.0003,7388,320382,3264,0.04961773008108139,0.039554473012685776,2.69645357131958,25.03887939453125
58.149227142333984,16033,42,0.04,-55.07219636,98.91,0.0003,7520,320778,3268,0.04961730167269707,0.0395430251955986,3.8765079975128174,53.91087341308594
57.368892669677734,16053,41,0.04,-55.50426839,98.91,0.0003,7687,321178,3272,0.049617066979408264,0.03955332189798355,0.055520907044410706,33.783775329589844
57.14396667480469,16073,41,0.04,-55.82948139,98.91,0.0003,7830,321578,3276,0.049618642777204514,0.03955861181020737,-3.6457085609436035,86.57470703125
58.179630279541016,16093,40,0.04,-55.89390289,98.91,0.0003,7972,321978,3280,0.04961554333567619,0.03950314596295357,3.5572314262390137,42.73767852783203
58.53025817871094,16113,39,0.04,-55.75454420000001,98.91,0.0003,8112,322378,3284,0.04961758106946945,0.03951900824904442,2.6385111808776855,41.18616485595703
57.919822692871094,16133,39,0.04,-56.66683256999999,98.91,0.0003,8260,322778,3288,0.04961489886045456,0.03947409242391586,0.9843790531158447,14.381474494934082
57.71844482421875,16153,38,0.04,-56.01947596000001,98.91,0.0003,8412,323178,3292,0.04961496591567993,0.03946000337600708,0.8736584186553955,12.472232818603516
57.0950813293457,16173,37,0.03,-55.75268200000001,98.92,0.0003,8574,323578,3296,0.049620311707258224,0.03949641063809395,-3.202583074569702,31.09228515625
56.86307907104492,16193,37,0.03,-55.78996423,98.92,0.0003,8716,323978,3300,0.04962289333343506,0.03952809423208237,0.1345103681087494,35.75331497192383
