rollout/ep_len_mean,time/fps,train/n_updates,time/total timesteps,train/learning_rate,rollout/ep_rew_mean,train/critic_loss,time/episodes,rollout/success rate,time/time_elapsed,train/actor_loss
60.02,151,204260,204365,0.001,-39.47672498,426.2035779953003,2485,0.55,1350,137.42572174072265
60.7,148,204360,204465,0.001,-40.335366300000004,549.7485095977784,2486,0.54,1378,139.2714584350586
60.7,145,204460,204565,0.001,-39.906804310000005,478.9913635253906,2487,0.54,1402,136.81109771728515
60.73,144,204480,204583,0.001,-39.97728403000001,502.5959741592407,2488,0.54,1413,137.11591339111328
59.91,143,204500,204601,0.001,-38.94247991,454.1227811813354,2489,0.55,1423,138.90435638427735
60.75,140,204600,204701,0.001,-39.606267280000004,573.9911100387574,2490,0.54,1451,138.10626068115235
61.26,139,204660,204769,0.001,-39.70696726000001,487.6372573852539,2491,0.54,1468,137.60285034179688
61.26,136,204760,204869,0.001,-40.171883230000006,445.475555229187,2492,0.54,1496,139.59732818603516
60.68,135,204800,204911,0.001,-40.055098920000006,624.5690620422363,2493,0.55,1511,137.618115234375
59.8,135,204820,204923,0.001,-39.49802563,427.6520441055298,2494,0.56,1516,138.49366607666016
59.8,132,204920,205023,0.001,-39.491235880000005,506.5343538284302,2495,0.56,1543,137.57444610595704
59.8,130,205020,205123,0.001,-39.077737979999995,596.4308679580688,2496,0.56,1571,136.48339233398437
58.9,130,,205133,,-38.57101894,,2497,0.57,1574,
58.9,127,205120,205233,0.001,-38.07875905,555.0521232604981,2498,0.57,1605,136.44582824707032
58.66,126,205160,205273,0.001,-37.960859320000004,472.05688190460205,2499,0.57,1620,138.73946533203124
58.9,125,205260,205373,0.001,-38.0614136,542.7824005126953,2500,0.56,1641,138.34166107177734
58.97,124,205280,205384,0.001,-38.084893580000006,471.6397584915161,2501,0.56,1644,136.91339874267578
59.94,122,205380,205484,0.001,-38.986265100000004,599.2044347763061,2502,0.55,1672,137.1523239135742
59.94,120,205480,205584,0.001,-38.92850310000001,431.9836757659912,2503,0.55,1712,138.37921752929688
59.06,119,,205596,,-38.52296384,,2504,0.56,1717,
60.01,117,205580,205696,0.001,-38.978872550000006,549.0305999755859,2505,0.55,1752,137.2866180419922
60.01,115,205680,205796,0.001,-38.581430770000004,655.0148176193237,2506,0.55,1780,135.69194946289062
59.08,115,205700,205803,0.001,-37.308473400000004,519.9411569595337,2507,0.56,1784,137.93792266845702
59.3,114,205720,205830,0.001,-37.40203714,609.9086427688599,2508,0.56,1798,137.21160888671875
59.3,112,205820,205930,0.001,-39.26027517,425.6188726425171,2509,0.56,1837,138.18304443359375
58.36,111,,205936,,-38.225469509999996,,2510,0.57,1845,
58.36,109,205920,206036,0.001,-38.269761,435.44099140167236,2511,0.57,1873,137.2630874633789
58.36,108,206020,206136,0.001,-38.29402815,411.2335208892822,2512,0.57,1896,137.2957977294922
58.63,107,206120,206236,0.001,-38.76565592,708.8693500518799,2513,0.56,1922,137.75060424804687
58.66,107,206140,206243,0.001,-38.7672395,570.7198543548584,2514,0.56,1925,136.56640625
58.66,105,206240,206343,0.001,-38.55439005000001,473.97688417434694,2515,0.56,1953,136.77273712158203
59.4,103,206340,206443,0.001,-40.6054613,421.46406536102296,2516,0.55,1987,137.922265625
59.4,102,206440,206543,0.001,-45.02870596,495.2711410522461,2517,0.55,2019,138.17137298583984
59.52,101,206480,206585,0.001,-45.050303680000006,665.0625659942627,2518,0.55,2034,137.2370819091797
59.52,99,206580,206685,0.001,-48.24283085000001,555.9976872444153,2519,0.55,2074,136.36343841552736
60.03,98,206680,206785,0.001,-49.05102898,696.9558359146118,2520,0.54,2097,136.96795654296875
60.03,97,206780,206885,0.001,-48.93284941000001,650.0941879272461,2521,0.54,2124,137.64241485595704
59.09,97,,206891,,-45.22893505,,2522,0.55,2127,
60.01,96,206880,206991,0.001,-46.79084014,493.27370872497556,2523,0.54,2150,137.30977630615234
60.95,95,206980,207091,0.001,-47.251029849999995,557.7190761566162,2524,0.53,2176,136.81806640625
60.03,94,,207099,,-46.870480480000005,,2525,0.54,2180,
59.72,93,207060,207168,0.001,-45.95443751999999,691.6854082107544,2526,0.55,2206,135.89422760009765
60.39,92,207160,207268,0.001,-46.275714529999995,441.7239311218262,2527,0.54,2232,136.13091125488282
