time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/fps,rollout/ep_len_mean,time/iterations,train/n_updates,train/loss,train/clip_range,train/explained_variance,train/approx_kl,train/std,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/learning_rate
1252,-556.85512825,304400,243,100.0,44,15210,2487.64599609375,0.2,-0.017763137817382812,0.082833156,0.872609555721283,-7.695116806030273,-0.006578447613719618,4999.69921875,0.371999990940094,0.0003
1281,-556.4355576699999,304500,237,100.0,45,15215,2579.87353515625,0.2,-0.01571965217590332,0.07305776,0.8724088072776794,-7.693490409851075,-0.0056135897689728155,5164.0931640625,0.38599998950958253,0.0003
1313,-556.0584450599999,304600,231,100.0,46,15220,2360.770751953125,0.2,0.05249488353729248,0.05487464,0.8720054626464844,-7.691663455963135,-0.011203190065862146,4745.869921875,0.3699999928474426,0.0003
1341,-555.3920372,304700,227,100.0,47,15225,2600.7900390625,0.2,0.016417264938354492,0.03836447,0.8713849782943726,-7.688231658935547,0.007444152401876636,5214.67275390625,0.35399999618530276,0.0003
1372,-555.5429799599999,304800,222,100.0,48,15230,2473.41162109375,0.2,0.04393237829208374,0.076074034,0.8709616661071777,-7.684208774566651,0.005878554517403245,4966.8361328125,0.3999999940395355,0.0003
1400,-555.3095264899999,304900,217,100.0,49,15235,2548.461669921875,0.2,-0.034335970878601074,0.051200304,0.8708035349845886,-7.682128047943115,0.005327549183857627,5111.02451171875,0.36999998688697816,0.0003
1432,-555.08784637,305000,212,100.0,50,15240,2474.81591796875,0.2,0.003683805465698242,0.07643871,0.8703434467315674,-7.680625915527344,-0.00953193708701292,4949.6365234375,0.4619999945163727,0.0003
1452,-554.81850627,305100,209,100.0,51,15245,2453.423828125,0.2,0.07965254783630371,0.23381568,0.869971752166748,-7.677115535736084,0.016315939190826613,4920.01103515625,0.5939999699592591,0.0003
1475,-555.00866186,305200,206,100.0,52,15250,2352.138671875,0.2,0.012212395668029785,0.076693594,0.8699464201927185,-7.675639247894287,0.007653863542691397,4710.73798828125,0.49599998593330386,0.0003
1502,-554.8593292,305300,203,100.0,53,15255,2693.79931640625,0.2,-0.024541854858398438,0.18807596,0.8699005842208862,-7.675577831268311,-0.00662185219625826,5389.65693359375,0.4999999821186066,0.0003
