rollout/ep_rew_mean,train/n_updates,time/fps,time/time_elapsed,rollout/ep_len_mean,train/critic_loss,time/episodes,train/learning_rate,rollout/success rate,train/actor_loss,time/total timesteps
-22.03562744,305900,176,1733,41.86,423.1870397567749,4511,0.001,0.69,122.4690673828125,306012
-21.83324126,,176,1735,41.28,,4512,,0.69,,306015
-21.84245906,,176,1737,41.26,,4513,,0.69,,306019
-22.910420849999994,306000,173,1763,42.13,431.83361129760743,4514,0.001,0.68,119.67190780639649,306119
-23.369184919999995,306100,171,1785,42.13,422.74903411865233,4515,0.001,0.68,122.44776153564453,306219
-23.44951532,306140,170,1794,42.26,563.500203704834,4516,0.001,0.68,120.87323837280273,306250
-23.450108909999997,,170,1796,42.21,,4517,,0.68,,306255
-23.38022185,306160,170,1800,42.14,456.6083055496216,4518,0.001,0.68,120.70094528198243,306267
-23.461366679999998,306200,168,1812,42.33,606.7848011016846,4519,0.001,0.68,119.75224456787109,306309
-23.458150460000002,306240,168,1822,42.57,438.7038766860962,4520,0.001,0.68,122.67117004394531,306350
-23.37731676,306260,167,1827,42.23,452.74015350341796,4521,0.001,0.68,121.77663345336914,306362
-23.88365032,306360,165,1847,42.23,391.8785659790039,4522,0.001,0.68,119.68977279663086,306462
-24.01158238,306400,164,1862,42.19,498.2804319381714,4523,0.001,0.68,121.72740783691407,306506
-24.01630968,306420,163,1876,42.28,480.87083797454835,4524,0.001,0.68,120.8059684753418,306521
-23.538003940000003,,163,1878,41.33,,4525,,0.69,,306526
-22.95157799,,162,1887,40.43,,4526,,0.7,,306536
-23.551371250000003,306520,160,1910,41.26,356.78132343292236,4527,0.001,0.69,122.68172149658203,306636
-23.527089420000003,306620,158,1935,41.26,309.8200141906738,4528,0.001,0.69,121.40214385986329,306736
-24.241418260000003,306720,156,1960,42.06,480.1823440551758,4529,0.001,0.68,121.9728500366211,306836
-24.218222040000004,306740,156,1963,42.03,552.3831130981446,4530,0.001,0.68,121.47548446655273,306842
-24.543794049999995,306840,153,1994,42.89,533.2676628112793,4531,0.001,0.67,122.0992446899414,306942
-24.136126450000003,306860,153,2003,42.25,395.8655771255493,4532,0.001,0.68,122.04773559570313,306978
-24.222211679999997,306920,152,2013,42.73,451.47964935302736,4533,0.001,0.68,122.44445571899413,307036
-22.4891708,306940,151,2021,41.8,498.13817024230957,4534,0.001,0.69,120.18972625732422,307043
-22.412488220000004,,151,2025,41.3,,4535,,0.69,,307051
-23.140599100000003,307040,149,2048,42.22,392.1758171081543,4536,0.001,0.68,120.88457870483398,307151
-23.158473370000006,307060,149,2054,42.21,498.1151388168335,4537,0.001,0.68,121.26253356933594,307176
-25.778892400000004,307140,148,2072,42.85,441.66893672943115,4538,0.001,0.68,121.95832138061523,307255
-25.795312910000003,307160,147,2079,42.85,347.7098731994629,4539,0.001,0.68,121.18404693603516,307262
-25.61792991,,147,2088,42.88,,4540,,0.68,,307274
-25.70981954,307260,145,2110,42.88,468.0936726570129,4541,0.001,0.68,122.8041259765625,307374
-26.412810720000007,307360,144,2133,43.83,627.6170921325684,4542,0.001,0.67,121.88831329345703,307474
-27.210304460000003,307460,142,2153,44.75,473.0495481491089,4543,0.001,0.66,121.15199356079101,307574
-27.224706930000007,,142,2160,44.77,,4544,,0.66,,307580
-26.2982078,307480,141,2169,43.88,422.0618799209595,4545,0.001,0.67,122.06921997070313,307591
-25.2594429,,141,2173,42.97,,4546,,0.68,,307600
-24.28879633,307500,141,2176,42.02,436.98873538970946,4547,0.001,0.69,121.93762893676758,307605
-24.2431545,,141,2179,41.81,,4548,,0.69,,307615
-24.192483069999998,307520,140,2184,41.88,489.5837823867798,4549,0.001,0.69,122.61792831420898,307632
-25.121046509999996,307620,139,2211,42.74,441.73537292480466,4550,0.001,0.68,121.54286193847656,307732
-25.399659699999994,307720,137,2242,43.67,430.6677047729492,4551,0.001,0.67,122.75188827514648,307832
-25.76210552,307800,135,2266,44.33,278.3846830368042,4552,0.001,0.67,123.0511573791504,307915
-26.728316849999995,307900,133,2307,45.26,434.9709707260132,4553,0.001,0.66,120.55737075805663,308015
-26.10761496,,133,2309,44.3,,4554,,0.67,,308019
-26.14013678,307940,132,2320,44.56,376.66175346374513,4555,0.001,0.67,122.38431396484376,308058
-26.735929910000003,308040,131,2336,45.39,432.2613946914673,4556,0.001,0.66,122.21268768310547,308158
-26.77546814,308060,131,2340,45.46,546.6631065368653,4557,0.001,0.66,121.21551666259765,308175
-26.77157803,,131,2343,45.43,,4558,,0.66,,308179
-27.45003983,308080,131,2350,45.45,407.6240913391113,4559,0.001,0.66,122.62723388671876,308198
-27.690683949999997,308140,130,2369,45.85,492.25435333251954,4560,0.001,0.66,121.49501571655273,308244
-28.704564989999998,308240,128,2394,46.8,497.59804611206056,4561,0.001,0.65,120.02994766235352,308344
-28.36746627,308340,127,2418,46.8,388.16705932617185,4562,0.001,0.65,121.40835037231446,308444
-28.59477111,308440,126,2443,46.8,500.71946506500245,4563,0.001,0.65,122.41772689819337,308544
-28.60587596,,126,2448,46.89,,4564,,0.65,,308558
-27.83033523,308480,125,2460,46.22,646.6734588623046,4565,0.001,0.66,121.27007751464843,308591
-27.90709709,308520,124,2471,46.5,537.6937824249268,4566,0.001,0.66,121.04347305297851,308626
-27.839339659999997,,124,2479,46.12,,4567,,0.66,,308633
-27.814730960000002,,124,2483,46.05,,4568,,0.66,,308640
-27.57563309,308620,123,2506,46.05,432.79194355010986,4569,0.001,0.66,121.99648513793946,308740
-27.36439245,308640,122,2516,45.25,599.851604270935,4570,0.001,0.67,121.27453689575195,308760
-32.191213659999995,308740,121,2535,46.11,435.5513788223267,4571,0.001,0.66,120.86309280395508,308860
-32.1609007,308760,121,2543,45.95,310.2797861099243,4572,0.001,0.66,122.52428588867187,308866
-29.420004789999997,,121,2547,45.07,,4573,,0.67,,308878
-29.74604325,308820,120,2565,45.58,598.479810333252,4574,0.001,0.67,121.57686386108398,308938
-29.785040140000007,308840,119,2579,45.51,546.6352012634277,4575,0.001,0.67,122.06209793090821,308948
-28.24850784,308860,119,2585,44.77,488.48382835388185,4576,0.001,0.68,121.92354049682618,308974
-29.173218979999998,308960,118,2617,45.6,419.31696491241456,4577,0.001,0.67,121.26747589111328,309074
-29.157665079999997,,117,2619,45.56,,4578,,0.67,,309079
-32.50994151999999,309060,117,2640,46.43,522.8275121688843,4579,0.001,0.66,120.44166717529296,309179
-32.50137966,309160,116,2657,46.43,393.62585906982423,4580,0.001,0.66,122.50825424194336,309279
-32.563006370000004,309260,114,2692,46.43,431.03554954528806,4581,0.001,0.66,121.7379364013672,309379
-32.71400182,309320,114,2703,46.8,558.9272050857544,4582,0.001,0.66,119.92245941162109,309421
-32.71165364,,114,2707,46.78,,4583,,0.66,,309433
-32.72187305,,114,2709,46.8,,4584,,0.66,,309439
-31.99231846,309340,113,2715,45.95,534.3573665618896,4585,0.001,0.67,120.57017288208007,309454
-31.97430219,,113,2717,45.87,,4586,,0.67,,309455
-31.157467500000003,309360,113,2721,44.93,486.5385622024536,4587,0.001,0.68,121.00478591918946,309461
-30.207345489999998,309380,113,2729,44.13,410.79594020843507,4588,0.001,0.69,122.25597686767578,309481
-30.61941933000001,309480,112,2754,44.98,531.2767370223999,4589,0.001,0.68,120.27413406372071,309581
-29.829060209999998,,112,2757,44.04,,4590,,0.69,,309587
-29.838413480000003,,111,2766,44.06,,4591,,0.69,,309595
-29.810824859999997,,111,2768,43.94,,4592,,0.69,,309600
-29.867653450000002,309540,111,2783,44.37,554.9353967666626,4593,0.001,0.69,121.40016860961914,309651
-29.18368176,309580,110,2793,43.75,362.1543016433716,4594,0.001,0.7,122.33772354125976,309689
