time/fps,train/critic_loss,rollout/ep_len_mean,time/time_elapsed,time/total timesteps,train/n_updates,train/actor_loss,rollout/success rate,rollout/ep_rew_mean,train/learning_rate,time/episodes
10,1790.574333190918,80.2,16087,161087,160980,248.61402435302733,0.29,-77.17748552,0.001,1924
9,1369.4032474517821,78.23,16169,161290,161180,247.4040267944336,0.32,-75.23966606,0.001,1928
9,1240.7723007202148,77.82,16261,161557,161440,247.9280227661133,0.34,-75.95995257,0.001,1932
9,1541.2269439697266,77.29,16337,161872,161760,247.00416870117186,0.34,-70.29935204,0.001,1936
9,1586.1460929870605,76.33,16450,162176,162060,244.64510040283204,0.35,-70.06595448000002,0.001,1940
9,1427.770817565918,76.05,16528,162481,162380,247.16690368652343,0.35,-71.46319531,0.001,1944
9,1873.4541007995606,75.73,16594,162671,162560,247.80648956298828,0.35,-71.34557260000001,0.001,1948
9,1664.3829277038574,74.07,16655,162846,162740,252.09465637207032,0.37,-68.89125338000001,0.001,1952
9,1724.7328651428222,73.5,16725,163045,162940,247.02179260253905,0.37,-70.16658240000001,0.001,1956
9,2178.401950454712,74.89,16830,163407,163300,249.25193939208984,0.36,-73.14284058,0.001,1960
9,1617.591184234619,77.21,16947,163807,163700,248.29434661865236,0.33,-75.8369447,0.001,1964
9,1601.678936767578,77.27,17023,164124,164020,250.00030517578125,0.33,-80.83380945,0.001,1968
9,1040.1262939453125,77.27,17114,164524,164420,250.29852752685548,0.33,-81.17515967,0.001,1972
9,1078.486764526367,76.97,17208,164832,164720,252.64910583496095,0.33,-81.15722664,0.001,1976
9,1169.5659347534179,76.24,17265,165088,164980,251.85103607177734,0.34,-84.16729087000002,0.001,1980
9,1433.353897857666,75.85,17352,165449,165340,252.876318359375,0.35,-87.84528641000001,0.001,1984
9,1431.7597618103027,75.98,17465,165849,165740,250.4767852783203,0.34,-91.87710543000001,0.001,1988
9,1358.8054229736329,76.0,17575,166167,166060,254.9737564086914,0.34,-95.23906745000001,0.001,1992
9,1679.0286087036134,76.07,17672,166497,166380,256.3775390625,0.34,-95.88938884000001,0.001,1996
9,1923.8660396575929,74.16,17727,166706,166600,253.98175354003905,0.37,-91.96903052999998,0.001,2000
9,1668.3902397155762,73.71,17776,166892,166780,254.52652740478516,0.38,-90.08792726000001,0.001,2004
9,1387.367335510254,74.03,17871,167259,167140,254.82953643798828,0.38,-88.27553983,0.001,2008
9,1712.688102722168,72.23,17927,167479,167360,253.71368408203125,0.41,-86.4423318,0.001,2012
9,1505.8804428100586,73.0,18027,167825,167720,256.7897613525391,0.4,-84.53155456,0.001,2016
9,1395.9324516296388,72.13,18100,168083,167980,253.04534301757812,0.41,-81.33035149999999,0.001,2020
9,1976.2359245300293,73.96,18197,168483,168380,254.2162322998047,0.39,-81.61394677999999,0.001,2024
9,1478.4789863586425,75.08,18287,168798,168680,256.2309600830078,0.37,-85.10478522,0.001,2028
9,2503.3488075256346,74.98,18364,169055,168940,254.58109436035156,0.36,-85.61664007000002,0.001,2032
9,1301.5008697509766,73.76,18415,169248,169140,256.2529235839844,0.38,-84.79192982,0.001,2036
9,1703.816827392578,73.18,18502,169494,169380,252.57925262451172,0.39,-83.35334965999999,0.001,2040
9,1983.2152870178222,72.51,18581,169732,169620,256.798518371582,0.4,-78.37742383999999,0.001,2044
9,1610.3209854125976,74.61,18693,170132,170020,254.65889739990234,0.37,-81.54534651,0.001,2048
9,1418.0618026733398,73.9,18735,170236,170120,255.29933013916016,0.38,-81.56043976999999,0.001,2052
9,1692.4440704345702,75.36,18854,170581,170480,254.44334106445314,0.36,-81.72831829,0.001,2056
9,1105.672176361084,75.2,18938,170927,170820,258.4837585449219,0.36,-79.25797463,0.001,2060
9,1751.7122535705566,73.13,18990,171120,171000,255.87286071777345,0.39,-77.46975022,0.001,2064
8,1574.8425430297852,71.74,19047,171298,171180,258.76866912841797,0.41,-71.36926033,0.001,2068
8,1695.4797859191895,69.99,19128,171523,171420,256.7847610473633,0.43,-64.76792752,0.001,2072
8,1900.494390106201,69.66,19201,171798,171680,255.49005584716798,0.44,-62.16732520000001,0.001,2076
8,1396.2648597717284,69.66,19304,172054,171940,259.59003295898435,0.44,-62.44843487,0.001,2080
8,1481.502865600586,68.35,19363,172284,172180,258.25195465087893,0.46,-58.25438614000001,0.001,2084
8,1721.9258262634278,66.66,19423,172515,172400,256.2981231689453,0.48,-52.26756152,0.001,2088
8,1926.392918395996,67.08,19522,172875,172760,257.2820785522461,0.48,-56.09157597,0.001,2092
8,1441.9385940551758,66.48,19606,173145,173040,260.37180786132814,0.5,-55.06347831,0.001,2096
8,1901.393896484375,67.93,19695,173499,173380,259.62535858154297,0.48,-57.44582629000001,0.001,2100
8,1816.1649864196777,68.56,19789,173748,173640,258.70323791503904,0.47,-57.85068755,0.001,2104
8,2159.437883758545,66.99,19858,173958,173840,259.46763000488284,0.48,-56.13319537,0.001,2108
8,2107.936331176758,68.29,19948,174308,174200,260.6443618774414,0.46,-59.541068089999996,0.001,2112
8,1896.1501419067383,67.0,20011,174525,174420,259.19127655029297,0.47,-58.32671539999999,0.001,2116
8,1839.786336517334,66.53,20072,174736,174620,260.6860641479492,0.48,-58.05685635999999,0.001,2120
8,1124.237696838379,64.92,20130,174975,174860,263.81260070800784,0.5,-60.29963319,0.001,2124
8,1844.4525161743163,65.77,20243,175375,175260,262.89062347412107,0.49,-57.85580432,0.001,2128
8,2202.031842041016,66.76,20324,175731,175620,261.3181884765625,0.48,-60.45368435,0.001,2132
8,1377.1775505065918,67.38,20392,175986,175880,263.28297424316406,0.47,-60.99672515,0.001,2136
8,1583.3872802734375,68.2,20494,176314,176200,262.8777603149414,0.47,-61.08157726,0.001,2140
8,1466.4747825622558,68.89,20581,176621,176520,262.99733581542966,0.46,-62.62492847999999,0.001,2144
8,1874.97234954834,67.8,20650,176912,176800,263.83024139404296,0.48,-59.297079139999994,0.001,2148
8,1877.2466377258302,68.97,20699,177133,177020,265.03648681640624,0.46,-60.406385900000004,0.001,2152
8,1804.2197311401367,66.68,20738,177249,177140,262.59205932617186,0.49,-57.060518460000004,0.001,2156
8,1873.4989082336426,64.45,20786,177372,177260,265.69379272460935,0.51,-56.74044902999999,0.001,2160
8,1559.077516937256,65.02,20841,177622,177520,264.9938568115234,0.5,-56.658256509999994,0.001,2164
8,1672.6587982177734,66.02,20919,177900,177780,265.982275390625,0.49,-56.97799765,0.001,2168
8,1309.4323707580565,66.98,21015,178221,178120,265.8939575195312,0.48,-62.54174696999999,0.001,2172
8,1458.8089408874512,66.22,21066,178420,178300,264.5032592773438,0.49,-63.77796037000001,0.001,2176
8,1564.918836212158,66.13,21145,178667,178560,264.5318969726562,0.49,-59.55518864,0.001,2180
8,1696.6920471191406,67.83,21254,179067,178960,267.1212432861328,0.46,-62.01570876999999,0.001,2184
8,1828.7262916564941,68.22,21342,179337,179220,266.84283447265625,0.46,-66.55601879,0.001,2188
8,2369.5600708007814,68.35,21450,179710,179600,265.3313446044922,0.46,-60.345578419999995,0.001,2192
8,2127.383159637451,67.96,21523,179941,179840,264.3622589111328,0.46,-59.614720039999995,0.001,2196
8,1128.6626266479493,65.41,21549,180040,179920,265.65826110839845,0.49,-56.405988670000006,0.001,2200
8,1433.2250205993653,64.92,21598,180240,180120,265.3535842895508,0.5,-56.244974709999994,0.001,2204
8,1213.8562934875488,65.38,21655,180496,180380,269.66346435546876,0.5,-58.748933829999984,0.001,2208
8,1056.2801132202148,64.19,21713,180727,180620,271.1630126953125,0.51,-56.34006684999999,0.001,2212
8,2131.6559242248536,65.38,21819,181063,180960,267.33026428222655,0.5,-60.864066709999996,0.001,2216
8,1973.1844131469727,66.36,21911,181372,181260,267.5896759033203,0.48,-65.07531583,0.001,2220
8,1719.1200622558595,66.09,21975,181584,181480,270.11399841308594,0.48,-61.873513169999995,0.001,2224
8,1272.077618408203,64.25,22048,181800,181680,267.3288299560547,0.51,-62.33481909,0.001,2228
8,1414.8456329345704,64.69,22171,182200,182080,270.8869171142578,0.5,-60.56888800000001,0.001,2232
