time/time_elapsed,rollout/ep_rew_mean,train/critic_loss,train/actor_loss,time/episodes,rollout/ep_len_mean,train/learning_rate,train/n_updates,time/fps,time/total timesteps,rollout/success rate
4723,-82.55928648999999,765.6893411636353,159.46080169677734,1283,85.19,0.001,115480,24,115600,0.23
4736,-82.59807208999999,386.43522415161135,157.87554626464845,1284,85.21,0.001,115520,24,115630,0.23
4767,-82.50812301,516.8632368087768,157.15604705810546,1285,85.0,0.001,115600,24,115709,0.24
4794,-87.06444106000001,762.2894828796386,157.91983642578126,1286,85.95,0.001,115700,24,115809,0.23
4799,-85.00145901000002,504.1335744857788,157.411865234375,1287,85.18,0.001,115720,24,115832,0.24
4830,-83.75618804,710.1466186523437,156.7211715698242,1288,85.18,0.001,115820,24,115932,0.24
4861,-84.01256688999997,376.5503002166748,158.1226348876953,1289,85.18,0.001,115920,23,116032,0.24
4884,-83.93644404999999,493.3199254989624,157.5873779296875,1290,85.18,0.001,116020,23,116132,0.24
4915,-84.13237705,532.7614736557007,159.0381637573242,1291,85.18,0.001,116120,23,116232,0.24
4946,-83.09231276000003,706.9689340591431,158.03104248046876,1292,85.18,0.001,116220,23,116332,0.24
4969,-82.58252100000001,711.6374505996704,157.30899810791016,1293,85.18,0.001,116320,23,116432,0.24
4996,-83.64045279,619.8574302673339,158.2701904296875,1294,85.18,0.001,116420,23,116532,0.24
5002,-82.81332497,642.145941543579,157.99378509521483,1295,84.32,0.001,116440,23,116546,0.25
5037,-83.29785737999998,421.8209529876709,157.8930404663086,1296,85.19,0.001,116540,23,116646,0.24
5080,-82.62099530000002,625.3595371246338,156.31088104248047,1297,85.19,0.001,116640,22,116746,0.24
5107,-82.70485113,545.5438137054443,160.06158752441405,1298,85.19,0.001,116740,22,116846,0.24
5131,-82.265862,443.2511505126953,157.4310043334961,1299,85.19,0.001,116840,22,116946,0.24
5136,-81.28039596999999,,,1300,84.3,,,22,116957,0.25
5161,-82.13341660999998,522.816975402832,157.7536651611328,1301,84.9,0.001,116940,22,117057,0.24
5187,-82.00983715000001,599.2289737701416,157.5320556640625,1302,84.9,0.001,117040,22,117157,0.24
5224,-81.71282168000002,473.8441108703613,158.61009368896484,1303,84.9,0.001,117140,22,117257,0.24
5255,-81.94240803000001,614.4865888595581,157.40343170166017,1304,84.9,0.001,117240,22,117357,0.24
5284,-82.88996008,467.6463415145874,158.71674041748048,1305,85.67,0.001,117340,22,117457,0.23
5330,-83.14601886,637.363907623291,158.69405212402344,1306,85.67,0.001,117440,22,117557,0.23
5370,-83.6073329,582.0543029785156,158.78068084716796,1307,86.46,0.001,117540,21,117657,0.22
5400,-84.14239885,651.6739068984986,157.6048355102539,1308,86.46,0.001,117640,21,117757,0.22
5421,-82.89356470000001,648.6806062698364,156.30300903320312,1309,86.46,0.001,117740,21,117857,0.22
5446,-85.40415443,458.23318271636964,156.73758697509766,1310,86.46,0.001,117840,21,117957,0.22
5466,-84.81133349,760.816508102417,157.99215545654297,1311,86.0,0.001,117900,21,118011,0.23
