time/time_elapsed,time/episodes,rollout/ep_rew_mean,train/critic_loss,rollout/success rate,train/n_updates,train/actor_loss,rollout/ep_len_mean,time/fps,time/total timesteps,train/learning_rate
18496,142,-134472.20239299999,11309.039987792969,0.0,708100,2705.581396484375,5000.0,38,708220,0.001
18623,143,-133080.77651588002,11284.80548828125,0.0,713100,2710.382470703125,5000.0,38,713220,0.001
18749,144,-132162.46112653997,6441.478035888672,0.0,718100,2739.4785791015624,5000.0,38,718220,0.001
18876,145,-130757.51665826002,13373.526499023437,0.0,723100,2712.7341650390626,5000.0,38,723220,0.001
19003,146,-130884.87008066001,24588.031848144532,0.0,728100,2711.667373046875,5000.0,38,728220,0.001
19129,147,-130433.15746972003,10197.655920410156,0.0,733100,2696.9586474609373,5000.0,38,733220,0.001
19261,148,-130035.59760358003,13311.620354003906,0.0,738100,2664.7404931640626,5000.0,38,738220,0.001
19386,149,-129978.72682750999,14011.837775878907,0.0,743100,2670.2676513671877,5000.0,38,743220,0.001
19513,150,-130499.30179552003,7900.581973876953,0.0,748100,2666.3874658203126,5000.0,38,748220,0.001
19639,151,-132847.48918854,9669.183791503907,0.0,753100,2712.71017578125,5000.0,38,753220,0.001
19766,152,-133578.54214416,12503.130885009765,0.0,758100,2693.6925830078126,5000.0,38,758220,0.001
19892,153,-136233.51876488997,13143.6837109375,0.0,763100,2681.0213037109374,5000.0,38,763220,0.001
20018,154,-137401.41475459,16654.84452392578,0.0,768100,2717.3500048828123,5000.0,38,768220,0.001
20144,155,-137948.62651072998,17786.545485839844,0.0,773100,2696.72359375,5000.0,38,773220,0.001
20271,156,-138151.89379888,7256.456584472657,0.0,778100,2719.9208935546876,5000.0,38,778220,0.001
20397,157,-138410.27010585,19186.01205932617,0.0,783100,2716.3909375,5000.0,38,783220,0.001
20523,158,-138250.21878751,11711.209755859374,0.0,788100,2701.119091796875,5000.0,38,788220,0.001
20650,159,-138391.18235274,6521.875913085937,0.0,793100,2675.192998046875,5000.0,38,793220,0.001
20776,160,-139112.04313356002,13889.231669921875,0.0,798100,2665.387158203125,5000.0,38,798220,0.001
20879,161,-138997.23497081,16857.3595703125,0.01,802200,2669.86626953125,4990.86,38,802306,0.001
21008,162,-138907.07457169998,8471.742603759765,0.01,807200,2677.0844091796876,4990.86,38,807306,0.001
21136,163,-139065.66398833,13533.317875976563,0.01,812200,2655.845107421875,4990.86,38,812306,0.001
21262,164,-141189.28324979998,7254.0699609375,0.01,817200,2664.7237890625,4990.86,38,817306,0.001
21389,165,-140333.48356128,16056.705711669922,0.01,822200,2689.123583984375,4990.86,38,822306,0.001
21515,166,-140457.59487856002,20525.508247070313,0.01,827200,2703.347490234375,4990.86,38,827306,0.001
21641,167,-139674.69672324,8031.151154785156,0.01,832200,2681.0231396484373,4990.86,38,832306,0.001
21767,168,-138295.00943660003,40190.94222900391,0.01,837200,2662.4101904296876,4990.86,38,837306,0.001
21893,169,-137349.14329078002,16423.916220703126,0.01,842200,2680.402353515625,4990.86,38,842306,0.001
21967,170,-135865.83609277,30265.075604248046,0.02,845100,2667.8100439453124,4970.07,38,845227,0.001
22093,171,-137625.2083084,15170.533264160156,0.02,850100,2669.4762353515625,4970.07,38,850227,0.001
22219,172,-136514.75303482,10748.210830078126,0.02,855100,2673.0782421875,4970.07,38,855227,0.001
22346,173,-134884.13584403,24226.051892089843,0.02,860100,2669.6497265625,4970.07,38,860227,0.001
22472,174,-134185.63209328998,11802.751525878906,0.02,865100,2642.0107421875,4970.07,38,865227,0.001
22598,175,-135870.53420142,10047.888045654297,0.02,870100,2651.2004638671874,4970.07,38,870227,0.001
22724,176,-135487.43478346002,18719.92087402344,0.02,875100,2628.4915087890627,4970.07,38,875227,0.001
22850,177,-132934.41720571,13776.982724609376,0.02,880100,2610.371962890625,4970.07,38,880227,0.001
22977,178,-133226.62599442003,12538.883656005859,0.02,885100,2585.103681640625,4970.07,38,885227,0.001
23102,179,-133083.74832309,41070.643588867184,0.02,890100,2582.7357861328123,4970.07,38,890227,0.001
23228,180,-131602.24147272,11356.762583007812,0.02,895100,2598.064853515625,4970.07,38,895227,0.001
23354,181,-131502.98574092,23379.826286621093,0.02,900100,2551.595810546875,4970.07,38,900227,0.001
23481,182,-131464.82433784,18162.36930175781,0.02,905100,2554.5217431640626,4970.07,38,905227,0.001
23607,183,-131653.24049393,8688.618233642577,0.02,910100,2558.2806494140623,4970.07,38,910227,0.001
23733,184,-130621.81827905,9350.753747558594,0.02,915100,2550.9075146484374,4970.07,38,915227,0.001
23860,185,-130332.19844116997,8475.225307617187,0.02,920100,2540.7505078125,4970.07,38,920227,0.001
23986,186,-129853.97971616998,13445.520959472657,0.02,925100,2540.936669921875,4970.07,38,925227,0.001
24098,187,-129919.32322890998,12079.500050048828,0.03,929500,2519.429306640625,4964.33,38,929653,0.001
24224,188,-127888.71302294,5664.4090258789065,0.03,934500,2519.0015771484377,4964.33,38,934653,0.001
24350,189,-128097.62602249,9618.524406738281,0.03,939500,2520.99326171875,4964.33,38,939653,0.001
24476,190,-127728.63639902002,10606.49986328125,0.03,944500,2486.3354736328124,4964.33,38,944653,0.001
24603,191,-126076.54960648,15970.88094482422,0.03,949500,2542.7215380859375,4964.33,38,949653,0.001
24729,192,-125955.09185027,14780.053095703124,0.03,954500,2507.0805810546876,4964.33,38,954653,0.001
24855,193,-124925.87528945,30820.328896484374,0.03,959500,2496.2982177734375,4964.33,38,959653,0.001
24981,194,-124820.2963354,13903.302045898437,0.03,964500,2473.9174951171876,4964.33,38,964653,0.001
25108,195,-124725.91182347,20252.358889160158,0.03,969500,2482.8846630859375,4964.33,38,969653,0.001
25233,196,-124633.38898558001,23091.07149169922,0.03,974500,2472.3160107421877,4964.33,38,974653,0.001
25360,197,-124458.12108082,9686.065690917969,0.03,979500,2473.8345703125,4964.33,38,979653,0.001
25486,198,-124739.37724717999,22021.701103515625,0.03,984500,2489.160751953125,4964.33,38,984653,0.001
25612,199,-122332.06503425998,5539.076384277344,0.03,989500,2502.0891015625,4964.33,38,989653,0.001
25739,200,-122507.91298154999,12900.677032470703,0.03,994500,2459.9051123046875,4964.33,38,994653,0.001
25866,201,-122363.57287529997,7869.764083251953,0.03,999500,2487.5178125,4964.33,38,999653,0.001
25953,202,-121634.48734586999,12641.979951171876,0.04,1003000,2462.4087451171877,4949.06,38,1003126,0.001
26080,203,-121441.76584864002,12293.854711914062,0.04,1008000,2428.4759619140623,4949.06,38,1008126,0.001
26207,204,-120327.60055318002,10891.327595214843,0.04,1013000,2422.1205810546876,4949.06,38,1013126,0.001
26332,205,-120236.96911523001,15579.469510498047,0.04,1018000,2423.52111328125,4949.06,38,1018126,0.001
26458,206,-120141.60151534999,14559.446889648438,0.04,1023000,2424.9101904296876,4949.06,38,1023126,0.001
26585,207,-120104.89966145,4977.567740478516,0.04,1028000,2415.167470703125,4949.06,38,1028126,0.001
26712,208,-120089.92674542998,11929.675697021485,0.04,1033000,2430.9258642578125,4949.06,38,1033126,0.001
26839,209,-120173.58198611,13456.19619873047,0.04,1038000,2407.0098046875,4949.06,38,1038126,0.001
26965,210,-118650.52217329999,37125.089030761716,0.04,1043000,2403.2412646484377,4949.06,38,1043126,0.001
27072,211,-117637.10966068,16260.098458251952,0.05,1047200,2371.9814013671876,4941.7,38,1047390,0.001
