train/actor_loss,rollout/ep_len_mean,rollout/success rate,time/fps,train/critic_loss,train/n_updates,train/learning_rate,time/episodes,rollout/ep_rew_mean,time/total timesteps,time/time_elapsed
,41.54,0.66,174,,,,6808,-28.17545524,408230,2336
188.25582122802734,41.54,0.66,173,1520.9561317443847,408220,0.001,6809,-31.64409208,408330,2358
,41.52,0.66,172,,,,6810,-31.621821109999996,408338,2361
187.6661117553711,41.5,0.66,172,1586.2635093688964,408240,0.001,6811,-31.663486170000002,408344,2364
,40.58,0.67,172,,,,6812,-29.80346771,408352,2367
,39.61,0.68,171,,,,6813,-29.206711079999994,408355,2378
188.56031951904296,39.55,0.68,171,1329.2858955383301,408260,0.001,6814,-29.426343039999995,408366,2381
,38.58,0.69,171,,,,6815,-28.57899077,408369,2383
,38.65,0.69,171,,,,6816,-28.61907543,408380,2387
189.9254180908203,39.6,0.68,169,1518.5469833374023,408360,0.001,6817,-32.892027559999995,408480,2408
190.40815277099608,38.67,0.69,169,1121.9095748901368,408380,0.001,6818,-32.514939600000005,408487,2411
,37.78,0.7,169,,,,6819,-31.64009295,408498,2414
190.31578216552734,37.72,0.7,169,1769.8848350524902,408400,0.001,6820,-31.64172157,408503,2416
192.26162414550782,37.72,0.7,167,1258.8064231872559,408500,0.001,6821,-32.256443350000005,408603,2444
,37.67,0.7,167,,,,6822,-32.239867460000006,408604,2445
,36.75,0.71,166,,,,6823,-30.843709580000006,408612,2454
190.93285522460937,37.66,0.7,165,1657.4350723266602,408600,0.001,6824,-32.32250569,408712,2472
189.14667205810548,37.66,0.7,163,1564.368115234375,408700,0.001,6825,-30.836112209999996,408812,2495
188.82086944580078,37.8,0.7,163,1764.7594909667969,408740,0.001,6826,-31.241798649999996,408841,2504
,37.81,0.7,163,,,,6827,-31.236060279999997,408849,2507
190.14608306884764,38.54,0.69,161,1347.1750259399414,408840,0.001,6828,-34.62798942999999,408949,2532
191.84148406982422,38.54,0.69,159,1253.5096111297607,408940,0.001,6829,-34.93908779,409049,2558
,38.56,0.69,159,,,,6830,-34.937062420000004,409056,2560
191.0234848022461,38.59,0.69,159,895.7015838623047,408960,0.001,6831,-35.05361566,409065,2563
188.3362030029297,38.59,0.69,157,1619.2638160705567,409060,0.001,6832,-35.34645133,409165,2598
186.75682067871094,39.55,0.68,156,1608.3412506103516,409160,0.001,6833,-36.322259419999995,409265,2618
,38.6,0.69,156,,,,6834,-35.36142035,409270,2621
189.96734924316405,38.61,0.69,155,1443.6353408813477,409180,0.001,6835,-35.47909367,409281,2625
190.08712463378907,38.61,0.69,154,996.066081237793,409280,0.001,6836,-37.20617102,409381,2641
,38.64,0.69,154,,,,6837,-37.19717232,409394,2644
191.92462921142578,38.66,0.69,154,1337.5423851013184,409320,0.001,6838,-37.7540917,409426,2652
,38.61,0.69,154,,,,6839,-37.51997901,409431,2654
193.42650146484374,38.67,0.69,154,1361.6969856262208,409340,0.001,6840,-37.5579891,409441,2657
,37.82,0.7,153,,,,6841,-37.022566420000004,409456,2661
189.06197204589844,38.73,0.69,152,1585.007342529297,409440,0.001,6842,-38.19547685,409556,2683
192.5056137084961,38.73,0.69,150,1797.9234100341796,409540,0.001,6843,-38.548543050000006,409656,2716
190.56122741699218,39.51,0.68,149,1563.891886138916,409640,0.001,6844,-39.351780500000004,409756,2744
