time/total timesteps,train/learning_rate,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,rollout/success rate,time/episodes,train/n_updates,time/time_elapsed,train/critic_loss,train/actor_loss
610428,0.001,56.64,-79.60696481000001,190,0.53,10732,610320,3201,4838.425637817383,311.51172790527346
610528,0.001,57.32,-79.27381333000001,188,0.52,10733,610420,3243,5922.273077392578,315.69054260253904
610628,0.001,57.32,-79.68415697000002,185,0.52,10734,610520,3284,4836.923161315918,306.8538848876953
610728,0.001,57.32,-79.12824944,184,0.52,10735,610620,3315,4295.484698486328,309.4438018798828
610732,,56.36,-78.42875427000001,184,0.53,10736,,3316,,
610739,,55.43,-77.60746837000002,183,0.54,10737,,3330,,
610742,0.001,55.29,-77.52156238000002,183,0.54,10738,610640,3332,4872.7022705078125,316.114013671875
610819,0.001,55.97,-79.57533729000001,182,0.54,10739,610700,3355,4436.993572998047,311.7671325683594
610822,0.001,55.92,-79.40156755,181,0.54,10740,610720,3367,3628.117665100098,308.7701721191406
610837,,55.98,-79.44894339,180,0.54,10741,,3379,,
610847,0.001,55.91,-79.08515994,180,0.54,10742,610740,3383,5354.122882080078,309.01221618652346
610947,0.001,55.91,-80.28955026,178,0.54,10743,610840,3418,4458.028988647461,305.87750244140625
610952,,54.96,-79.54416899,178,0.55,10744,,3421,,
610960,,54.04,-78.37984614999999,178,0.56,10745,,3429,,
610975,0.001,53.19,-78.05089475000001,177,0.57,10746,610860,3439,5669.904800415039,309.63060302734374
611075,0.001,53.19,-77.55617996999999,176,0.57,10747,610960,3470,6278.83876953125,309.34380798339845
611175,0.001,53.19,-78.30548339,174,0.57,10748,611060,3498,5260.379556274414,307.0367828369141
611179,,53.14,-78.29305511999999,174,0.57,10749,,3500,,
611279,0.001,54.02,-78.54861192,173,0.56,10750,611160,3532,7106.233361816407,310.4700225830078
611285,0.001,54.02,-78.74244760999999,172,0.56,10751,611180,3540,4799.481677246094,316.78563537597654
611304,0.001,53.21,-75.79755625000001,172,0.57,10752,611200,3547,4371.413067626953,306.6406982421875
611404,0.001,54.17,-80.77713233,170,0.56,10753,611300,3575,4036.8868408203125,307.35585327148436
611504,0.001,55.12,-82.74025578999999,169,0.55,10754,611400,3611,3602.343475341797,308.4362762451172
611525,0.001,54.33,-81.80567144000001,168,0.56,10755,611420,3618,6466.103118896484,313.7248596191406
611625,0.001,54.33,-77.80850819999999,167,0.56,10756,611520,3646,5475.019671630859,306.9727325439453
611634,,54.05,-77.84702637,167,0.56,10757,,3649,,
611734,0.001,54.82,-78.52653877,166,0.55,10758,611620,3676,6365.253601074219,317.98207702636716
611737,,53.85,-77.919274,166,0.56,10759,,3678,,
611750,0.001,52.98,-77.36540174999999,165,0.57,10760,611640,3691,4670.769860839844,315.47748413085935
611850,0.001,52.98,-76.75855141999997,164,0.57,10761,611740,3726,5593.870809936523,311.1007904052734
611950,0.001,53.87,-77.55000652999998,162,0.56,10762,611840,3756,3474.1145141601564,322.3118072509766
612050,0.001,53.87,-77.77658297999997,161,0.56,10763,611940,3785,7472.954052734375,306.63995361328125
612055,,53.88,-77.83956579999999,161,0.56,10764,,3789,,
612072,0.001,53.05,-77.18397775999999,161,0.57,10765,611960,3795,3797.5245498657227,313.37330932617186
612172,0.001,53.05,-71.99599846999999,159,0.57,10766,612060,3831,5756.229722595215,314.46604614257814
612176,,52.86,-71.87557061,159,0.57,10767,,3838,,
612276,0.001,53.1,-71.44947401,158,0.56,10768,612160,3866,5366.266589355469,317.4165985107422
612376,0.001,53.1,-71.304805,157,0.56,10769,612260,3891,5136.308053588868,309.6462707519531
612385,0.001,52.19,-70.57345279,157,0.57,10770,612280,3895,6855.434719848633,307.2446624755859
612399,,52.27,-70.58778673,156,0.57,10771,,3900,,
612404,0.001,52.25,-70.53100033000001,156,0.57,10772,612300,3902,6018.02709350586,311.616162109375
612504,0.001,53.17,-71.38237007,155,0.56,10773,612400,3937,5673.702630615235,311.9006866455078
612507,,53.11,-71.35400448,155,0.56,10774,,3940,,
612607,0.001,53.11,-66.61296017,154,0.56,10775,612500,3960,5337.913191223144,309.9421020507813
612618,,52.22,-65.9471419,154,0.57,10776,,3964,,
612718,0.001,52.22,-66.2135825,153,0.57,10777,612600,3995,4893.18034362793,315.13230285644534
612760,0.001,52.6,-66.92744945,152,0.57,10778,612640,4007,5191.2718505859375,303.6001434326172
612766,0.001,52.6,-66.92404474,152,0.57,10779,612660,4010,3895.49249420166,313.8919250488281
612772,,51.66,-61.937786769999995,152,0.58,10780,,4017,,
612780,,51.67,-62.00682324,152,0.58,10781,,4020,,
612789,0.001,50.76,-61.08013735999999,151,0.59,10782,612680,4039,3693.064872741699,304.4637023925781
612889,0.001,51.72,-61.717339810000006,150,0.58,10783,612780,4065,4468.102038574219,309.98731384277346
612931,0.001,52.05,-62.62779525999999,150,0.58,10784,612820,4082,4243.437435913086,319.2851501464844
612935,,51.55,-62.01581717,150,0.58,10785,,4085,,
612939,,50.59,-61.32947362000001,149,0.59,10786,,4092,,
612949,0.001,49.69,-61.10130857000001,149,0.6,10787,612840,4102,5354.497564697265,314.84284057617185
612955,,49.6,-60.35584746000001,149,0.6,10788,,4104,,
612961,0.001,49.62,-60.36262766000001,149,0.6,10789,612860,4107,3991.389778137207,313.8799560546875
612992,0.001,49.59,-61.41042185000001,148,0.6,10790,612880,4121,4622.835842895508,306.82603149414064
613092,0.001,50.52,-62.00566134000002,147,0.59,10791,612980,4150,4942.161627197265,308.1513397216797
613192,0.001,51.44,-62.65331913000001,146,0.58,10792,613080,4184,5324.20845336914,307.1498962402344
613196,,50.48,-57.09854974000002,146,0.59,10793,,4186,,
613202,0.001,49.54,-56.662953720000004,146,0.6,10794,613100,4187,4400.771569824219,315.61931762695315
613206,,49.46,-56.58102356000001,146,0.6,10795,,4189,,
613237,0.001,48.77,-55.118594320000014,146,0.61,10796,613120,4199,5981.399783325195,306.66893005371094
613248,0.001,48.67,-55.145877340000006,145,0.61,10797,613140,4208,4175.442767333984,307.8516906738281
613253,,48.54,-54.27754041,145,0.61,10798,,4210,,
613279,0.001,47.8,-53.83681686999999,145,0.62,10799,613160,4220,6274.055981445313,302.58933410644534
613379,0.001,47.8,-53.6150173,144,0.62,10800,613260,4249,3689.840003967285,307.8594146728516
613479,0.001,48.12,-54.330783860000004,143,0.61,10801,613360,4283,4845.742022705078,303.21076049804685
