train/critic_loss,time/time_elapsed,rollout/ep_len_mean,rollout/success rate,time/episodes,time/fps,time/total timesteps,train/actor_loss,train/learning_rate,rollout/ep_rew_mean,train/n_updates
44328.250517578126,19494,10854.36,0.48,1082,449,8755207,2395.721213378906,0.001,-246955.50571633,8755100
10636.284787597657,19877,10933.2,0.47,1083,441,8770207,2368.831877441406,0.001,-248371.61478449003,8770100
16268.15533203125,20260,10933.2,0.47,1084,433,8785207,2391.213044433594,0.001,-248413.30602056,8785100
18059.92804199219,20496,10875.44,0.48,1085,429,8794431,2450.9860009765625,0.001,-247689.76118191998,8794300
24049.037578125,20572,10755.29,0.49,1086,427,8797416,2464.9054125976563,0.001,-245886.36850128,8797300
9880.469831542969,20646,10633.63,0.5,1087,426,8800250,2367.5263159179685,0.001,-243682.73375992,8800100
24857.745732421874,21029,10761.11,0.49,1088,419,8815250,2391.6495581054687,0.001,-245285.67956631002,8815100
27089.99074707031,21129,10707.42,0.49,1089,417,8819205,2393.675078125,0.001,-244339.17245659002,8819100
14270.504284667968,21513,10707.42,0.49,1090,410,8834205,2435.888359375,0.001,-251533.89773161002,8834100
17094.22025390625,21792,10667.13,0.5,1091,405,8845176,2454.9474072265625,0.001,-251044.65831337002,8845000
18694.378806152345,21814,10634.17,0.5,1092,405,8846007,2444.5710717773436,0.001,-250639.10148339,8845900
18625.70084716797,22198,10634.17,0.5,1093,399,8861007,2398.8597607421875,0.001,-254254.16603457,8860900
19970.015378417967,22460,10587.02,0.51,1094,394,8871292,2457.308405761719,0.001,-248712.04525768,8871100
11297.007475585937,22844,10717.54,0.5,1095,388,8886292,2438.3692333984377,0.001,-250590.24632904,8886100
17570.680466308593,22987,10623.41,0.51,1096,386,8891879,2500.9980517578124,0.001,-249402.20106940996,8891700
10821.088774414062,23097,10634.06,0.51,1097,385,8895954,2467.520595703125,0.001,-251112.12838537002,8895800
13924.444714355468,23461,10762.78,0.51,1098,379,8910196,2436.845832519531,0.001,-253067.05807157996,8910000
9831.071428222656,23845,10821.52,0.5,1099,374,8925196,2377.6646313476563,0.001,-253953.79631553005,8925000
17105.48992919922,24230,10821.52,0.5,1100,368,8940196,2352.834509277344,0.001,-251383.34697535,8940000
10853.799807128906,24614,10910.8,0.49,1101,363,8955196,2378.1314672851563,0.001,-252772.59234206003,8955000
11679.164833984374,24998,10910.8,0.49,1102,358,8970196,2384.5023217773437,0.001,-254219.04386302005,8970000
14389.552937011718,25301,10932.32,0.49,1103,354,8982033,2406.744697265625,0.001,-252620.14707903005,8981900
10588.682456054688,25348,10810.5,0.49,1104,354,8983857,2372.6748779296877,0.001,-250910.94100236002,8983700
9938.51634765625,25730,10889.06,0.48,1105,349,8998857,2424.185595703125,0.001,-252274.564499,8998700
11422.816840820313,26114,10889.06,0.48,1106,345,9013857,2380.6371801757814,0.001,-247742.19158313,9013700
11457.013774414063,26252,10875.47,0.48,1107,343,9019236,2366.0392651367188,0.001,-247426.56660303,9019100
63607.60962890625,26636,10875.47,0.48,1108,339,9034236,2391.614501953125,0.001,-247605.71145357002,9034100
16836.50333984375,26986,10974.05,0.48,1109,335,9047850,2365.915166015625,0.001,-249033.85965953005,9047700
8723.530014648437,27369,10976.93,0.47,1110,331,9062850,2360.034638671875,0.001,-249322.98386800996,9062700
16191.3870703125,27753,11011.01,0.46,1111,327,9077850,2345.080720214844,0.001,-249426.66372684998,9077700
7622.656254882812,27904,10987.65,0.46,1112,325,9083765,2349.31892578125,0.001,-248970.41644342997,9083600
9040.696643066407,28288,10987.65,0.46,1113,321,9098765,2285.4808251953127,0.001,-249080.74180718994,9098600
9103.020334472656,28672,11065.1,0.45,1114,317,9113765,2258.6158642578125,0.001,-249629.75606372996,9113600
19005.575301513672,29055,11186.43,0.44,1115,314,9128765,2300.6676220703125,0.001,-251391.21934916,9128600
18762.70180053711,29135,11067.05,0.45,1116,313,9131827,2307.126875,0.001,-249520.55780317,9131700
14682.420928955078,29519,11067.05,0.45,1117,309,9146827,2261.7609399414064,0.001,-249255.71779963,9146700
9123.504890136719,29685,11058.91,0.45,1118,308,9153310,2269.7575610351564,0.001,-249615.63279628,9153200
11707.578724365234,30069,11058.91,0.45,1119,304,9168310,2208.1235083007814,0.001,-243190.4752122,9168200
9972.4707421875,30453,11058.91,0.45,1120,301,9183310,2254.270546875,0.001,-246903.73894200998,9183200
15673.219819335938,30684,10998.98,0.46,1121,299,9192317,2232.005202636719,0.001,-247794.80297844,9192200
10321.187385253907,30770,10882.74,0.47,1122,298,9195693,2338.597626953125,0.001,-246172.80223618005,9195500
7575.242414550781,31156,10882.74,0.47,1123,295,9210693,2273.7763012695314,0.001,-242260.60461380004,9210500
22618.031716308593,31178,10849.79,0.47,1124,295,9211534,2263.414423828125,0.001,-241784.50297195002,9211400
9825.834143066406,31562,10873.2,0.46,1125,292,9226534,2268.0978149414063,0.001,-234758.25270439003,9226400
10273.143857421876,31616,10829.65,0.46,1126,291,9228634,2250.4624096679686,0.001,-234159.94171362,9228500
12231.850068359376,31999,10918.02,0.45,1127,288,9243634,2283.552829589844,0.001,-238165.84610425998,9243500
11671.406809082031,32384,11002.5,0.44,1128,285,9258634,2351.6661376953125,0.001,-239399.36932871,9258500
11612.516833496094,32597,11042.52,0.44,1129,284,9266981,2275.1446899414063,0.001,-240106.99904167998,9266800
9623.840771484374,32980,11138.11,0.43,1130,281,9281981,2313.7417236328124,0.001,-240694.80192314004,9281800
16891.761604003907,33365,11246.28,0.42,1131,278,9296981,2320.9384838867186,0.001,-242209.19980848997,9296800
15914.95550048828,33639,11203.07,0.43,1132,276,9307660,2329.7648095703125,0.001,-246635.23629015998,9307500
9473.96166015625,34022,11323.48,0.42,1133,274,9322660,2353.950009765625,0.001,-251162.17072574998,9322500
17053.43307861328,34407,11323.48,0.42,1134,271,9337660,2391.062734375,0.001,-251281.90845338,9337500
13035.561579589843,34791,11421.75,0.41,1135,268,9352660,2339.9467626953124,0.001,-252740.09491758997,9352500
10368.271220703125,35174,11516.9,0.4,1136,266,9367660,2331.862626953125,0.001,-253996.32529559,9367500
8488.92253173828,35557,11516.9,0.4,1137,263,9382660,2363.3965258789062,0.001,-253881.2221622,9382500
24140.43880371094,35940,11516.9,0.4,1138,261,9397660,2333.35271484375,0.001,-253375.49704519997,9397500
44043.52691772461,36321,11515.48,0.4,1139,259,9412495,2342.647353515625,0.001,-253177.30388182998,9412300
12585.964538574219,36705,11515.48,0.4,1140,256,9427495,2349.2715771484377,0.001,-260411.32948264002,9427300
14474.133935546875,37090,11515.48,0.4,1141,254,9442495,2389.3394970703125,0.001,-260026.36041681,9442300
9837.76774169922,37473,11515.48,0.4,1142,252,9457495,2377.8185205078125,0.001,-260653.75653926,9457300
8704.305162353516,37857,11515.48,0.4,1143,250,9472495,2412.019680175781,0.001,-260539.31954971998,9472300
9395.885532226563,37972,11410.07,0.41,1144,249,9476954,2430.8735693359376,0.001,-259196.87326927998,9476800
11449.304896240234,38355,11410.07,0.41,1145,247,9491954,2344.0208740234375,0.001,-258970.23339401998,9491800
10863.341469726562,38483,11430.34,0.41,1146,246,9496935,2399.2666137695314,0.001,-259124.31782526997,9496800
16907.72350097656,38867,11430.34,0.41,1147,244,9511935,2381.7188818359373,0.001,-259558.52191270996,9511800
26066.474327392578,39251,11517.93,0.4,1148,242,9526935,2359.414494628906,0.001,-260750.40582111996,9526800
10579.532666015624,39607,11505.91,0.41,1149,240,9540733,2242.4019775390625,0.001,-261139.34348728997,9540600
11996.939836425781,39796,11428.59,0.42,1150,239,9548001,2197.01119140625,0.001,-260196.66582800995,9547900
17101.02473754883,40043,11482.88,0.42,1151,238,9557694,2135.2288134765627,0.001,-261207.62976567,9557500
8446.933103027344,40415,11478.17,0.43,1152,236,9572223,2141.055810546875,0.001,-261428.54858314001,9572100
8773.152371826172,40800,11562.36,0.42,1153,234,9587223,2222.981706542969,0.001,-281554.69384309003,9587100
14060.255180664062,40999,11490.82,0.43,1154,234,9595069,2219.81365234375,0.001,-280498.31614158006,9594900
17787.40213623047,41383,11490.82,0.43,1155,232,9610069,2216.780302734375,0.001,-280633.14903738006,9609900
17073.106875,41766,11490.82,0.43,1156,230,9625069,2252.681472167969,0.001,-280472.96182638005,9624900
10900.382197265624,41951,11412.85,0.44,1157,229,9632272,2221.249733886719,0.001,-279238.24067241006,9632100
9443.058356933594,42310,11533.68,0.44,1158,227,9646324,2246.1115283203126,0.001,-283286.13400148996,9646200
18288.800561523436,42695,11533.68,0.44,1159,226,9661324,2243.497060546875,0.001,-282060.85783121,9661200
22615.001580810545,43079,11583.57,0.43,1160,224,9676324,2210.9859594726563,0.001,-282590.71879203,9676200
