rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/iterations,time/time_elapsed,time/fps,train/approx_kl,train/loss,train/explained_variance,train/clip_range,train/entropy_loss,train/std,train/value_loss,train/learning_rate,train/n_updates,train/policy_gradient_loss,train/clip_fraction
-561.9448032099999,100.0,425500,255,5511,77,0.09569228,2723.325927734375,0.008736073970794678,0.2,-7.506525135040283,0.8463723063468933,5454.2408203125,0.0003,21265,-0.01592327386897523,0.457999986410141
-561.46034716,100.0,425600,256,5536,76,0.10707528,2874.947021484375,0.0021865367889404297,0.2,-7.507667827606201,0.8465511798858643,5765.273046875,0.0003,21270,0.0033281993615673854,0.3519999921321869
-561.97288869,100.0,425700,257,5556,76,0.105127916,2394.305908203125,0.05062389373779297,0.2,-7.509017562866211,0.8467391729354858,4824.983203125,0.0003,21275,0.022899653992499224,0.34799999594688413
-562.0775390499999,100.0,425800,258,5584,76,0.075120024,3058.442138671875,-0.007691621780395508,0.2,-7.510339450836182,0.8469216823577881,6110.14892578125,0.0003,21280,-0.005893191767972894,0.371999990940094
-561.96972832,100.0,425900,259,5611,75,0.025694663,2768.57958984375,0.02662736177444458,0.2,-7.511197853088379,0.8468732833862305,5541.8330078125,0.0003,21285,-0.008798942703288048,0.33199999332427976
-561.6814608999998,100.0,426000,260,5637,75,0.022285227,2815.318359375,-0.08764922618865967,0.2,-7.510386657714844,0.8467475771903992,5633.2248046875,0.0003,21290,0.006669453001813963,0.10399999469518661
-561.8508956699999,100.0,426100,261,5667,75,0.041513167,2413.53759765625,0.009092986583709717,0.2,-7.509764766693115,0.8467520475387573,4828.908203125,0.0003,21295,0.002757978144654771,0.36199999153614043
-561.9033747399999,100.0,426200,262,5689,74,0.5206936,2745.6103515625,-0.035364508628845215,0.2,-7.510094547271729,0.846865177154541,5513.49619140625,0.0003,21300,0.12998401260410902,0.6019999861717225
-562.1090992999999,100.0,426300,263,5706,74,0.036426175,2558.914794921875,0.026013970375061035,0.2,-7.510682392120361,0.8468801379203796,5117.2958984375,0.0003,21305,-0.0023556322092190387,0.18399999439716339
-562.1254016999999,100.0,426400,264,5727,74,0.08777089,2997.656982421875,-0.004803180694580078,0.2,-7.510485744476318,0.8468372225761414,6021.945703125,0.0003,21310,-0.011612682515988126,0.3899999886751175
-562.3420295799999,100.0,426500,265,5748,74,0.065850206,2605.05615234375,-0.014626264572143555,0.2,-7.510207462310791,0.8468184471130371,5208.91650390625,0.0003,21315,-0.011932276742300019,0.3099999979138374
-562.8127624199999,100.0,426600,266,5777,73,0.05065193,2804.07763671875,0.011216998100280762,0.2,-7.510132503509522,0.8468067049980164,5620.31455078125,0.0003,21320,-0.005432767324964516,0.23199999034404756
-563.05985804,100.0,426700,267,5798,73,0.06751416,2956.65625,0.026361823081970215,0.2,-7.509964466094971,0.8467684984207153,5943.9646484375,0.0003,21325,-0.008409839888918214,0.23399999216198922
-563.3352191299999,100.0,426800,268,5821,73,0.07986395,2613.056640625,-0.031310200691223145,0.2,-7.509535121917724,0.8466702699661255,5230.94462890625,0.0003,21330,-0.012239553446124773,0.25799999535083773
-563.12485841,100.0,426900,269,5846,73,0.11656558,3131.0126953125,-0.0026634931564331055,0.2,-7.508774185180664,0.8465641736984253,6265.7333984375,0.0003,21335,-0.005175640413654037,0.3799999922513962
-563.2710601599999,100.0,427000,270,5868,72,0.10755547,2522.087646484375,0.06967687606811523,0.2,-7.508128643035889,0.8464754819869995,5051.37998046875,0.0003,21340,-0.01992237251251936,0.39199999123811724
-563.1959212300001,100.0,427100,271,5889,72,0.14825858,2631.92138671875,0.01013118028640747,0.2,-7.50765380859375,0.8464269638061523,5272.12763671875,0.0003,21345,0.0005792041716631502,0.36799998469650747
-558.01128361,99.14,427200,272,5917,72,0.066416666,2625.990478515625,0.018566370010375977,0.2,-7.508003234863281,0.8466383218765259,5252.73876953125,0.0003,21350,-0.004195849107054528,0.3899999976158142
-558.09587959,99.14,427300,273,5941,71,0.02876455,2961.98193359375,0.04541832208633423,0.2,-7.509637928009033,0.8468307852745056,6041.2208984375,0.0003,21355,-0.0013436050605378114,0.12799999602138995
-557.5057088199999,99.14,427400,274,5965,71,0.23573586,2877.391357421875,-0.22999286651611328,0.2,-7.510805988311768,0.8469513654708862,5821.3318359375,0.0003,21360,0.040229064991581256,0.41799998134374616
-557.57403592,99.14,427500,275,5989,71,0.4858853,2654.886474609375,0.15350180864334106,0.2,-7.51153450012207,0.8470203876495361,5414.81767578125,0.0003,21365,0.061404968588612975,0.5419999897480011
-557.97843596,99.14,427600,276,6024,70,0.2662522,3016.605712890625,0.029247581958770752,0.2,-7.511941432952881,0.8470642566680908,6085.35986328125,0.0003,21370,0.032526167889591305,0.48799998462200167
-557.56183742,99.14,427700,277,6047,70,0.15167093,3281.017578125,-0.2101534605026245,0.2,-7.512259292602539,0.8471096754074097,6591.02060546875,0.0003,21375,0.007862094894517214,0.4199999928474426
-557.96872146,99.14,427800,278,6066,70,0.18068492,3047.553955078125,0.18083655834197998,0.2,-7.512564182281494,0.84713214635849,6153.695703125,0.0003,21380,0.013067707134177908,0.3639999866485596
-558.52312908,99.14,427900,279,6090,70,0.12360483,3562.542724609375,0.04931020736694336,0.2,-7.512714672088623,0.8471677303314209,7164.00146484375,0.0003,21385,0.024485286956769416,0.3919999897480011
-558.5381608,99.14,428000,280,6113,70,0.07617637,3912.54248046875,-0.14443254470825195,0.2,-7.513062477111816,0.8472229838371277,7838.471875,0.0003,21390,-0.018464087683241814,0.31400000154972074
-558.5379737899999,99.14,428100,281,6133,69,0.018351788,3538.9755859375,0.08497965335845947,0.2,-7.513383293151856,0.8472530841827393,7112.6814453125,0.0003,21395,-0.0028503389251454793,0.10999999642372131
-559.16515374,99.14,428200,282,6162,69,0.07509163,3875.797119140625,0.0998154878616333,0.2,-7.513619041442871,0.8473040461540222,7810.25908203125,0.0003,21400,-0.02139252933084208,0.3119999818503857
-559.34411896,99.14,428300,283,6188,69,0.037075307,4265.8505859375,-0.115303635597229,0.2,-7.51392240524292,0.8473255038261414,8586.0181640625,0.0003,21405,0.0004550618847133592,0.19599999487400055
-559.21205615,99.14,428400,284,6204,69,0.016096715,4048.46484375,-0.09596264362335205,0.2,-7.514019298553467,0.8473398089408875,8088.39736328125,0.0003,21410,0.0006080307852244004,0.1559999980032444
-559.27695406,99.14,428500,285,6232,68,0.1560647,3734.33740234375,-0.025816679000854492,0.2,-7.51423749923706,0.8473936915397644,7486.17158203125,0.0003,21415,-0.017098141291353387,0.4199999928474426
-559.5782826899999,99.14,428600,286,6255,68,0.03212994,3622.27099609375,0.15829408168792725,0.2,-7.5145491600036625,0.8474271297454834,7255.73759765625,0.0003,21420,-0.01045840986771509,0.1899999961256981
-559.24444476,99.14,428700,287,6285,68,0.037647594,4119.2255859375,-0.5355563163757324,0.2,-7.514727973937989,0.8474411964416504,8296.2337890625,0.0003,21425,0.0006007377756759525,0.16799999624490738
-559.52760854,99.14,428800,288,6313,67,0.042792685,3360.818115234375,0.22618979215621948,0.2,-7.514776706695557,0.8474363088607788,6767.061328125,0.0003,21430,0.00013101533586450386,0.1659999955445528
-559.36389824,99.14,428900,289,6339,67,0.032180037,4163.486328125,-0.14471065998077393,0.2,-7.51473445892334,0.8474399447441101,8350.9580078125,0.0003,21435,-0.017429515853291378,0.17599999494850635
