rollout/ep_len_mean,rollout/ep_rew_mean,time/total timesteps,rollout/success rate,train/actor_loss,train/critic_loss,train/n_updates,time/fps,time/episodes,train/learning_rate,time/time_elapsed
7719.62,-183592.76208865998,3357595,0.39,2740.9975,8211.723259277343,3357400,96,575,0.001,34673
7719.62,-183975.01842002998,3367595,0.39,2752.161435546875,6065.826904296875,3367400,96,576,0.001,34925
7636.14,-181626.55901804997,3369247,0.4,2719.8637158203123,14433.718483886718,3369100,96,577,0.001,34967
7707.42,-181842.49721019997,3379247,0.39,2710.837177734375,8886.263481445312,3379100,95,578,0.001,35218
7777.91,-183710.64438014,3389247,0.38,2704.994365234375,15195.539915771484,3389100,95,579,0.001,35469
7723.5,-182476.83591196,3393806,0.39,2707.0634912109376,8651.06404296875,3393700,95,580,0.001,35584
7665.4,-182348.52062971995,3397996,0.4,2688.4951025390624,11481.171030273437,3397800,95,581,0.001,35689
7633.88,-181239.07359693,3404844,0.41,2712.31013671875,6428.2555078125,3404700,94,582,0.001,35862
7604.53,-180831.42985157,3406958,0.41,2702.1086572265626,9891.098447265626,3406800,94,583,0.001,35915
7587.22,-180830.86294967003,3415227,0.42,2717.083271484375,10267.475964355468,3415100,94,584,0.001,36123
7587.22,-178902.68094949002,3425227,0.42,2676.1731787109375,9643.327600097657,3425100,94,585,0.001,36374
7567.01,-179562.02928994002,3433206,0.43,2679.3600146484373,10985.762912597656,3433100,93,586,0.001,36575
7487.91,-177717.63365885,3435296,0.44,2704.6235986328124,9519.62011352539,3435100,93,587,0.001,36628
7462.34,-176528.45568438002,3442739,0.45,2657.2840283203127,11563.142647705077,3442600,93,588,0.001,36817
7422.1,-173529.91580328002,3448715,0.46,2653.2869140625,16282.053439941406,3448600,93,589,0.001,36967
7400.05,-174195.70153737004,3456510,0.47,2688.1876611328125,7906.830913085938,3456400,93,590,0.001,37163
7398.54,-173552.62258060998,3466359,0.48,2678.6298193359376,10166.478542480469,3466200,92,591,0.001,37411
7390.7,-173319.0696839,3468509,0.48,2694.5909130859377,12720.906259765625,3468400,92,592,0.001,37465
7454.02,-176946.83779755997,3478509,0.47,2610.2898974609375,26159.992399902345,3478400,92,593,0.001,37715
7454.02,-175555.73674932,3488509,0.47,2610.7033837890626,14667.352133789063,3488400,91,594,0.001,37968
7454.02,-174562.77021819996,3498509,0.47,2604.772041015625,11462.934467773437,3498400,91,595,0.001,38219
7386.47,-173142.14763797994,3501754,0.48,2589.358173828125,16146.255825195312,3501600,91,596,0.001,38301
7386.47,-172272.75725724996,3511754,0.48,2557.886591796875,11591.650131835937,3511600,91,597,0.001,38554
7386.47,-171270.55975327,3521754,0.48,2544.7465625,8800.046157226563,3521600,90,598,0.001,38805
7386.47,-171928.89662560998,3531754,0.48,2543.8140380859377,7918.575208740234,3531600,90,599,0.001,39057
7400.93,-174570.84702127002,3535189,0.48,2569.2409326171874,6779.895063476562,3535000,90,600,0.001,39144
7400.93,-174411.45875851,3545189,0.48,2570.832001953125,16955.809970703125,3545000,89,601,0.001,39395
7400.93,-176160.59015488002,3555189,0.48,2614.8281884765624,14371.809306640625,3555000,89,602,0.001,39647
7438.71,-176975.54297444999,3565189,0.47,2562.2251708984377,5904.571015625,3565000,89,603,0.001,39899
7438.71,-175654.59290906,3575189,0.47,2586.666845703125,12005.481092529297,3575000,89,604,0.001,40150
7416.66,-174508.39036572003,3582984,0.48,2548.3246240234375,15541.529094238282,3582800,88,605,0.001,40347
7416.66,-173744.76142802,3592984,0.48,2574.6255419921877,14813.531872558593,3592800,88,606,0.001,40599
7425.14,-169787.08829456,3600602,0.48,2545.4632373046875,11553.16078125,3600500,88,607,0.001,40792
7470.5,-171060.24198917003,3610602,0.47,2610.71904296875,14031.098376464844,3610500,87,608,0.001,41052
7399.75,-169586.42929441002,3613527,0.48,2616.748603515625,9259.207071533203,3613400,87,609,0.001,41128
7439.19,-170126.49949496,3619174,0.48,2628.6351318359375,6461.298662109375,3619000,87,610,0.001,41271
