time/total timesteps,train/actor_loss,rollout/success rate,time/time_elapsed,time/episodes,train/critic_loss,train/n_updates,rollout/ep_rew_mean,train/learning_rate,rollout/ep_len_mean,time/fps
109600,121.46347198486328,0.0,2323,1096,380.6696714401245,109480,-132.49801937,0.001,100.0,47
110000,122.75478057861328,0.0,2432,1100,418.87642364501954,109880,-133.69565564,0.001,100.0,45
110400,123.63197708129883,0.0,2520,1104,214.24379367828368,110280,-135.34986013,0.001,100.0,43
110800,123.59783630371093,0.0,2619,1108,257.3489059448242,110680,-134.26721694,0.001,100.0,42
111200,124.02067947387695,0.0,2730,1112,298.7006559371948,111080,-133.83556821000002,0.001,100.0,40
111600,125.44754180908203,0.0,2837,1116,207.24532384872435,111480,-135.35230963,0.001,100.0,39
112000,124.15569152832032,0.0,2930,1120,214.48288497924804,111880,-134.26294575000003,0.001,100.0,38
112400,125.18592147827148,0.0,3015,1124,343.23567428588865,112280,-134.05876109,0.001,100.0,37
112800,124.86272888183593,0.0,3132,1128,326.1599443435669,112680,-132.38673207,0.001,100.0,36
113200,124.9962532043457,0.0,3257,1132,476.1626932144165,113080,-131.89105831999998,0.001,100.0,34
113600,124.31693038940429,0.0,3362,1136,328.5769721984863,113480,-131.18124618,0.001,100.0,33
114000,124.5827133178711,0.0,3467,1140,435.8374076843262,113880,-130.92521634,0.001,100.0,32
114400,125.39210891723633,0.0,3553,1144,394.76544322967527,114280,-130.57583879,0.001,100.0,32
114800,125.8530502319336,0.0,3635,1148,274.6559892654419,114680,-130.77925708,0.001,100.0,31
115200,125.62423477172851,0.0,3723,1152,457.7858964920044,115080,-131.04420204,0.001,100.0,30
115600,127.82799530029297,0.0,3833,1156,342.4848684310913,115480,-129.86057287000003,0.001,100.0,30
116000,126.26751861572265,0.0,3930,1160,429.90432233810424,115880,-129.57749475999998,0.001,100.0,29
116400,126.49333953857422,0.0,4016,1164,223.8784348487854,116280,-130.40712136,0.001,100.0,28
116800,127.86501998901367,0.0,4108,1168,358.98423957824707,116680,-131.02289312000002,0.001,100.0,28
117200,127.14536590576172,0.0,4185,1172,286.0977739334106,117080,-131.66513382,0.001,100.0,27
117600,127.84792785644531,0.0,4268,1176,346.93132915496824,117480,-131.59987334000002,0.001,100.0,27
118000,127.30322265625,0.0,4375,1180,225.33092164993286,117880,-130.29082447000002,0.001,100.0,26
118400,127.04377975463868,0.0,4469,1184,448.0015625,118280,-129.99002518000003,0.001,100.0,26
118800,129.45919799804688,0.0,4558,1188,316.706862449646,118680,-129.91629021999998,0.001,100.0,26
119200,128.18018264770507,0.0,4650,1192,310.14936275482177,119080,-129.94863838,0.001,100.0,25
119600,127.11358108520508,0.0,4754,1196,523.6922498703003,119480,-129.39386303,0.001,100.0,25
