train/learning_rate,time/time_elapsed,rollout/ep_len_mean,time/total timesteps,train/actor_loss,time/episodes,time/fps,rollout/ep_rew_mean,train/critic_loss,train/n_updates,rollout/success rate
0.001,12792,88.25,45285,92.2504997253418,492,3,-63.299918410000004,185.12251739501954,45180,0.19
0.001,12911,87.33,45593,90.87004089355469,496,3,-60.93214272,234.72135334014894,45480,0.2
0.001,12983,87.2,45894,91.75496063232421,500,3,-63.81078189000001,157.49462985992432,45780,0.2
0.001,13088,88.07,46294,92.50486755371094,504,3,-63.67661763,244.5760504722595,46180,0.19
0.001,13195,87.66,46653,94.3535987854004,508,3,-62.55649609000001,208.23450813293456,46540,0.21
0.001,13279,88.1,46993,93.45480422973633,512,3,-63.08052674,184.68842811584472,46880,0.2
0.001,13394,88.1,47393,93.67299880981446,516,3,-67.14449954,213.71818199157715,47280,0.2
0.001,13514,88.61,47755,95.0962905883789,520,3,-71.02080273,198.6601203918457,47640,0.2
0.001,13628,88.01,48095,93.53921051025391,524,3,-70.44882158,207.3953052520752,47980,0.21
0.001,13730,87.92,48486,96.47249832153321,528,3,-71.05194981,203.45173540115357,48380,0.22
0.001,13838,88.46,48886,97.89107208251953,532,3,-71.55746784,197.9647325515747,48780,0.21
0.001,13924,88.25,49195,98.91117324829102,536,3,-70.55851969999999,221.31775369644166,49080,0.21
0.001,14046,87.87,49557,98.86302490234375,540,3,-69.36776079,250.0334373474121,49440,0.23
0.001,14155,88.59,49957,99.28657836914063,544,3,-73.29262981999999,285.0652033805847,49840,0.22
0.001,14242,89.01,50330,100.4081039428711,548,3,-73.37969284,271.7713747024536,50220,0.22
0.001,14353,90.34,50730,101.4198715209961,552,3,-73.74029496000001,270.4450498580933,50620,0.2
0.001,14445,89.7,51066,102.12122497558593,556,3,-74.19547114,226.97248382568358,50960,0.21
0.001,14541,89.93,51415,102.23802337646484,560,3,-74.03406121999998,280.70227670669556,51300,0.21
0.001,14663,89.6,51782,103.27192916870118,564,3,-75.9902461,313.83789854049684,51680,0.23
0.001,14773,90.0,52143,103.0259407043457,568,3,-75.70107251999998,294.8627499580383,52040,0.23
0.001,14858,89.57,52485,103.2894515991211,572,3,-75.73381954999999,246.09047908782958,52380,0.22
0.001,14943,88.95,52823,104.63891677856445,576,3,-76.26181976,218.44324893951415,52720,0.23
0.001,15048,89.72,53223,104.77966918945313,580,3,-80.45487394999999,252.8596742630005,53120,0.22
0.001,15158,89.51,53561,105.67626876831055,584,3,-86.14321020999999,243.5175977706909,53460,0.22
0.001,15260,90.76,53961,106.86727752685547,588,3,-89.30618562,226.68675842285157,53860,0.2
0.001,15351,90.17,54302,107.36994094848633,592,3,-89.67590542000002,224.25956134796144,54200,0.21
0.001,15452,90.8,54673,107.82311935424805,596,3,-90.02301165,276.14165630340574,54560,0.21
0.001,15527,90.8,54974,108.12472915649414,600,3,-86.41289177999997,264.74803018569946,54860,0.22
0.001,15644,90.8,55374,108.77913055419921,604,3,-86.85771644,323.2629028320313,55260,0.22
0.001,15752,90.46,55699,109.06648254394531,608,3,-87.37744843,296.11222038269045,55580,0.21
0.001,15857,91.06,56099,109.99878311157227,612,3,-87.79253353,144.08755054473878,55980,0.2
0.001,15992,91.06,56499,111.27308731079101,616,3,-85.06867684000001,271.6304858207703,56380,0.2
0.001,16085,91.05,56860,110.67364196777343,620,3,-81.29423758,271.2733684539795,56740,0.2
0.001,16187,91.65,57260,110.86385040283203,624,3,-82.73658660999999,353.1029445648193,57140,0.19
0.001,16274,91.45,57631,112.9138198852539,628,3,-87.0623677,366.8228601455688,57520,0.19
0.001,16375,91.45,58031,112.66776275634766,632,3,-84.16707365000002,345.03680791854856,57920,0.19
0.001,16456,91.58,58353,114.63354797363282,636,3,-84.49806073000002,255.14754962921143,58240,0.19
0.001,16546,91.2,58677,112.95563278198242,640,3,-88.74129256000002,405.6197708129883,58560,0.18
0.001,16601,89.34,58891,114.41550216674804,644,3,-84.6212536,285.7494529724121,58780,0.2
0.001,16678,87.94,59124,116.4458137512207,648,3,-83.54516777,296.06754245758054,59020,0.22
0.001,16765,87.94,59524,115.47477798461914,652,3,-84.32207451000001,237.68010864257812,59420,0.22
0.001,16867,88.58,59924,117.20238571166992,656,3,-84.68608548999998,352.1018083572388,59820,0.21
0.001,16933,87.16,60131,117.76799697875977,660,3,-82.95211931,279.5205417633057,60020,0.23
0.001,17077,87.49,60531,116.99438552856445,664,3,-81.43628203,334.6876466751099,60420,0.21
0.001,17187,87.88,60931,120.0322151184082,668,3,-84.19702509000001,330.19755363464355,60820,0.2
0.001,17267,86.82,61167,120.18093338012696,672,3,-81.82214490999999,340.9892477035522,61060,0.21
0.001,17375,87.44,61567,119.7406852722168,676,3,-82.76414892999999,306.8128503799438,61460,0.2
0.001,17464,87.29,61952,121.38718185424804,680,3,-82.98045083,250.6330820083618,61840,0.21
0.001,17552,86.79,62240,121.98378982543946,684,3,-77.83596895000001,258.73792324066164,62120,0.22
0.001,17650,85.92,62553,123.829833984375,688,3,-76.76169372,290.6921197891235,62440,0.23
0.001,17724,85.1,62812,122.38467712402344,692,3,-71.62113206,335.4531587600708,62700,0.24
0.001,17826,85.17,63190,122.44016799926757,696,3,-72.90926831,270.9799087524414,63080,0.24
0.001,17887,84.25,63399,124.7668701171875,700,3,-72.43193906,375.71832332611086,63280,0.26
0.001,17976,82.83,63657,123.00640563964843,704,3,-71.81119911,306.8012969970703,63540,0.28
0.001,18081,83.58,64057,126.03391723632812,708,3,-71.18304046,244.0284336090088,63940,0.27
0.001,18196,83.54,64453,124.54322738647461,712,3,-71.06613800999999,609.3087163925171,64340,0.28
0.001,18294,83.19,64818,126.2545783996582,716,3,-69.46073368,275.6837497711182,64700,0.29
0.001,18376,82.65,65125,126.1096061706543,720,3,-69.31957713000001,348.22348098754884,65020,0.3
0.001,18455,82.65,65525,127.01680450439453,724,3,-72.11134462999999,407.8089921951294,65420,0.3
0.001,18538,82.05,65836,124.981591796875,728,3,-65.50528734,314.78768672943113,65720,0.3
0.001,18608,81.13,66144,128.35718307495117,732,3,-67.64957659000001,468.07330932617185,66040,0.31
0.001,18710,81.58,66511,126.88582000732421,736,3,-67.41792705,445.2534585952759,66400,0.31
0.001,18803,82.34,66911,128.8374816894531,740,3,-66.31620357999999,370.36933307647706,66800,0.3
0.001,18847,82.1,67101,128.69012222290038,744,3,-67.89830647,347.8133373260498,67000,0.31
0.001,18919,83.14,67438,130.1494598388672,748,3,-71.60402411999999,379.9345430374145,67320,0.29
0.001,19033,83.14,67838,130.9040054321289,752,3,-72.47777363999998,359.4796936035156,67720,0.29
0.001,19122,82.71,68195,130.28248596191406,756,3,-70.83294971999999,464.532342338562,68080,0.3
0.001,19207,84.08,68539,132.17816467285155,760,3,-72.19465241,417.49256286621096,68420,0.28
0.001,19291,83.22,68853,133.43150634765624,764,3,-71.76589459,489.78993225097656,68740,0.29
0.001,19357,81.72,69103,131.01594161987305,768,3,-69.25455735,373.947509765625,69000,0.31
0.001,19432,83.08,69475,131.8994354248047,772,3,-69.58251836,454.3672296524048,69360,0.3
0.001,19515,83.08,69875,134.87604064941405,776,3,-71.71883645,534.7203523635865,69760,0.3
0.001,19611,83.23,70275,133.8584991455078,780,3,-68.44218085,584.6306381225586,70160,0.29
0.001,19703,84.35,70675,135.79615173339843,784,3,-70.75506192999998,523.1842582702636,70560,0.27
0.001,19779,85.22,71075,135.0327346801758,788,3,-68.95885102999999,335.91490707397463,70960,0.26
0.001,19868,85.97,71409,136.65128173828126,792,3,-70.04679705,396.80687923431395,71300,0.25
0.001,19944,85.67,71757,136.92584686279298,796,3,-68.13627806,364.7607614517212,71640,0.25
0.001,20019,86.74,72073,139.10423431396484,800,3,-68.91089578,351.39606647491456,71960,0.22
0.001,20099,87.33,72390,138.0940902709961,804,3,-68.30411495999999,421.486431312561,72280,0.21
0.001,20211,87.33,72790,137.66471252441406,808,3,-68.52758594999999,648.7871255874634,72680,0.21
0.001,20302,87.37,73190,138.7924835205078,812,3,-72.08061805,363.67942371368406,73080,0.2
0.001,20400,87.32,73550,140.06204223632812,816,3,-71.81790740999999,374.40700550079345,73440,0.2
0.001,20489,88.25,73950,138.5391372680664,820,3,-73.97182459999999,461.2891189575195,73840,0.18
0.001,20566,87.28,74253,140.6492172241211,824,3,-70.89616905,347.8093460083008,74140,0.19
0.001,20652,87.66,74602,139.44531860351563,828,3,-76.23058429000001,563.7457069396972,74500,0.19
0.001,20748,88.58,75002,140.01143646240234,832,3,-76.01734255000001,562.0260717391968,74900,0.18
0.001,20838,88.02,75313,140.05602416992187,836,3,-79.92489643,441.08767852783205,75200,0.18
0.001,20914,87.3,75641,141.60342254638672,840,3,-77.996815,546.5904741287231,75540,0.19
0.001,20977,87.85,75886,144.8179962158203,844,3,-76.11172482,443.84420547485354,75780,0.18
0.001,21055,86.89,76127,143.63242950439454,848,3,-73.25813492,427.1481502532959,76020,0.19
0.001,21169,86.88,76526,143.32095184326172,852,3,-75.09714360999999,378.28202018737795,76420,0.2
0.001,21245,86.41,76836,144.76828155517578,856,3,-75.09010205999999,463.98153553009035,76720,0.2
0.001,21327,85.77,77116,145.10385437011718,860,3,-74.28929996000001,446.0978801727295,77000,0.21
0.001,21383,85.0,77353,145.87852783203124,864,3,-73.07073647,592.56148853302,77240,0.22
0.001,21487,86.5,77753,146.9054443359375,868,3,-74.42060122000001,544.2718389511108,77640,0.2
0.001,21570,85.88,78063,146.1106185913086,872,3,-75.51982913,560.0099769592285,77960,0.2
0.001,21644,84.49,78324,147.3482192993164,876,3,-71.88963376,471.0366567611694,78220,0.23
0.001,21732,83.2,78595,147.2808090209961,880,3,-70.24645184,537.1366483688355,78480,0.25
0.001,21797,81.32,78807,147.3113525390625,884,3,-67.24649484,370.4118782043457,78700,0.27
0.001,21873,79.82,79057,148.89290313720704,888,3,-65.42271127,479.40159606933594,78940,0.29
0.001,21982,80.48,79457,148.40933837890626,892,3,-67.96165736,460.5388973236084,79340,0.28
0.001,22087,80.99,79856,148.84783325195312,896,3,-70.22405463,540.048941040039,79740,0.28
0.001,22167,81.06,80179,151.0374267578125,900,3,-73.79332498000001,454.21118812561036,80060,0.28
0.001,22261,80.87,80477,148.2701446533203,904,3,-73.93746490000001,475.15349769592285,80360,0.29
0.001,22357,79.94,80784,152.4719467163086,908,3,-73.39673032000002,366.3127347946167,80680,0.3
0.001,22432,79.01,81091,151.4347915649414,912,3,-69.23770532000002,370.90614585876466,80980,0.31
0.001,22525,78.87,81437,149.73772583007812,916,3,-73.98647324000001,608.2370805740356,81320,0.31
0.001,22583,76.39,81589,150.57998657226562,920,3,-71.02603540000001,507.49056949615476,81480,0.34
0.001,22667,76.57,81910,151.31251525878906,924,3,-72.44517056,405.1841274261475,81800,0.34
0.001,22760,75.79,82181,150.71688690185547,928,3,-64.77570835,709.8264287948608,82080,0.35
0.001,22841,74.86,82488,154.31551971435547,932,3,-63.36368423,515.9865936279297,82380,0.36
0.001,22943,75.75,82888,149.07660522460938,936,3,-60.343889870000005,739.5422771453857,82780,0.35
0.001,23043,75.9,83231,154.29181213378905,940,3,-58.74103260000001,355.81332206726074,83120,0.35
0.001,23126,76.18,83504,155.62227325439454,944,3,-58.904933269999994,372.9651273727417,83400,0.35
0.001,23168,75.19,83646,154.15009460449218,948,3,-57.48915788999999,506.83496322631834,83540,0.37
0.001,23251,74.37,83963,153.2549575805664,952,3,-54.008161099999995,652.2811908721924,83860,0.37
0.001,23327,73.65,84201,152.66463317871094,956,3,-54.62530407000001,620.6995998382569,84100,0.38
0.001,23408,73.96,84512,152.88658142089844,960,3,-56.58637325999999,592.0842723846436,84400,0.37
0.001,23511,75.59,84912,155.57296295166014,964,3,-57.074954899999994,349.79852905273435,84800,0.35
0.001,23607,75.08,85261,152.996630859375,968,3,-55.52733364999999,626.5764484405518,85160,0.36
0.001,23699,75.98,85661,155.97040710449218,972,3,-55.81386502,592.3833721160888,85560,0.35
0.001,23763,75.23,85847,156.12803802490234,976,3,-54.447625370000004,442.1232093811035,85740,0.35
0.001,23853,76.11,86206,157.30062866210938,980,3,-60.25578023,439.39430770874026,86100,0.34
0.001,23941,77.29,86536,156.18057098388672,984,3,-61.136528260000006,336.7847480773926,86420,0.33
0.001,24015,77.54,86811,156.14851989746094,988,3,-62.26207905999998,465.98864822387696,86700,0.33
0.001,24126,77.36,87193,158.72894592285155,992,3,-63.96117465999999,451.3622989654541,87080,0.34
0.001,24209,76.64,87520,159.23734588623046,996,3,-62.79397244999999,781.8768783569336,87400,0.34
0.001,24290,76.77,87856,158.12017059326172,1000,3,-62.01579555999999,660.8588764190674,87740,0.34
0.001,24404,77.79,88256,160.81970672607423,1004,3,-64.7225118,573.2284244537353,88140,0.32
0.001,24503,78.69,88653,158.62776641845704,1008,3,-71.61404308,452.32408771514895,88540,0.32
0.001,24622,79.62,89053,161.12476043701173,1012,3,-76.50815345000001,772.9980667114257,88940,0.31
0.001,24718,79.88,89425,159.69578857421874,1016,3,-75.13704133,961.2181884765625,89320,0.31
0.001,24787,80.9,89679,160.7758590698242,1020,3,-75.49770395,625.5712711334229,89560,0.3
0.001,24880,80.95,90005,161.1093978881836,1024,3,-73.76349033999999,642.8862358093262,89900,0.3
0.001,24944,80.58,90239,162.1157989501953,1028,3,-73.93413406,591.3264762878418,90120,0.3
0.001,25039,80.57,90545,161.5640838623047,1032,3,-70.97742722,609.1499488830566,90440,0.3
0.001,25131,79.84,90872,162.34185943603515,1036,3,-70.44569402,579.9321567535401,90760,0.31
0.001,25182,78.41,91072,162.9295913696289,1040,3,-69.84710530000001,463.6276565551758,90960,0.33
0.001,25305,79.68,91472,160.23978271484376,1044,3,-71.37231235000002,1060.2807773590089,91360,0.31
0.001,25361,80.57,91703,162.47313690185547,1048,3,-72.24212324,767.2200546264648,91600,0.29
0.001,25454,80.02,91965,165.24970092773438,1052,3,-71.80012488,607.920746421814,91860,0.3
0.001,25539,80.76,92277,164.07472076416016,1056,3,-71.31278503000001,415.23979091644287,92160,0.29
0.001,25631,80.71,92583,162.87941131591796,1060,3,-69.87453877,542.2162342071533,92480,0.29
0.001,25725,80.71,92983,164.00839233398438,1064,3,-71.35097084,544.5198593139648,92880,0.29
0.001,25820,80.43,93304,165.05243835449218,1068,3,-71.18744405000001,668.6299987792969,93200,0.29
0.001,25900,79.14,93575,167.02728576660155,1072,3,-70.35636983,611.3943782806397,93460,0.31
0.001,25997,80.4,93887,166.10855102539062,1076,3,-71.96878022000001,712.9369262695312,93780,0.29
0.001,26076,79.81,94187,165.5984115600586,1080,3,-68.99638287,653.4226318359375,94080,0.3
0.001,26159,79.86,94522,167.63544921875,1084,3,-71.21350495,587.8526086807251,94420,0.3
0.001,26252,80.97,94908,169.43404846191407,1088,3,-71.94907678999999,531.5740577697754,94800,0.29
0.001,26344,80.26,95219,169.23798675537108,1092,3,-72.56820465999999,482.69970417022705,95100,0.29
0.001,26447,80.21,95541,171.30829010009765,1096,3,-73.41674146,425.4967903137207,95440,0.29
0.001,26569,80.85,95941,169.19610595703125,1100,3,-74.31507913,630.4908042907715,95840,0.28
0.001,26638,79.96,96252,169.25877075195314,1104,3,-76.5645773,685.0226913452149,96140,0.29
0.001,26707,78.37,96490,168.93756256103515,1108,3,-69.30776537000001,570.3029796600342,96380,0.3
