time/total timesteps,train/n_updates,time/fps,time/episodes,rollout/ep_rew_mean,train/actor_loss,train/critic_loss,train/learning_rate,rollout/ep_len_mean,rollout/success rate,time/time_elapsed
543486,543300,66,82,-4927.351092365854,74.78380187988282,3.387869878411293,0.001,6627.878048780488,0.7195121951219512,8127
550104,550000,66,83,-4879.752061228916,75.02781745910644,4.452781939208507,0.001,6627.759036144578,0.7228915662650602,8227
552356,552200,66,84,-4851.619374119049,75.99212760925293,1.0045062936097384,0.001,6575.666666666667,0.7261904761904762,8261
553271,553100,66,85,-4796.155782317648,74.19692199707032,5.31059203080833,0.001,6509.070588235294,0.7294117647058823,8275
553898,553700,66,86,-4742.768002127908,75.52536010742188,2.8965359880030155,0.001,6440.674418604651,0.7325581395348837,8285
555095,554900,66,87,-4696.157016931036,76.160673828125,0.5457513542100787,0.001,6380.402298850575,0.735632183908046,8302
556967,556800,66,88,-4666.78959871591,75.32845901489257,1.1926033011823893,0.001,6329.170454545455,0.7386363636363636,8331
559603,559500,66,89,-4631.176594966292,75.06222709655762,2.985899667143822,0.001,6287.6741573033705,0.7415730337078652,8370
560181,560000,66,90,-4581.985853844445,73.61144416809083,4.42927522778511,0.001,6224.233333333334,0.7444444444444445,8379
561202,561100,66,91,-4535.563741780221,74.93552536010742,2.5745497857034207,0.001,6167.054945054945,0.7472527472527473,8395
567980,567800,66,92,-4494.010955663044,73.88233055114746,5.464609952345491,0.001,6173.695652173913,0.75,8495
577668,577500,66,93,-4476.0796261075275,72.23804908752442,4.461905811652541,0.001,6211.4838709677415,0.7526881720430108,8641
577782,577600,66,94,-4428.452295148937,70.87971534729004,0.46861100565642116,0.001,6146.617021276596,0.7553191489361702,8643
581597,581400,66,95,-4405.900461347369,74.00591751098632,0.37628116846084597,0.001,6122.073684210526,0.7578947368421053,8701
584455,584300,66,96,-4369.485565937501,72.15010459899902,0.4296012544631958,0.001,6088.072916666667,0.7604166666666666,8743
594432,594300,66,97,-4352.271918680413,72.2219660949707,0.6391607973724603,0.001,6128.164948453608,0.7628865979381443,8893
595404,595300,66,98,-4313.243872387756,72.78655044555664,4.841316036880016,0.001,6075.551020408163,0.7653061224489796,8908
599992,599800,66,99,-4316.63742069697,73.4075099182129,2.981345686838031,0.001,6060.525252525253,0.7676767676767676,8975
602439,602300,66,100,-4287.75478085,71.49305030822754,4.908461668044328,0.001,6024.39,0.77,9011
602997,602800,66,101,-4038.6920761100005,72.28880355834961,0.1704150562733412,0.001,5879.97,0.78,9020
603793,603600,66,102,-4013.897189940001,73.79305740356445,14.414155971109867,0.001,5737.93,0.79,9032
604966,604800,66,103,-3948.5382438200013,71.9339682006836,0.6145280579477549,0.001,5599.66,0.8,9049
605388,605200,66,104,-3805.5776856200014,71.66947143554688,0.21391055051237345,0.001,5453.88,0.81,9055
606308,606200,66,105,-3701.99231107,72.3763501739502,0.30675663094967603,0.001,5313.08,0.82,9069
607520,607400,66,106,-3638.0218034000004,71.71818840026856,17.434901196435092,0.001,5175.2,0.83,9087
609787,609600,66,107,-3586.132758139999,72.62369941711425,0.2496620961278677,0.001,5047.87,0.84,9120
610653,610500,66,108,-3274.11625444,73.7391251373291,1.1294428534805774,0.001,4906.53,0.85,9133
614534,614400,66,109,-3263.73389737,72.5251308441162,6.552150842696428,0.001,4795.34,0.86,9191
617754,617600,66,110,-3244.4484039300005,73.49478645324707,11.996377973109484,0.001,4677.54,0.87,9239
618393,618200,66,111,-3246.5834646900003,71.75449119567871,6.049590586423874,0.001,4677.84,0.87,9248
620038,619900,66,112,-3005.47305684,72.49122001647949,3.304413887113333,0.001,4544.29,0.88,9273
621188,621000,66,113,-2959.4023311,71.27844451904296,1.2240165732055903,0.001,4405.79,0.89,9290
636188,636000,66,114,-3482.94970922,100.25742576599121,4.139726271778345,0.001,4405.79,0.89,9514
651188,651000,66,115,-3432.7958806200004,95.02769538879394,1.6323858012259007,0.001,4405.79,0.89,9740
655918,655800,66,116,-3376.94343334,92.69629013061524,6.602903547137975,0.001,4303.09,0.9,9811
670918,670800,66,117,-3533.21498093,86.88340774536132,0.8713103023171425,0.001,4413.94,0.89,10037
