time/fps,rollout/ep_len_mean,train/critic_loss,train/actor_loss,rollout/success rate,train/learning_rate,train/n_updates,rollout/ep_rew_mean,time/total timesteps,time/time_elapsed,time/episodes
3,100.0,203.37104167938233,84.81182632446288,0.0,0.001,60680,-110.07088015999997,60800,16740,608
3,100.0,132.05172510147094,84.8421241760254,0.0,0.001,61080,-111.54075627999998,61200,16837,612
3,100.0,128.0925859451294,85.08110885620117,0.0,0.001,61480,-111.36354752000001,61600,16977,616
3,100.0,159.50702142715454,85.69579849243163,0.0,0.001,61880,-110.62064826000001,62000,17088,620
3,100.0,141.43168964385987,85.95213394165039,0.0,0.001,62280,-111.45520447999999,62400,17202,624
3,100.0,187.04235057830812,86.39508590698242,0.0,0.001,62680,-113.22097234999997,62800,17299,628
3,100.0,176.37414674758912,85.73395919799805,0.0,0.001,63080,-114.36124278999999,63200,17399,632
3,100.0,202.23177509307862,86.4929298400879,0.0,0.001,63480,-116.37641550999999,63600,17507,636
3,100.0,175.8011100769043,86.64899063110352,0.0,0.001,63880,-117.13218448999999,64000,17601,640
3,100.0,229.5410798072815,87.43477020263671,0.0,0.001,64280,-117.18860644000002,64400,17710,644
3,100.0,132.86926717758178,87.86037521362304,0.0,0.001,64680,-117.31398462000001,64800,17813,648
3,100.0,176.00214557647706,88.01616744995117,0.0,0.001,65080,-118.10953176,65200,17890,652
3,100.0,140.8336618423462,89.86797103881835,0.0,0.001,65480,-117.6884295,65600,18012,656
3,100.0,157.51566514968872,88.48646392822266,0.0,0.001,65880,-118.11978988000001,66000,18115,660
3,100.0,104.24066953659057,88.975732421875,0.0,0.001,66280,-117.37219057,66400,18234,664
3,100.0,168.96724977493287,90.08681564331054,0.0,0.001,66680,-116.53798897000003,66800,18357,668
3,100.0,151.39665517807006,90.09736328125,0.0,0.001,67080,-116.52705386000001,67200,18471,672
3,100.0,94.27275161743164,90.88323974609375,0.0,0.001,67480,-116.17560103000001,67600,18607,676
3,100.0,232.2887758255005,90.25555801391602,0.0,0.001,67880,-115.4329035,68000,18719,680
3,100.0,221.23220977783203,91.1790153503418,0.0,0.001,68280,-114.71229946000001,68400,18832,684
3,100.0,112.38609313964844,92.29247360229492,0.0,0.001,68680,-114.23756983,68800,18949,688
3,100.0,147.61528778076172,92.12210388183594,0.0,0.001,69080,-115.43859427,69200,19054,692
3,100.0,202.80044288635253,92.29064559936523,0.0,0.001,69480,-116.74284012,69600,19163,696
3,100.0,190.4669421195984,92.38928833007813,0.0,0.001,69880,-115.84803164999998,70000,19289,700
3,100.0,196.86918687820435,93.29300918579102,0.0,0.001,70280,-115.82027103,70400,19393,704
3,100.0,170.9278914451599,93.54647064208984,0.0,0.001,70680,-116.58533164,70800,19498,708
3,100.0,135.23382320404053,93.85036010742188,0.0,0.001,71080,-116.57451840000002,71200,19617,712
3,100.0,224.8330599784851,93.92441940307617,0.0,0.001,71480,-117.26782721,71600,19723,716
3,100.0,130.9239667892456,94.549560546875,0.0,0.001,71880,-117.84297113999999,72000,19827,720
3,100.0,212.45954055786132,95.40757904052734,0.0,0.001,72280,-117.18302548999998,72400,19939,724
3,100.0,163.12330570220948,95.45939025878906,0.0,0.001,72680,-116.92205294,72800,20046,728
3,100.0,218.00755739212036,95.06774444580078,0.0,0.001,73080,-116.69417466,73200,20154,732
