rollout/success rate,time/time_elapsed,rollout/ep_len_mean,train/actor_loss,time/episodes,train/learning_rate,train/critic_loss,time/fps,train/n_updates,time/total timesteps,rollout/ep_rew_mean
0.76,9735,35.33,349.3125,5304,0.001,3504.3717193603516,34,333160,333279,-32.65871291
0.77,9782,34.36,353.1675567626953,5308,0.001,4453.262280273438,34,333300,333408,-28.684555109999998
0.78,9802,33.63,349.1253967285156,5312,0.001,4330.440986633301,34,333340,333459,-26.691149059999997
0.75,9867,36.42,357.14283142089846,5316,0.001,2955.8173416137697,33,333660,333762,-28.171238790000004
0.74,9915,37.58,351.2893310546875,5320,0.001,4389.1922164917,33,333820,333932,-32.9055856
0.73,9976,38.45,353.0646728515625,5324,0.001,3808.0572296142577,33,334040,334150,-37.246932109999996
0.75,10023,36.74,354.2372253417969,5328,0.001,3655.326934814453,33,334180,334285,-36.25001546
0.74,10067,37.59,350.6045806884766,5332,0.001,3975.138073730469,33,334320,334436,-41.156569309999995
0.72,10145,39.35,350.74042053222655,5336,0.001,5607.599934387207,32,334640,334746,-45.83294538
0.72,10204,39.48,353.61119384765624,5340,0.001,2681.93524017334,32,334860,334975,-46.54806272
0.72,10242,39.4,350.9056640625,5344,0.001,3073.6430389404295,32,335000,335120,-44.557218999999996
0.72,10306,39.32,353.3530700683594,5348,0.001,4443.4107666015625,32,335220,335335,-45.868796919999994
0.71,10351,40.13,350.6890838623047,5352,0.001,4678.860467529297,32,335380,335481,-46.536367019999986
0.72,10389,39.61,352.7081237792969,5356,0.001,3902.424562072754,32,335540,335641,-44.691418309999996
0.7,10465,40.88,356.1557952880859,5360,0.001,4347.033346557617,32,335760,335879,-47.95330959000001
0.7,10491,40.23,353.5747100830078,5364,0.001,3574.743243408203,32,335820,335932,-47.87366809
0.68,10559,42.2,351.62962951660154,5368,0.001,3491.0462295532225,31,336040,336153,-51.01008630000001
0.69,10586,41.65,353.4422576904297,5372,0.001,4414.200286865234,31,336120,336227,-46.769307899999994
0.69,10601,41.06,348.5910949707031,5376,0.001,4120.983322143555,31,336160,336264,-46.057301960000004
0.69,10666,40.57,356.3925842285156,5380,0.001,2696.713218688965,31,336380,336485,-46.455474429999995
0.68,10733,41.31,354.50159606933596,5384,0.001,3038.9911392211916,31,336600,336711,-51.21025678
0.69,10771,41.16,353.2491149902344,5388,0.001,3978.4854476928713,31,336720,336830,-50.132145380000004
0.68,10810,42.11,352.9350982666016,5392,0.001,2892.122074890137,31,336860,336963,-53.128201649999994
0.68,10853,41.81,354.67731018066405,5396,0.001,3339.460824584961,31,336980,337095,-50.39390104000001
0.69,10904,41.12,349.5576934814453,5400,0.001,4355.942596435547,30,337140,337260,-49.46808645
0.69,10960,41.62,358.9604431152344,5404,0.001,3598.590644073486,30,337340,337441,-50.16072118000001
0.69,10990,41.5,350.72735900878905,5408,0.001,5341.143057250976,30,337440,337558,-50.75313658000001
0.68,11028,42.18,353.7652862548828,5412,0.001,4835.733656311035,30,337560,337677,-52.908137450000005
0.71,11040,39.42,354.8697113037109,5416,0.001,3712.9842636108397,30,337600,337704,-51.53094466000002
0.71,11084,39.4,351.87379455566406,5420,0.001,4120.825927734375,30,337760,337872,-48.4065459
0.73,11105,37.68,354.2662658691406,5424,0.001,3279.549336242676,30,337800,337918,-43.14280479999999
0.72,11158,38.62,358.7160949707031,5428,0.001,3604.2776641845703,30,338040,338147,-44.99201480999999
0.71,11218,39.33,352.0819122314453,5432,0.001,5542.463775634766,30,338260,338369,-45.56416847
0.73,11272,37.69,352.8194854736328,5436,0.001,3848.3333938598635,30,338400,338515,-41.70637003000001
0.74,11330,37.0,353.6626220703125,5440,0.001,4375.217768859863,29,338560,338675,-41.590527569999985
0.75,11371,36.03,356.408203125,5444,0.001,3416.0513610839844,29,338620,338723,-40.07552696999999
0.76,11412,35.35,359.6189910888672,5448,0.001,3434.157127380371,29,338760,338870,-38.36625351
0.77,11427,34.29,358.13763427734375,5452,0.001,4055.9487915039062,29,338800,338910,-37.78032979
0.76,11495,34.89,352.2373016357422,5456,0.001,3983.6387634277344,29,339020,339130,-40.30332531
0.76,11540,34.64,357.87974243164064,5460,0.001,3838.162016296387,29,339240,339343,-41.49821849999999
0.75,11623,36.29,356.4551940917969,5464,0.001,4445.513827514648,29,339460,339561,-44.36323906
0.77,11635,34.42,354.96197204589845,5468,0.001,4587.479747009277,29,339480,339595,-41.38131604999999
0.76,11685,35.25,356.7537811279297,5472,0.001,3946.811410522461,29,339640,339752,-41.93761157
0.76,11714,36.09,357.3619323730469,5476,0.001,4562.562600708008,29,339760,339873,-42.965787989999995
0.78,11738,34.28,356.15928649902344,5480,0.001,4606.687030029297,28,339800,339913,-41.187285079999995
0.8,11771,32.86,359.5446411132813,5484,0.001,4108.959701538086,28,339880,339997,-36.39041981
0.79,11826,33.66,356.04754028320315,5488,0.001,3812.7581527709963,28,340080,340196,-36.710266610000005
0.79,11852,33.54,360.22935791015624,5492,0.001,3974.685453796387,28,340200,340317,-33.870488509999994
0.8,11885,32.6,357.9676971435547,5496,0.001,3572.4093673706057,28,340240,340355,-32.455253019999994
0.81,11922,31.73,357.1502746582031,5500,0.001,2798.452429199219,28,340320,340433,-32.64232904
0.8,12013,33.07,360.47898864746094,5504,0.001,4198.715731811523,28,340640,340748,-33.81462
0.78,12101,35.22,360.1882629394531,5508,0.001,3345.4029891967775,28,340960,341080,-39.88327238
0.78,12144,35.38,358.39238891601565,5512,0.001,3905.183381652832,28,341100,341215,-40.863186969999994
0.77,12194,36.24,362.7831207275391,5516,0.001,4115.273831176758,27,341220,341328,-41.39076134000001
0.75,12273,37.73,357.62790832519534,5520,0.001,4094.6800643920897,27,341540,341645,-44.6576204
0.74,12312,38.59,363.3309020996094,5524,0.001,2464.227586364746,27,341660,341777,-47.794993250000005
0.76,12347,37.13,360.06328125,5528,0.001,4189.918437194824,27,341740,341860,-45.14762139
0.78,12366,35.32,359.21864929199216,5532,0.001,3442.718371582031,27,341800,341901,-39.39866081
0.79,12383,34.17,355.06373901367186,5536,0.001,5111.632269287109,27,341820,341932,-37.8189212
0.79,12440,34.5,358.3917297363281,5540,0.001,3387.624464416504,27,342020,342125,-43.51235657000001
0.79,12452,34.37,361.64588317871096,5544,0.001,4009.8088195800783,27,342040,342160,-43.49768465000001
0.8,12461,33.21,364.3236846923828,5548,0.001,3722.3802032470703,27,342080,342191,-39.47076039
0.8,12488,33.13,359.14710388183596,5552,0.001,5350.198129272461,27,342120,342223,-39.36135308
0.79,12557,34.0,360.8488006591797,5556,0.001,3551.7751342773436,27,342420,342530,-46.14664695000001
