rollout/ep_len_mean,time/iterations,time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_rew_mean,train/loss,train/policy_gradient_loss,train/n_updates,train/approx_kl,train/entropy_loss,train/learning_rate,train/value_loss,train/explained_variance,train/std,train/clip_range,train/clip_fraction
98.5,14,101400,692,146,-547.16698285,2288.825439453125,-0.006599757008007146,5060,0.060666732,-8.25183391571045,0.0003,4608.67314453125,-0.04200470447540283,0.9572339057922363,0.2,0.32599999010562897
98.5,15,101500,744,136,-547.0552023099999,2288.439208984375,-0.0037475542125321227,5065,0.03957034,-8.248579788208009,0.0003,4638.50126953125,0.0427590012550354,0.9569029808044434,0.2,0.32999999523162843
98.5,16,101600,798,127,-547.16532602,2692.75390625,-0.011776886224834016,5070,0.09941721,-8.247551727294923,0.0003,5420.10966796875,0.03919941186904907,0.9569181203842163,0.2,0.44399998188018797
98.5,17,101700,847,119,-547.40621695,2680.248046875,-0.007090511167916702,5075,0.06128382,-8.247447395324707,0.0003,5370.25576171875,0.031125307083129883,0.9567804336547852,0.2,0.38399999737739565
98.5,18,101800,894,113,-547.1910227200001,2726.422119140625,-0.01251973965045181,5080,0.07114509,-8.246356773376466,0.0003,5486.31923828125,-0.14790821075439453,0.9566270709037781,0.2,0.39399999380111694
98.5,19,101900,944,107,-547.04864469,2552.8720703125,-0.009860818419474527,5085,0.118853815,-8.245581245422363,0.0003,5144.28916015625,-0.005297541618347168,0.9565815329551697,0.2,0.46599998474121096
98.5,20,102000,990,102,-546.8300132200001,2597.08740234375,0.000109555920062121,5090,0.053006023,-8.24542064666748,0.0003,5199.39140625,-0.029536128044128418,0.9565309286117554,0.2,0.3499999850988388
98.5,21,102100,1033,98,-547.14638949,2429.749755859375,-0.006897946906974539,5095,0.05620871,-8.244481086730957,0.0003,4907.384375,0.20448756217956543,0.9561998248100281,0.2,0.3879999935626984
98.5,22,102200,1075,94,-547.3266750399999,2935.23828125,-0.01029255382163683,5100,0.053381436,-8.242246627807617,0.0003,5898.380078125,-0.19072675704956055,0.9558664560317993,0.2,0.30999999642372134
98.5,23,102300,1129,90,-547.14060961,2528.956298828125,-0.013955756023642607,5105,0.04362357,-8.240555000305175,0.0003,5153.771875,-0.21343755722045898,0.9557041525840759,0.2,0.3079999923706055
98.5,24,102400,1173,87,-547.2068534500002,2163.898681640625,-0.014553957216435265,5110,0.10970419,-8.240123176574707,0.0003,4323.1244140625,0.09231436252593994,0.9557900428771973,0.2,0.42399999499320984
98.5,25,102500,1216,84,-546.9801735899999,2212.7705078125,-0.015215398297004867,5115,0.047962207,-8.240797233581542,0.0003,4471.01103515625,0.05162113904953003,0.9558548927307129,0.2,0.3039999932050705
98.5,26,102600,1264,81,-547.03839997,2425.118408203125,-0.010696262564488279,5120,0.07127831,-8.2407958984375,0.0003,4910.84873046875,-0.12363898754119873,0.9557805061340332,0.2,0.4199999928474426
98.5,27,102700,1318,77,-546.6612997999999,2500.14453125,-0.011050093503581594,5125,0.1161026,-8.240274429321289,0.0003,5071.296484375,-0.14908373355865479,0.9556989073753357,0.2,0.4180000051856041
