time/episodes,time/time_elapsed,rollout/success rate,rollout/ep_len_mean,time/fps,time/total timesteps,rollout/ep_rew_mean,train/n_updates,train/learning_rate,train/critic_loss,train/actor_loss
43,1206,0.023255813953488372,98.76744186046511,3,4247,-33426.01025818605,4140,0.001,148731.99921875,1868.3709594726563
44,1239,0.022727272727272728,98.79545454545455,3,4347,-32761.90995177273,4240,0.001,138861.12890625,1989.6255004882812
45,1263,0.022222222222222223,98.82222222222222,3,4447,-33235.701873022226,4340,0.001,137802.48125,2013.5987548828125
46,1278,0.021739130434782608,98.84782608695652,3,4547,-32730.84733782609,4440,0.001,144266.530859375,1970.362841796875
47,1293,0.02127659574468085,98.87234042553192,3,4647,-33786.42609642554,4540,0.001,134812.2640625,2088.0917236328123
48,1299,0.041666666666666664,97.27083333333333,3,4669,-33092.97406204167,4560,0.001,161296.90390625,2020.4014282226562
49,1318,0.04081632653061224,97.3265306122449,3,4769,-32633.850042571434,4660,0.001,175926.9875,2085.684375
50,1390,0.04,97.38,3,4869,-32051.50754198,4760,0.001,140337.14638671876,2126.7066040039062
51,1414,0.0392156862745098,97.43137254901961,3,4969,-31604.182922686276,4860,0.001,141186.456640625,2072.911657714844
52,1433,0.038461538461538464,97.48076923076923,3,5069,-31166.668795480775,4960,0.001,128703.8185546875,2081.35595703125
53,1468,0.03773584905660377,97.52830188679245,3,5169,-30631.39270130189,5060,0.001,166413.70625,2147.137805175781
54,1483,0.037037037037037035,97.57407407407408,3,5269,-30222.778881000006,5160,0.001,166469.27265625,2150.401220703125
55,1504,0.03636363636363636,97.61818181818182,3,5369,-29772.87690647273,5260,0.001,160165.267578125,2181.6564208984373
56,1520,0.03571428571428571,97.66071428571429,3,5469,-29320.89581310714,5360,0.001,126024.327734375,2161.378283691406
57,1537,0.03508771929824561,97.70175438596492,3,5569,-28852.14366614035,5460,0.001,204036.7365234375,2198.9889404296873
58,1553,0.034482758620689655,97.74137931034483,3,5669,-28422.816553379307,5560,0.001,174503.58828125,2219.0172607421873
59,1594,0.03389830508474576,97.77966101694915,3,5769,-28091.6432109322,5660,0.001,138665.09921875,2192.2794921875
60,1613,0.03333333333333333,97.81666666666666,3,5869,-27701.873689716667,5760,0.001,188719.0798828125,2206.569775390625
61,1628,0.03278688524590164,97.85245901639344,3,5969,-27361.812218590163,5860,0.001,148667.45,2214.46767578125
62,1663,0.03225806451612903,97.88709677419355,3,6069,-27073.17880141935,5960,0.001,174535.533203125,2255.548583984375
63,1684,0.031746031746031744,97.92063492063492,3,6169,-26833.80682290476,6060,0.001,201513.6630859375,2290.5095947265627
64,1709,0.03125,97.953125,3,6269,-26547.315231671877,6160,0.001,129655.251171875,2249.98056640625
65,1732,0.03076923076923077,97.98461538461538,3,6369,-26203.5579704,6260,0.001,178330.2708984375,2271.103271484375
66,1765,0.030303030303030304,98.01515151515152,3,6469,-25858.972841151517,6360,0.001,186076.6154296875,2306.915673828125
67,1819,0.029850746268656716,98.04477611940298,3,6569,-25613.651406388064,6460,0.001,159759.82255859376,2342.0365478515623
68,1861,0.029411764705882353,98.07352941176471,3,6669,-25615.652091205884,6560,0.001,203904.817578125,2329.5050537109373
69,1890,0.028985507246376812,98.10144927536231,3,6769,-25297.415281463767,6660,0.001,201252.984765625,2311.167333984375
70,1917,0.02857142857142857,98.12857142857143,3,6869,-25009.908759842856,6760,0.001,194232.1365234375,2373.9771240234377
71,1947,0.028169014084507043,98.15492957746478,3,6969,-24799.347180422534,6860,0.001,125091.55322265625,2399.002392578125
72,1961,0.027777777777777776,98.18055555555556,3,7069,-24559.453298680557,6960,0.001,160844.4513671875,2393.256103515625
73,1987,0.0273972602739726,98.20547945205479,3,7169,-24301.577292054797,7060,0.001,187051.23828125,2403.3228271484377
74,2012,0.02702702702702703,98.22972972972973,3,7269,-24100.587223013514,7160,0.001,163287.5642578125,2434.64599609375
75,2062,0.02666666666666667,98.25333333333333,3,7369,-23921.68929632,7260,0.001,159842.30205078126,2425.6921630859374
