train/actor_loss,rollout/success rate,time/total timesteps,train/critic_loss,time/time_elapsed,rollout/ep_rew_mean,train/n_updates,rollout/ep_len_mean,time/episodes,time/fps,train/learning_rate
11280.091796875,0.25,108135,3798367.144140625,3380,-5384.24892905,108020,82.35,1273,31,0.001
11220.6759765625,0.25,108235,3423316.2078125,3414,-5347.876039359999,108120,82.35,1274,31,0.001
11358.88017578125,0.25,108335,3399049.140625,3444,-5332.27650837,108220,82.35,1275,31,0.001
11326.1388671875,0.26,108353,2624403.11484375,3451,-5293.1818596,108240,81.53,1276,31,0.001
11259.545703125,0.26,108361,3443974.990625,3459,-5283.10699564,108260,81.3,1277,31,0.001
11249.35888671875,0.27,108381,3295548.8765625,3475,-5202.19086019,108280,80.5,1278,31,0.001
11286.94423828125,0.27,108481,3556008.34453125,3511,-5121.062017030001,108380,80.5,1279,30,0.001
11355.451171875,0.26,108581,3437050.4609375,3542,-5200.9217623800005,108480,80.73,1280,30,0.001
11286.4111328125,0.26,108681,2739200.46640625,3593,-5155.721776820001,108580,80.73,1281,30,0.001
11292.09326171875,0.26,108781,3379110.60546875,3633,-5132.839877,108680,80.73,1282,29,0.001
11276.15146484375,0.25,108881,2758287.66328125,3659,-5190.80167405,108780,80.84,1283,29,0.001
11357.123046875,0.25,108981,2263230.083984375,3708,-5191.76784077,108880,80.84,1284,29,0.001
11369.63388671875,0.25,109081,3329000.0734375,3727,-5229.594529189999,108980,80.84,1285,29,0.001
,0.26,109087,,3745,-5157.48226377,,79.9,1286,29,
11447.99189453125,0.26,109187,2448943.915625,3775,-5137.90793687,109080,79.9,1287,28,0.001
11373.147265625,0.25,109287,2342435.714453125,3831,-5184.78594019,109180,80.42,1288,28,0.001
11278.743359375,0.25,109387,3535670.396875,3879,-5184.4680856899995,109280,80.42,1289,28,0.001
11403.99228515625,0.24,109487,2249361.41875,3914,-5228.1135307,109380,81.36,1290,27,0.001
11356.37119140625,0.24,109587,3647315.61015625,3948,-5236.8481967200005,109480,81.36,1291,27,0.001
11338.1990234375,0.24,109687,3086076.98515625,3988,-5245.2591492500005,109580,81.36,1292,27,0.001
11371.74111328125,0.24,109787,2795938.42265625,4040,-5233.46053593,109680,81.36,1293,27,0.001
11360.004296875,0.24,109807,3349874.9671875,4050,-5210.836751809999,109700,81.04,1294,27,0.001
11329.92265625,0.24,109907,3880095.901171875,4087,-5174.70794561,109800,81.04,1295,26,0.001
11417.87236328125,0.25,109921,3126048.93828125,4112,-5064.13686946,109820,80.18,1296,26,0.001
11412.0052734375,0.25,109963,3227972.14453125,4130,-5329.857956700001,109860,80.47,1297,26,0.001
11427.01396484375,0.25,110063,3552508.8234375,4147,-5317.301058499999,109960,80.47,1298,26,0.001
11371.270703125,0.25,110163,2702698.70078125,4174,-5334.235807510001,110060,80.47,1299,26,0.001
11432.9849609375,0.25,110263,3383826.97265625,4201,-5365.93567566,110160,80.47,1300,26,0.001
11460.00830078125,0.26,110339,2348918.1515625,4238,-5349.09650573,110220,80.23,1301,26,0.001
11486.59619140625,0.26,110439,2975898.201171875,4258,-5344.322916540001,110320,80.23,1302,25,0.001
11440.1720703125,0.26,110485,3726844.0328125,4291,-5356.770875939999,110380,80.61,1303,25,0.001
11410.89951171875,0.27,110529,3965837.5078125,4339,-5323.606683579998,110420,80.05,1304,25,0.001
11395.80048828125,0.27,110629,3655468.48046875,4362,-5287.767432029999,110520,80.05,1305,25,0.001
11422.03046875,0.27,110729,3819516.009375,4391,-5329.108282560001,110620,80.05,1306,25,0.001
,0.28,110738,,4400,-5281.37327735,,79.14,1307,25,
11415.91220703125,0.28,110838,3596903.01171875,4446,-5264.74786817,110720,79.14,1308,24,0.001
11523.29658203125,0.27,110938,2985655.08046875,4482,-5288.14513937,110820,80.02,1309,24,0.001
11507.64345703125,0.28,110967,3001465.984375,4505,-5254.989318080001,110860,79.31,1310,24,0.001
,0.29,110974,,4518,-5182.30078416,,78.38,1311,24,
11514.8962890625,0.29,111074,2320071.665625,4533,-5161.32845756,110960,78.38,1312,24,0.001
11527.09033203125,0.29,111174,2465477.393359375,4563,-5105.25973514,111060,78.38,1313,24,0.001
11482.58857421875,0.29,111182,3675911.4953125,4585,-5104.5862538500005,111080,78.34,1314,24,0.001
11533.5326171875,0.28,111282,2880993.13046875,4622,-5211.714115719999,111180,78.94,1315,24,0.001
11440.7943359375,0.29,111305,3767136.78984375,4648,-5120.382012439999,111200,78.17,1316,23,0.001
11526.20283203125,0.28,111405,2341120.019140625,4699,-5189.058245129999,111300,78.93,1317,23,0.001
,0.28,111410,,4701,-5187.686461849999,,78.89,1318,23,
11463.30908203125,0.29,111425,3506189.36796875,4715,-5114.88198526,111320,78.04,1319,23,0.001
,0.3,111438,,4724,-5039.43356501,,77.17,1320,23,
11409.40166015625,0.3,111538,3854554.03828125,4753,-5003.896891130001,111420,77.17,1321,23,0.001
11492.93505859375,0.31,111556,3879654.828125,4779,-4955.74930968,111440,76.35,1322,23,0.001
11488.65625,0.32,111568,3601589.9890625,4783,-4910.5004954,111460,75.47,1323,23,0.001
11546.7462890625,0.31,111668,3086734.95703125,4814,-4994.97100621,111560,76.37,1324,23,0.001
11530.75478515625,0.32,111766,4068882.30234375,4887,-4931.419900589999,111660,76.35,1325,22,0.001
11531.3169921875,0.32,111866,3380655.27578125,4919,-4884.62514141,111760,76.35,1326,22,0.001
11489.10380859375,0.31,111966,3756957.769921875,4991,-4973.537921969999,111860,77.11,1327,22,0.001
11513.24775390625,0.31,112066,3067241.6109375,5052,-5030.180356099999,111960,77.11,1328,22,0.001
,0.32,112070,,5124,-4971.375033869999,,76.15,1329,21,
11532.18271484375,0.32,112132,2558597.0484375,5182,-4946.873274379999,112020,75.98,1330,21,0.001
11529.409375,0.32,112232,3717170.14375,5215,-4941.772272329999,112120,75.98,1331,21,0.001
,0.33,112239,,5227,-4817.569270869999,,75.05,1332,21,
11458.19462890625,0.33,112339,3692895.5328125,5257,-4848.040096759999,112220,75.05,1333,21,0.001
11501.0201171875,0.34,112351,3495498.21484375,5266,-4777.84671859,112240,74.17,1334,21,0.001
11494.43232421875,0.35,112366,3416414.1453125,5311,-4736.32591735,112260,73.32,1335,21,0.001
11591.4484375,0.35,112466,3032309.9484375,5340,-4763.68964897,112360,73.32,1336,21,0.001
11591.4779296875,0.35,112566,2289021.401953125,5356,-4770.83498833,112460,73.32,1337,21,0.001
11483.9333984375,0.34,112666,3765003.70234375,5374,-4841.53334221,112560,74.22,1338,20,0.001
11574.70283203125,0.35,112755,3100512.46875,5460,-4820.468985060001,112640,74.11,1339,20,0.001
11587.48330078125,0.35,112855,2509017.1359375,5506,-4782.2139525,112740,74.11,1340,20,0.001
11526.07978515625,0.35,112955,2971017.240625,5568,-4805.20863138,112840,74.11,1341,20,0.001
11534.22763671875,0.35,113055,3170160.88359375,5585,-4850.620303199999,112940,74.11,1342,20,0.001
11521.18466796875,0.34,113155,3514940.7890625,5610,-4863.885640879999,113040,74.72,1343,20,0.001
11558.636328125,0.34,113243,3709099.31015625,5681,-4876.90371913,113140,75.16,1344,19,0.001
11559.08955078125,0.34,113343,3745911.55703125,5724,-4893.28558586,113240,75.16,1345,19,0.001
