time/episodes,time/total timesteps,train/learning_rate,time/fps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,train/actor_loss,train/n_updates,rollout/success rate,train/critic_loss
2716,213404,0.001,54,3887,61.92,-62.933250319999985,300.4161041259766,213300,0.54,2543.0398857116697
2720,213735,0.001,53,3996,62.6,-62.76471856999999,299.3272705078125,213620,0.54,2617.241387939453
2724,214032,0.001,52,4095,63.71,-62.81857975,301.6030517578125,213920,0.53,2676.7841667175294
2728,214220,0.001,51,4156,61.64,-59.09909481,303.3155242919922,214100,0.55,1900.2994140625
2732,214445,0.001,50,4217,60.35,-54.38432639999999,299.50531311035155,214340,0.56,2866.395595550537
2736,214663,0.001,50,4279,61.21,-54.93557312000001,302.66466369628904,214560,0.56,2285.0312309265137
2740,214900,0.001,49,4344,61.17,-51.97352822000002,302.8565216064453,214780,0.56,2051.8230590820312
2744,215237,0.001,48,4434,62.23,-51.57499104000001,301.4711486816406,215120,0.55,2166.0337394714356
2748,215484,0.001,47,4498,62.45,-50.29968458000001,302.1612213134766,215380,0.56,1650.4737785339355
2752,215720,0.001,47,4583,61.51,-46.005368739999994,303.21376953125,215600,0.57,2438.3336601257324
2756,215960,0.001,46,4654,60.71,-45.14126096,301.9890167236328,215840,0.58,1964.185831451416
2760,216204,0.001,45,4725,59.36,-44.648479509999994,301.3025695800781,216100,0.58,2130.628726196289
2764,216339,0.001,45,4771,58.63,-44.82183819,301.8673583984375,216220,0.58,1925.9474983215332
2768,216739,0.001,44,4874,61.01,-47.464494779999995,305.27496948242185,216620,0.55,1656.248802947998
2772,216899,0.001,44,4917,58.61,-41.774046770000005,303.1777862548828,216780,0.59,2212.190425109863
2776,217085,0.001,43,4975,57.55,-39.52865125,304.91260986328126,216980,0.6,2643.996305847168
2780,217382,0.001,43,5050,58.77,-41.38415419,301.15782775878904,217280,0.59,3107.5535415649415
2784,217589,0.001,42,5110,57.31,-39.859088969999995,304.3921630859375,217480,0.61,1737.2822395324706
2788,217864,0.001,41,5187,57.72,-41.0401486,303.9721282958984,217760,0.61,1956.5799415588378
2792,218048,0.001,41,5245,56.76,-39.19409314000001,302.5192504882813,217940,0.62,2011.728084564209
2796,218344,0.001,40,5339,57.8,-41.11240797000001,304.23805541992186,218240,0.61,2089.100658416748
2800,218634,0.001,40,5414,58.92,-41.754928330000006,304.7568664550781,218520,0.61,2504.5803077697756
2804,218829,0.001,39,5475,58.59,-43.21028298,301.66510620117185,218720,0.62,1881.8151794433593
2808,218970,0.001,39,5521,57.44,-39.10207793000001,303.59925842285156,218860,0.63,2387.849957275391
2812,219289,0.001,39,5612,59.77,-43.422027729999996,301.8417114257812,219180,0.6,2723.5656173706057
2816,219525,0.001,38,5696,61.21,-44.23269689000001,304.31419067382814,219420,0.58,2547.15604095459
2820,219799,0.001,38,5773,60.64,-43.62267154999999,304.3312225341797,219680,0.58,2459.6840003967286
2824,220067,0.001,37,5839,60.35,-43.431855850000005,301.6914337158203,219960,0.59,3069.696559143066
2828,220230,0.001,37,5883,60.1,-47.68217390000001,305.6444458007812,220120,0.59,2517.1148422241213
2832,220403,0.001,37,5927,59.58,-50.55568016,304.53709411621094,220300,0.61,1682.59603805542
2836,220528,0.001,36,5972,58.65,-49.7991478,307.0646148681641,220420,0.61,3102.1044677734376
2840,220849,0.001,36,6056,59.49,-50.427314429999996,303.2848236083984,220740,0.61,2589.844337463379
2844,221073,0.001,36,6133,58.36,-49.63625589,306.96116943359374,220960,0.62,2497.09871673584
2848,221473,0.001,35,6217,59.89,-55.69930100999999,308.7719299316406,221360,0.59,1692.2683074951171
2852,221646,0.001,35,6278,59.26,-55.70922159999999,305.764453125,221540,0.6,2675.3513595581053
2856,221818,0.001,35,6334,58.58,-52.393121,303.9621215820313,221700,0.61,2597.2118118286135
2860,222058,0.001,34,6389,58.54,-55.069704579999986,302.1670867919922,221940,0.62,2794.375582885742
2864,222307,0.001,34,6443,59.68,-63.095530800000006,303.5175262451172,222200,0.61,2333.148773956299
2868,222451,0.001,34,6475,57.12,-62.11640065,307.37807006835936,222340,0.64,1916.8994255065918
2872,222681,0.001,34,6531,57.82,-65.10342021,301.8006530761719,222580,0.63,2859.020979309082
2876,222867,0.001,33,6586,57.82,-64.86399703,306.0527679443359,222760,0.63,2617.459878540039
2880,223109,0.001,33,6650,57.27,-62.72863371,304.75058898925784,223000,0.63,2485.659783935547
2884,223381,0.001,33,6726,57.92,-64.27698418,308.6084503173828,223280,0.62,2023.3394554138183
2888,223700,0.001,32,6801,58.36,-63.42974362999998,303.57274169921874,223580,0.61,2586.9556716918946
2892,223900,0.001,32,6854,58.52,-65.33654055,306.67982788085936,223780,0.61,2342.916580963135
2896,223996,0.001,32,6904,56.52,-63.295986709999994,304.33013916015625,223880,0.63,2955.4632667541505
2900,224215,0.001,32,6969,55.81,-66.19359494999999,304.6511993408203,224100,0.62,1954.902032470703
2904,224409,0.001,31,7029,55.8,-64.70035279,305.7274108886719,224300,0.62,2997.4083869934084
2908,224566,0.001,31,7077,55.96,-65.66655271999998,304.94870910644534,224460,0.62,2826.26728515625
2912,224765,0.001,31,7138,54.76,-61.962481659999995,306.37970275878905,224660,0.64,2310.4651359558106
2916,225031,0.001,31,7227,55.06,-62.861733459999996,308.64703063964845,224920,0.64,2027.1101417541504
2920,225167,0.001,30,7273,53.68,-61.78326743,304.48949279785154,225060,0.65,2350.056676483154
2924,225445,0.001,30,7350,53.78,-63.10222379,306.4561340332031,225340,0.64,2061.8389221191405
2928,225671,0.001,30,7429,54.41,-59.59720724999998,307.7017120361328,225560,0.63,3559.05193939209
2932,225816,0.001,30,7485,54.13,-55.79688562999999,306.9563781738281,225700,0.63,2199.08756942749
2936,226146,0.001,29,7570,56.18,-57.314112939999994,305.84840393066406,226040,0.62,2654.728826904297
2940,226477,0.001,29,7677,56.28,-59.63150068,308.91758728027344,226360,0.61,1732.4238807678223
2944,226737,0.001,29,7749,56.64,-60.17769955999998,306.6429931640625,226620,0.61,1908.784457397461
2948,226960,0.001,29,7814,54.87,-54.24799321,307.4474853515625,226840,0.64,2090.20795211792
2952,227139,0.001,28,7871,54.93,-54.051052769999984,308.5962432861328,227020,0.64,2007.9993309020997
2956,227313,0.001,28,7925,54.95,-54.57814354,306.7933410644531,227200,0.64,2462.8389106750487
2960,227511,0.001,28,7988,54.53,-51.63798529999999,308.2906463623047,227400,0.64,2084.780091094971
2964,227572,0.001,28,8017,52.65,-42.660045100000005,309.1935607910156,227460,0.66,2492.5499465942385
2968,227731,0.001,28,8073,52.8,-41.820350669999996,306.7674896240234,227620,0.66,2911.025402069092
2972,227927,0.001,28,8127,52.46,-38.39793241,306.1231170654297,227820,0.66,2309.0869132995604
