train/n_updates,train/actor_loss,train/critic_loss,time/fps,time/total timesteps,rollout/success rate,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,train/learning_rate,time/episodes
5496800,1729.8176684570312,9585.789298095704,144,5496916,0.6,10055.21,-163028.26389125,37917,0.001,792
5511800,1721.3559497070312,8195.389182128907,143,5511916,0.6,10055.21,-162964.38361778003,38298,0.001,793
5526800,1727.4287915039063,13880.338868408204,142,5526916,0.59,10111.07,-163718.1376354,38679,0.001,794
5528800,1698.4624658203124,8881.234841308593,142,5528964,0.6,9981.55,-161400.71893699002,38731,0.001,795
5543800,1697.5277368164063,5801.328692626953,141,5543964,0.59,10041.43,-162258.18645069998,39111,0.001,796
5544900,1705.1913403320314,10796.725217285157,141,5545096,0.59,9911.82,-160616.23203691,39139,0.001,797
5551900,1695.6169482421874,9322.90161376953,141,5552072,0.6,9831.58,-159719.12054968998,39316,0.001,798
5555100,1693.9537939453126,5625.6280444335935,141,5555227,0.6,9810.86,-159502.99503957,39397,0.001,799
5569600,1732.0865063476563,9011.898259277345,140,5569717,0.61,9805.76,-165159.82208431,39764,0.001,800
5580900,1696.2964697265625,5671.767482910156,139,5581028,0.62,9768.87,-164574.77372608,40051,0.001,801
5595900,1716.8764526367188,8417.224854736329,138,5596028,0.61,9884.25,-166068.31464707002,40433,0.001,802
5598100,1708.026181640625,10872.439210205079,138,5598209,0.61,9860.23,-165657.95859653,40488,0.001,803
5613100,1732.7234326171874,10299.238103027345,137,5613209,0.6,9946.8,-166177.5415621,40870,0.001,804
5618900,1735.4356298828125,10314.907077636719,136,5619045,0.6,9875.06,-165008.73291360997,41017,0.001,805
5622700,1705.66681640625,7262.315856933594,136,5622812,0.61,9762.73,-163386.46876533,41113,0.001,806
5637700,1707.4711279296876,7725.474615478515,135,5637812,0.61,9762.73,-164199.83198637998,41492,0.001,807
5652700,1716.2133032226564,9200.948939819336,134,5652812,0.61,9762.73,-163891.54026398997,41872,0.001,808
5665900,1745.2783935546875,7089.12043334961,134,5666073,0.61,9862.64,-165158.05591533997,42209,0.001,809
5680900,1720.9925927734375,10342.567637939454,133,5681073,0.6,9949.86,-166137.49898966998,42589,0.001,810
5695900,1718.4028662109374,10946.383162841797,132,5696073,0.59,10052.16,-167499.70225583,42969,0.001,811
5707500,1739.1704028320312,6699.327446289062,131,5707648,0.59,10054.47,-169451.94022681002,43262,0.001,812
5722500,1711.982421875,10098.094158935546,131,5722648,0.59,10054.47,-167820.08516063998,43642,0.001,813
5730400,1729.450966796875,4929.419766845703,130,5730528,0.59,10081.96,-167671.98594130998,43842,0.001,814
5745400,1716.3134375,5847.5033032226565,129,5745528,0.59,10081.96,-167135.39735552,44221,0.001,815
5760400,1707.7704077148437,5366.969797363281,129,5760528,0.58,10086.1,-166951.98825313,44602,0.001,816
5775400,1704.8123706054687,13075.61781982422,128,5775528,0.57,10160.09,-167639.83127237,44982,0.001,817
5790400,1702.817373046875,4563.205703125,127,5790528,0.56,10235.39,-168529.43569328997,45365,0.001,818
5805400,1697.1108422851562,12968.659934082032,126,5805528,0.55,10340.54,-169115.20028847,45757,0.001,819
5806400,1694.7502563476562,5557.439135742187,126,5806543,0.55,10289.36,-168287.29848146,45782,0.001,820
5821400,1690.621904296875,8734.136647949219,126,5821543,0.54,10419.59,-169962.23190231004,46163,0.001,821
5836400,1729.3813623046874,6783.114617919922,125,5836543,0.53,10506.23,-173233.35847702998,46544,0.001,822
5850000,1706.8626806640625,7343.4763616943355,124,5850138,0.53,10596.49,-174632.45644853998,46888,0.001,823
5865000,1717.9271997070311,5799.376716308594,124,5865138,0.52,10677.13,-175357.78859898998,47267,0.001,824
5877600,1737.3106567382813,8050.527004394531,123,5877769,0.53,10653.44,-174986.96616229002,47587,0.001,825
5879400,1725.1437719726562,6999.642899169922,123,5879600,0.53,10592.02,-173937.35316620005,47633,0.001,826
5882400,1734.3056811523438,6911.1042578125,123,5882532,0.54,10471.34,-172050.85188281004,47707,0.001,827
5894200,1753.5087524414062,20856.750096435546,122,5894381,0.55,10439.83,-171481.44453171,48007,0.001,828
5909200,1737.9784057617187,9060.847954101562,122,5909381,0.55,10439.83,-171264.69791457,48388,0.001,829
5924200,1745.6160888671875,11241.92236694336,121,5924381,0.54,10455.5,-176535.41430120997,48769,0.001,830
5929900,1727.46630859375,8221.884742431641,121,5930063,0.54,10494.19,-176909.55944962997,48913,0.001,831
5932600,1775.1123046875,11271.661632080079,121,5932720,0.54,10488.74,-176892.28797340996,48981,0.001,832
5947600,1784.4880395507812,7350.407150878907,120,5947720,0.54,10488.74,-176884.59224803,49360,0.001,833
5948700,1792.0970434570313,9148.382852783203,120,5948854,0.54,10451.99,-176305.29349204001,49388,0.001,834
5963700,1772.0010668945313,16992.181588134765,119,5963854,0.53,10560.66,-179541.13807285,49768,0.001,835
5978700,1810.0388354492188,8464.582364501954,119,5978854,0.52,10685.77,-181001.24502397006,50147,0.001,836
5981900,1765.924755859375,7097.336356201172,119,5982094,0.53,10568.17,-179208.37603066,50230,0.001,837
5984300,1789.7252099609375,7949.524808349609,118,5984472,0.54,10441.95,-177246.43283498997,50290,0.001,838
5999300,1825.0262329101563,15722.790333251953,118,5999472,0.54,10441.95,-177735.59276785,50670,0.001,839
