train/critic_loss,time/fps,rollout/ep_len_mean,time/total timesteps,train/n_updates,train/actor_loss,rollout/ep_rew_mean,train/learning_rate,time/time_elapsed,time/episodes,rollout/success rate
402.8270010948181,39,100.0,222000,221880,143.47816009521483,-130.96770557,0.001,5622,2220,0.0
407.4326329231262,38,100.0,222400,222280,142.3611053466797,-131.24772524000002,0.001,5732,2224,0.0
437.31450214385984,38,100.0,222800,222680,142.3575653076172,-131.19154001,0.001,5827,2228,0.0
514.1313457489014,37,100.0,223200,223080,142.46776123046874,-131.32420473000002,0.001,5917,2232,0.0
233.70507345199584,37,100.0,223600,223480,141.95468139648438,-131.96557022000002,0.001,6020,2236,0.0
447.5884880065918,36,100.0,224000,223880,142.07573394775392,-131.24938318,0.001,6107,2240,0.0
502.89563217163084,36,100.0,224400,224280,142.4808319091797,-131.45608747,0.001,6216,2244,0.0
348.32941951751707,35,100.0,224800,224680,143.7035354614258,-131.42431384000002,0.001,6345,2248,0.0
454.1550575256348,34,100.0,225200,225080,142.2512451171875,-131.02846469,0.001,6445,2252,0.0
351.1152945518494,34,100.0,225600,225480,142.27668304443358,-130.94894642,0.001,6548,2256,0.0
224.66287422180176,33,100.0,226000,225880,142.5374496459961,-131.00732737,0.001,6656,2260,0.0
366.53729944229127,33,100.0,226400,226280,143.16753082275392,-130.11656507000004,0.001,6760,2264,0.0
316.96945133209226,33,100.0,226800,226680,142.41284790039063,-129.19807379000002,0.001,6849,2268,0.0
488.6347444534302,32,100.0,227200,227080,141.2998046875,-129.03619558000003,0.001,6941,2272,0.0
283.0494839668274,32,100.0,227600,227480,141.51002502441406,-130.22656095,0.001,7032,2276,0.0
321.6992477416992,31,100.0,228000,227880,142.52074584960937,-129.32508747999998,0.001,7147,2280,0.0
276.42007331848146,31,100.0,228400,228280,141.90166168212892,-129.58275559,0.001,7240,2284,0.0
422.2853540420532,31,100.0,228800,228680,140.93783569335938,-130.28405788,0.001,7328,2288,0.0
391.5401557922363,30,100.0,229200,229080,141.41132049560548,-131.23486005,0.001,7410,2292,0.0
